feature_id,evidence_row_id,site_record_id,species_latin_name,species_common_name,animal_scope,support_class,support_note,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_basis,coordinate_confidence,geocoding_method,geocoder_or_gazetteer,confidence_rationale,original_place_text,resolved_place_text,coordinate_source_artifact_path,coordinate_source_locator,coordinate_supplementary_source,coordinate_support_gap_note,chronology,project_accessions,primary_project_accession,sample_record_ids,sample_group_ids,source_native_taxon_labels,source_native_tax_ids,source_native_scientific_names,taxon_alignment_statuses,sample_count,sample_namespace,inclusion_statuses,inclusion_notes,paper_title,paper_doi,publication_year,journal_title,paper_url,supplementary_sources,source_artifact_path,source_artifact_kind,source_locator,source_support_status,exact_source_text,nordic_inclusion,nordic_inclusion_reason,interpretation_note
animal-atlas-feature:bos-taurus-locality-prjeb75467-hjrringtoftebk-denmark,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-hjrringtoftebk-denmark,bos_taurus:locality:prjeb75467:hjrringtoftebk:denmark,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,ancient_but_not_domesticated_core,"Hjørring, Tofte Bæk",Denmark,57.2407065497517,9.8686973853874,57.2407065497517,9.8686973853874,supplementary_proximal_site_coordinates,approximate,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.","Hjørring, Tofte Bæk","Hjørring, Tofte Bæk",data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A26:Y26,,,"{'original_text': '7976-8173 BP', 'time_start_bp': 7976, 'time_end_bp': 8173, 'time_mean_bp': 8074, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'radiocarbon', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB75467,PRJEB75467,bos_taurus:sample:prjeb75467:samea115574419,PRJEB75467,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,1,bos_taurus:sample_locality,site_curated,The supplementary workbook identifies this coordinate as proximal to the site; it supports approximate locality placement without implying an exact specimen findspot.,The genomic natural history of the aurochs,10.1038/s41586-024-08112-6,2024,Nature,https://doi.org/10.1038/s41586-024-08112-6,,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,supplementary_spreadsheet_row,Supplementary Data 1!A26:Y26,supplementary_table_row,"workbook sample Hjo1 | specimen VHM500/1985, ZMK103/1989 | locality Hjørring, Tofte Bæk, Denmark | source BP claim 8173-7976 | canonical BP interval [7976, 8173] | published analysis mean 8074.5 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context",true,This locality falls inside the Nordic publication footprint through direct Denmark sample evidence.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:bos-taurus-locality-prjeb75467-lundbyi-denmark,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-lundbyi-denmark,bos_taurus:locality:prjeb75467:lundbyi:denmark,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,ancient_but_not_domesticated_core,Lundby I,Denmark,55.3584015935903,11.3931303537925,55.3584015935903,11.3931303537925,supplementary_proximal_site_coordinates,approximate,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",Lundby I,Lundby I,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A36:Y36 || Supplementary Data 1!A41:Y41,,,"{'original_text': '6748-7744 BP', 'time_start_bp': 6748, 'time_end_bp': 7744, 'time_mean_bp': 7246, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'mitochondrial_phylogenetic_model', 'evidence_class': 'modeled_sample_date', 'precision_posture': 'sample_approximate_or_modeled', 'refusal_reason_code': ''}",PRJEB75467,PRJEB75467,bos_taurus:sample:prjeb75467:samea115574456;bos_taurus:sample:prjeb75467:samea115574457,PRJEB75467,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,2,bos_taurus:sample_locality,site_curated,The supplementary workbook identifies this coordinate as proximal to the site; it supports approximate locality placement without implying an exact specimen findspot.,The genomic natural history of the aurochs,10.1038/s41586-024-08112-6,2024,Nature,https://doi.org/10.1038/s41586-024-08112-6,,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,supplementary_spreadsheet_row,Supplementary Data 1!A36:Y36 || Supplementary Data 1!A41:Y41,supplementary_table_row,"workbook sample Zea1 | specimen 3/1930 Hovedfelt II, P269/2021PB | locality Lundby I, Denmark | source BP claim 7302 (6754-7744) | canonical BP interval [6754, 7744] | published analysis mean 7302 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context || workbook sample Zea2 | specimen 3/1930 Hovedfelt II, E6, P270/2021PB | locality Lundby I, Denmark | source BP claim 7296 (6748-7744) | canonical BP interval [6748, 7744] | published analysis mean 7296 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context",true,This locality falls inside the Nordic publication footprint through direct Denmark sample evidence.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:bos-taurus-locality-prjeb75467-nevishg-sweden,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-nevishg-sweden,bos_taurus:locality:prjeb75467:nevishg:sweden,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,ancient_but_not_domesticated_core,Nevishög,Sweden,55.6219,13.2297,55.6219,13.2297,supplementary_proximal_site_coordinates,approximate,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",Nevishög,Nevishög,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A34:Y34,,,"{'original_text': '9133-9536 BP', 'time_start_bp': 9133, 'time_end_bp': 9536, 'time_mean_bp': 9334, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'radiocarbon', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB75467,PRJEB75467,bos_taurus:sample:prjeb75467:samea115574441,PRJEB75467,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,1,bos_taurus:sample_locality,site_curated,The supplementary workbook identifies this coordinate as proximal to the site; it supports approximate locality placement without implying an exact specimen findspot.,The genomic natural history of the aurochs,10.1038/s41586-024-08112-6,2024,Nature,https://doi.org/10.1038/s41586-024-08112-6,,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,supplementary_spreadsheet_row,Supplementary Data 1!A34:Y34,supplementary_table_row,"workbook sample Ska1 | specimen Lzzz/3362 L62 | locality Nevishög, Sweden | source BP claim 9536-9133 | canonical BP interval [9133, 9536] | published analysis mean 9334.5 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context",true,This locality falls inside the Nordic publication footprint through direct Sweden sample evidence.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:bos-taurus-locality-prjeb75467-skne-sweden,animal-atlas-row:bos-taurus-prjeb75467-bos-taurus-locality-prjeb75467-skne-sweden,bos_taurus:locality:prjeb75467:skne:sweden,Bos taurus,cattle,wild_or_progenitor_context,ancient_but_too_weak,ancient_but_not_domesticated_core,Skåne,Sweden,55.8476269883224,13.8093770947441,55.8476269883224,13.8093770947441,supplementary_proximal_site_coordinates,approximate,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",Skåne,Skåne,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A33:Y33,,,"{'original_text': '9434-9657 BP', 'time_start_bp': 9434, 'time_end_bp': 9657, 'time_mean_bp': 9546, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'radiocarbon', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB75467,PRJEB75467,bos_taurus:sample:prjeb75467:samea115574442,PRJEB75467,Bos primigenius (tax_id 9909),9909,Bos primigenius,project_species_mismatch,1,bos_taurus:sample_locality,site_curated,The supplementary workbook identifies this coordinate as proximal to the site; it supports approximate locality placement without implying an exact specimen findspot.,The genomic natural history of the aurochs,10.1038/s41586-024-08112-6,2024,Nature,https://doi.org/10.1038/s41586-024-08112-6,,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,supplementary_spreadsheet_row,Supplementary Data 1!A33:Y33,supplementary_table_row,"workbook sample Ska3 | specimen Lzzz/3284 L84 | locality Skåne, Sweden | source BP claim 9657-9434 | canonical BP interval [9434, 9657] | published analysis mean 9545.5 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Scandinavia"" | admitted only as explicit wild/progenitor context",true,This locality falls inside the Nordic publication footprint through direct Sweden sample evidence.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90141-acemhyk-aksarayplainturkey,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-acemhyk-aksarayplainturkey,capra_hircus:locality:prjeb90141:acemhyk:aksarayplainturkey,Capra hircus,goat,domesticated_core,accepted,admissible_for_curated_support,Acemhöyük,"Aksaray Plain, Turkey",38.540978,33.771234,38.540978000000003,33.771234,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Acemhöyük,Acemhöyük,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row4,,,"{'original_text': '3833-3984 BP', 'time_start_bp': 3833, 'time_end_bp': 3984, 'time_mean_bp': 3908, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'mixed_radiocarbon_and_archaeological_context', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB90141,PRJEB90141,capra_hircus:sample:prjeb90141:samea4591761,PRJEB90141,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,2025,Genome Biology and Evolution,https://doi.org/10.1093/gbe/evaf181,,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row4,supplementary_table_row,"Acem2 | 8.6300000000000008 | Acemhöyük | Aksaray Plain, Turkey | 38.540978000000003 | 33.771234 | M | 2035-1884 BCE | Bronze Age Central Turkish Domestic | 2.7199999999999998E-2 | 3.8699999999999998E-2 | SAMEA4591761 | 21846830 | 1846582",false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90141-blagotinpoljna-trstenikserbia,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-blagotinpoljna-trstenikserbia,capra_hircus:locality:prjeb90141:blagotinpoljna:trstenikserbia,Capra hircus,goat,domesticated_core,accepted,admissible_for_curated_support,Blagotin-Poljna,"Trstenik, Serbia",43.723286,21.099449,43.723286000000002,21.099449,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Blagotin-Poljna,Blagotin-Poljna,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row3,,,"{'original_text': '7840-8030 BP', 'time_start_bp': 7840, 'time_end_bp': 8030, 'time_mean_bp': 7935, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'mixed_radiocarbon_and_archaeological_context', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB90141,PRJEB90141,capra_hircus:sample:prjeb90141:samea4588077,PRJEB90141,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,2025,Genome Biology and Evolution,https://doi.org/10.1093/gbe/evaf181,,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row3,supplementary_table_row,"Blagotin3 | 11.4 | Blagotin-Poljna | Trstenik, Serbia | 43.723286000000002 | 21.099449 | M | 6081-5891 BCE | Neolithic Serbian Domestic | 3.9800000000000002E-2 | 5.5599999999999997E-2 | SAMEA4588077 | 21287328 | 1792217",false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90141-direklicave-taurusmountainsturkey,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-direklicave-taurusmountainsturkey,capra_hircus:locality:prjeb90141:direklicave:taurusmountainsturkey,Capra hircus,goat,wild_or_progenitor_context,accepted,admissible_for_curated_support,Direkli Cave,"Taurus Mountains, Turkey",37.8578,36.653883,37.857799999999997,36.653883,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Direkli Cave,Direkli Cave,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row2,,,"{'original_text': '13169-13316 BP', 'time_start_bp': 13169, 'time_end_bp': 13316, 'time_mean_bp': 13242, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'mixed_radiocarbon_and_archaeological_context', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB90141,PRJEB90141,capra_hircus:sample:prjeb90141:samea4453841,PRJEB90141,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,2025,Genome Biology and Evolution,https://doi.org/10.1093/gbe/evaf181,,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row2,supplementary_table_row,"Direkli1-2 | 11.21 | Direkli Cave | Taurus Mountains, Turkey | 37.857799999999997 | 36.653883 | F | 11367-11220 BCE | Turkish Bezoar, Taurus Mountains | 3.3399999999999999E-2 | 4.9500000000000002E-2 | SAMEA4453841; SAMEA4453842 | 19382004 | 1625844",false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90141-sangechakhmaq-semnaniran,animal-atlas-row:capra-hircus-prjeb90141-capra-hircus-locality-prjeb90141-sangechakhmaq-semnaniran,capra_hircus:locality:prjeb90141:sangechakhmaq:semnaniran,Capra hircus,goat,domesticated_core,accepted,admissible_for_curated_support,Sang-e Chakhmaq,"Semnan, Iran",36.504158,55.000786,36.504157999999997,55.000785999999998,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Sang-e Chakhmaq,Sang-e Chakhmaq,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row5,,,"{'original_text': '7939-8170 BP', 'time_start_bp': 7939, 'time_end_bp': 8170, 'time_mean_bp': 8054, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'mixed_radiocarbon_and_archaeological_context', 'evidence_class': 'direct_radiocarbon_date', 'precision_posture': 'sample_precise_interval', 'refusal_reason_code': ''}",PRJEB90141,PRJEB90141,capra_hircus:sample:prjeb90141:samea4591758,PRJEB90141,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,2025,Genome Biology and Evolution,https://doi.org/10.1093/gbe/evaf181,,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,supplementary_spreadsheet_row,Table S2 downsampled samples!row5,supplementary_table_row,"Semnan3 | 14.44 | Sang-e Chakhmaq | Semnan, Iran | 36.504157999999997 | 55.000785999999998 | F | 6221-5990 BCE | Neolithic NE Iranian Domestic | 3.7999999999999999E-2 | 5.3499999999999999E-2 | SAMEA4591758 | 24517997 | 2089829",false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90261-aguadulce-grancanaria,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-aguadulce-grancanaria,capra_hircus:locality:prjeb90261:aguadulce:grancanaria,Capra hircus,goat,domesticated_core,accepted,admissible_for_curated_support,Aguadulce,Gran Canaria,27.963741,-15.381412,27.963740999999999,-15.381411999999999,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Aguadulce,Aguadulce,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row31,,,"{'original_text': '11th - 12th centuries CE (SUII)', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'historical_and_archaeological_context', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'refusal_reason_code': ''}",PRJEB90261,PRJEB90261,capra_hircus:sample:prjeb90261:pgull-1961,PRJEB90261,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,2025,iScience,https://doi.org/10.1016/j.isci.2025.113771,,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,supplementary_spreadsheet_row,Table S2!row31,supplementary_table_row,29 | CHIC-0028 | PGULL-1961 | LLD-1061 | Gran_Canaria | Aguadulce | 27.963740999999999 | -15.381411999999999 | 11th - 12th centuries CE (SUII) | Yes | No | Yes | 8.4459999999999993E-2 | 46.513300000000001 | 9.3582399999999996E-2 | 28271 | 1 | 78.129800000000003 | Yes | A8 |  108G [1230iA] 2705T | 1,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
animal-atlas-feature:capra-hircus-locality-prjeb90261-belmaco-lapalma,animal-atlas-row:capra-hircus-prjeb90261-capra-hircus-locality-prjeb90261-belmaco-lapalma,capra_hircus:locality:prjeb90261:belmaco:lapalma,Capra hircus,goat,domesticated_core,accepted,admissible_for_curated_support,Belmaco,La Palma,28.5786,-17.7762,28.578600000000002,-17.776199999999999,supplementary_table_coordinates,exact,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,Belmaco,Belmaco,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row6,,,"{'original_text': '11th - 12th centuries CE (SU17-18)', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'date_stddev_bp': '', 'source_mean_bp_text': '', 'dating_basis': 'historical_and_archaeological_context', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'refusal_reason_code': ''}",PRJEB90261,PRJEB90261,capra_hircus:sample:prjeb90261:pgull-2197,PRJEB90261,,,,not_reported,1,capra_hircus:sample_locality,site_curated,Sample-level locality comes directly from the recovered sample source row.,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,2025,iScience,https://doi.org/10.1016/j.isci.2025.113771,,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,supplementary_spreadsheet_row,Table S2!row6,supplementary_table_row,4 | CHIC-0004 | PGULL-2197 | LLD-1402 | La_Palma | Belmaco | 28.578600000000002 | -17.776199999999999 | 11th - 12th centuries CE (SU17-18) | Yes | No | Yes | 0.50455000000000005 | 68.465100000000007 | 0.197329 | 57938 | 1 | 223.239 | Yes | A2a  |  6138T 7886C 8457A 11981T 15145C | 1 | 191.321 | Yes,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
