source_family,project_accession,metadata_url,result_kind,archive_status,evidence_strength,access_policy,species_latin_names,species_count
BioProject,PRJNA1178732,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA1178732,read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Felis catus,1
BioProject,PRJNA634908,https://www.ncbi.nlm.nih.gov/bioproject/PRJNA634908,read_run,reject_or_out_of_scope,archive_only,public_downloadable,Rangifer tarandus,1
ENA,PRJEB10854,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB10854&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Equus caballus,1
ENA,PRJEB19970,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB19970&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Equus caballus,1
ENA,PRJEB22390,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB22390&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Equus caballus,1
ENA,PRJEB30282,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB30282&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Sus scrofa domesticus,1
ENA,PRJEB31613,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB31613&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Equus caballus,1
ENA,PRJEB31621,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB31621&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Bos taurus,1
ENA,PRJEB36540,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB36540&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Ovis aries,1
ENA,PRJEB41594,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB41594&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Ovis aries,1
ENA,PRJEB43564,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB43564&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,comparator_only,archive_only,public_downloadable,Equus asinus,1
ENA,PRJEB44430,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB44430&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,paper_pinned_core,primary_paper_pinned,public_downloadable,Equus caballus,1
ENA,PRJEB50952,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB50952&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,comparator_only,archive_only,public_downloadable,Equus asinus,1
ENA,PRJEB52590,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52590&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,comparator_only,archive_only,public_downloadable,Equus asinus,1
ENA,PRJEB52849,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52849&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,comparator_only,archive_only,public_downloadable,Equus asinus,1
ENA,PRJEB55549,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB55549&result=analysis&fields=study_accession,sample_accession,experiment_accession,analysis_accession,analysis_type,tax_id,scientific_name,submitted_ftp,bam_ftp&format=tsv&download=true&limit=0",analysis,reject_or_out_of_scope,archive_only,public_downloadable,Equus asinus,1
ENA,PRJEB56293,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB56293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,archive_verified_needs_paper_pinning,archive_only,public_downloadable,Equus caballus,1
ENA,PRJEB57293,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB57293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",read_run,reject_or_out_of_scope,archive_only,public_downloadable,Rangifer tarandus,1
