row_kind,paper_doi,artifact_id,artifact_kind,label,source_url,local_path,fetch_status,content_type,byte_size,member_name,member_local_path,inferred_purpose
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:article.pdf,article_pdf,article source,https://www.nature.com/articles/s42003-021-02794-8,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/article.pdf,archived,"text/html; charset=""UTF-8""",629677,,,Nature article PDF is directly downloadable and anchors sheep project metadata plus supplementary sample tables.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:crossref.json,paper_metadata_json,crossref metadata,https://api.crossref.org/works/10.1038/s42003-021-02794-8,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/crossref.json,archived,application/json,35940,,,Crossref metadata snapshot preserves DOI and title even when publisher downloads are blocked.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM1_ESM.pdf,supplementary_pdf,supplementary note 1,https://static-content.springer.com/esm/art%3A10.1038%2Fs42003-021-02794-8/MediaObjects/42003_2021_2794_MOESM1_ESM.pdf,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM1_ESM.pdf,archived,application/pdf,5750730,,,Nature supplementary PDF discovered from article page.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM2_ESM.pdf,supplementary_pdf,supplementary note 2,https://static-content.springer.com/esm/art%3A10.1038%2Fs42003-021-02794-8/MediaObjects/42003_2021_2794_MOESM2_ESM.pdf,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM2_ESM.pdf,archived,application/pdf,2490216,,,Nature supplementary PDF discovered from article page.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM3_ESM.pdf,supplementary_pdf,supplementary note 3,https://static-content.springer.com/esm/art%3A10.1038%2Fs42003-021-02794-8/MediaObjects/42003_2021_2794_MOESM3_ESM.pdf,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM3_ESM.pdf,archived,application/pdf,560360,,,Nature supplementary PDF discovered from article page.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM4_ESM.zip,supplementary_zip,supplementary data zip,https://static-content.springer.com/esm/art%3A10.1038%2Fs42003-021-02794-8/MediaObjects/42003_2021_2794_MOESM4_ESM.zip,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,archived,application/octet-stream,817335,,,Nature supplementary data bundle discovered from article page.
archived_asset,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM5_ESM.pdf,supplementary_pdf,supplementary note 5,https://static-content.springer.com/esm/art%3A10.1038%2Fs42003-021-02794-8/MediaObjects/42003_2021_2794_MOESM5_ESM.pdf,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM5_ESM.pdf,archived,application/pdf,2134722,,,Nature supplementary PDF discovered from article page.
archived_asset,10.1038/s42003-021-02794-8,PRJEB36540:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB36540&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB36540/archive_metadata.html,archived,text/plain,2495,,,Archive-facing metadata page captured for the tracked accession.
zip_member,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM4_ESM.zip,supplementary_zip_member,Supplementary_Data_1.xlsx,,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,archived,,19788,Supplementary_Data_1.xlsx,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,structured_table_candidate
zip_member,10.1038/s42003-021-02794-8,10.1038-s42003-021-02794-8:42003_2021_2794_MOESM4_ESM.zip,supplementary_zip_member,Supplementary_Data_10.xlsx,,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,archived,,19499,Supplementary_Data_10.xlsx,adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_10.xlsx,structured_table_candidate
