row_kind,paper_doi,artifact_id,artifact_kind,label,source_url,local_path,fetch_status,content_type,byte_size,member_name,member_local_path,inferred_purpose
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:article.html,article_html,article source,https://academic.oup.com/gbe/article/doi/10.1093/gbe/evae114/7682331,adna/governance/source_library/papers/10.1093-gbe-evae114/article.html,missing,,,,,Publisher article page is archived where accessible; OUP bot protection can still block richer downloads.
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:article_full_text.xml,article_full_text_xml,Europe PMC full-text XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11162877/fullTextXML,adna/governance/source_library/papers/10.1093-gbe-evae114/article_full_text.xml,archived,application/xml,191558,,,Official open-access full text supplies Table 1 sample chronology and its BP/context footnotes.
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:article_full_text.xml.metadata.json,source_receipt_json,capture receipt for Europe PMC full-text XML,https://www.ebi.ac.uk/europepmc/webservices/rest/PMC11162877/fullTextXML,adna/governance/source_library/papers/10.1093-gbe-evae114/article_full_text.xml.metadata.json,archived,application/json,1330,,,"Capture receipt preserves source URL, byte and digest identity, licensing, and evidence locators."
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:crossref.json,paper_metadata_json,crossref metadata,https://api.crossref.org/works/10.1093/gbe/evae114,adna/governance/source_library/papers/10.1093-gbe-evae114/crossref.json,archived,application/json,35106,,,Crossref metadata snapshot preserves DOI and title even when publisher downloads are blocked.
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:Supplementary Figures Baltic Sheep.pdf,supplementary_pdf,curated supplementary asset Supplementary Figures Baltic Sheep.pdf,https://academic.oup.com/gbe/article/doi/10.1093/gbe/evae114/7682331,adna/governance/source_library/papers/10.1093-gbe-evae114/supplementary/Supplementary Figures Baltic Sheep.pdf,archived,application/pdf,4139432,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1093/gbe/evae114,10.1093-gbe-evae114:SupplementaryTables_Revision2.xlsx,supplementary_table,curated supplementary asset SupplementaryTables_Revision2.xlsx,https://academic.oup.com/gbe/article/doi/10.1093/gbe/evae114/7682331,adna/governance/source_library/papers/10.1093-gbe-evae114/supplementary/SupplementaryTables_Revision2.xlsx,archived,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,64739,,,Recovered from the local DOI-keyed supplement stash and copied into the governed source library.
archived_asset,10.1093/gbe/evae114,PRJEB59481:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB59481&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB59481/archive_metadata.html,archived,text/plain,21958,,,Archive-facing metadata page captured for the tracked accession.
archived_asset,10.1093/gbe/evae114,PRJEB59481:SAMEA112960291.xml,ena_sample_xml,ENA sample XML SAMEA112960291,https://www.ebi.ac.uk/ena/browser/api/xml/SAMEA112960291,adna/governance/source_library/projects/PRJEB59481/ena_samples/SAMEA112960291.xml,archived,application/xml,2691,,,"Official ENA biological-sample record supplies exact sample identity, source-native lat_lon, taxonomy, and material wording."
archived_asset,10.1093/gbe/evae114,PRJEB59481:SAMEA112960291.xml.metadata.json,source_receipt_json,capture receipt for ENA sample XML SAMEA112960291,https://www.ebi.ac.uk/ena/browser/api/xml/SAMEA112960291,adna/governance/source_library/projects/PRJEB59481/ena_samples/SAMEA112960291.xml.metadata.json,archived,application/json,1325,,,"Capture receipt preserves source URL, byte and digest identity, licensing, and evidence locators."
archived_asset,10.1093/gbe/evae114,PRJEB59481:SAMEA112960292.xml,ena_sample_xml,ENA sample XML SAMEA112960292,https://www.ebi.ac.uk/ena/browser/api/xml/SAMEA112960292,adna/governance/source_library/projects/PRJEB59481/ena_samples/SAMEA112960292.xml,archived,application/xml,2691,,,"Official ENA biological-sample record supplies exact sample identity, source-native lat_lon, taxonomy, and material wording."
