project_accession,species_latin_name,recovered_sample_row_count,normalized_row_count,exact_sample_date_count,modeled_or_approximate_sample_date_count,contextual_date_count,broad_label_count,text_only_unparsed_count,unresolved_count,chronology_completeness_ratio
PRJEB22390,Equus caballus,42,42,42,0,0,0,0,0,1.0
PRJEB44430,Equus caballus,248,248,248,0,0,0,0,0,1.0
PRJEB31613,Equus caballus,245,237,237,0,0,0,0,8,0.9673
PRJEB19970,Equus caballus,15,13,13,0,0,0,0,2,0.8667
PRJEB56293,Equus caballus,0,0,0,0,0,0,0,0,0.0
PRJEB7537,Equus caballus,0,0,0,0,0,0,0,0,0.0
PRJEB10854,Equus caballus,0,0,0,0,0,0,0,0,0.0
PRJEB9799,Equus caballus,0,0,0,0,0,0,0,0,0.0
PRJEB36540,Ovis aries,190,180,167,13,0,0,13,10,0.9474
PRJEB41594,Ovis aries,5,0,0,0,0,0,0,5,0.0
PRJEB59481,Ovis aries,5,4,3,0,1,1,1,0,0.8
PRJEB61808,Ovis aries,0,0,0,0,0,0,0,0,0.0
PRJEB69690,Ovis aries,0,0,0,0,0,0,0,0,0.0
PRJEB81145,Ovis aries,0,0,0,0,0,0,0,0,0.0
PRJEB30282,Sus scrofa domesticus,343,2,0,2,0,0,0,341,0.0058
PRJNA788987,Sus scrofa domesticus,0,0,0,0,0,0,0,0,0.0
PRJNA878488,Sus scrofa domesticus,0,0,0,0,0,0,0,0,0.0
PRJNA421430,Sus scrofa domesticus,0,0,0,0,0,0,0,0,0.0
PRJEB31621,Bos taurus,78,65,0,58,7,0,0,13,0.8333
PRJEB75467,Bos taurus,44,0,0,0,0,0,0,44,0.0
PRJNA705960,Bos taurus,11,0,0,0,0,0,0,11,0.0
PRJEB90141,Capra hircus,4,4,4,0,0,0,0,0,1.0
PRJEB90261,Capra hircus,73,73,0,73,0,0,73,0,1.0
PRJNA1328209,Capra hircus,5,5,5,0,0,0,0,0,1.0
PRJEB81815,Felis catus,87,45,0,37,8,39,39,3,0.5172
PRJNA1178732,Felis catus,22,22,17,5,0,0,5,0,1.0
SRS1407451,Canis lupus familiaris,1,0,0,0,0,0,0,1,0.0
SRS1407453,Canis lupus familiaris,1,1,1,0,0,0,0,0,1.0
KX379528-KX379529,Canis lupus familiaris,2,2,2,0,0,0,0,0,1.0
SRP073444,Camelus dromedarius,0,0,0,0,0,0,0,0,0.0
KU605068-KU605080,Camelus dromedarius,13,13,13,0,0,0,0,0,1.0
PRJEB50952,Equus asinus,0,0,0,0,0,0,0,0,0.0
PRJEB52849,Equus asinus,0,0,0,0,0,0,0,0,0.0
PRJEB52590,Equus asinus,0,0,0,0,0,0,0,0,0.0
PRJEB43564,Equus asinus,0,0,0,0,0,0,0,0,0.0
PRJEB55549,Equus asinus,0,0,0,0,0,0,0,0,0.0
PRJEB60484,Rangifer tarandus,20,0,0,0,0,0,0,20,0.0
PRJEB57293,Rangifer tarandus,0,0,0,0,0,0,0,0,0.0
PRJEB61721,Rangifer tarandus,0,0,0,0,0,0,0,0,0.0
PRJNA634908,Rangifer tarandus,0,0,0,0,0,0,0,0,0.0
