species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605068,KU605068,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605069,KU605069,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605070,KU605070,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605071,KU605071,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605072,KU605072,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605073,KU605073,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605074,KU605074,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605075,KU605075,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605076,KU605076,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605077,KU605077,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605078,KU605078,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605079,KU605079,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605080,KU605080,accession_range_anchor,archive_native,final,,,unresolved,,,,,unresolved,,,,historical_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
