species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605068,Palm152,primary_article_accession_mapping,article_text_extracted,final,,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,"KU605068 maps to Palm152 from Palmyra, dated by the article to 100 BCE-300 CE.",normalized_interval,1650,2050,1850,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605069,Palm157,primary_article_accession_mapping,article_text_extracted,final,,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,"KU605069 maps to Palm157 from Palmyra, dated by the article to 100 BCE-300 CE.",normalized_interval,1650,2050,1850,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605070,Palm171,primary_article_accession_mapping,article_text_extracted,final,,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,"KU605070 maps to Palm171 from Palmyra, dated by the article to 100 BCE-300 CE.",normalized_interval,1650,2050,1850,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605071,SAG2,primary_article_accession_mapping,article_text_extracted,final,,1250-1500 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,"KU605071 maps to SAG2 from Sagalassos, dated by the article to 450-700 CE.",normalized_interval,1250,1500,1375,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605072,Drom439,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,The article identifies KU605072 as a modern comparator from the Qatar-Jordan border.,normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605073,Drom795,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,The article identifies KU605073 as a modern comparator from Saudi Arabia.,normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605074,Drom796,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,The article identifies KU605074 as a modern comparator from Saudi Arabia.,normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605075,Drom797,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,The article identifies KU605075 as a modern comparator from Saudi Arabia.,normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605076,Drom801A,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,The article identifies KU605076 as a modern comparator from Austria.,normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605077,Drom802,primary_article_accession_mapping,article_text_extracted,final,,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,"The article identifies KU605077 as a modern comparator from Dubai, United Arab Emirates.",normalized_point,0,0,0,historical_and_archaeological_context,,Chronology comes from the recovered sample-owned source row.
