species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,published_wording,source_wording_excerpt,provenance_surface,provenance_kind,provenance_locator,dating_basis,evidence_class,precision_posture,normalization_status,normalization_rule,uncertainty_note,time_start_bp,time_end_bp,time_mean_bp,temporal_semantics
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605068,Palm152,1650-2050 BP,"KU605068 maps to Palm152 from Palmyra, dated by the article to 100 BCE-300 CE.",adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1650,2050,1850,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1650-2050 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1650, 'time_end_bp': 2050, 'time_mean_bp': 1850, 'duration_years': 400, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'KU605068 maps to Palm152 from Palmyra, dated by the article to 100 BCE-300 CE.', 'original_labels': ['1650-2050 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605069,Palm157,1650-2050 BP,"KU605069 maps to Palm157 from Palmyra, dated by the article to 100 BCE-300 CE.",adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1650,2050,1850,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1650-2050 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1650, 'time_end_bp': 2050, 'time_mean_bp': 1850, 'duration_years': 400, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'KU605069 maps to Palm157 from Palmyra, dated by the article to 100 BCE-300 CE.', 'original_labels': ['1650-2050 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605070,Palm171,1650-2050 BP,"KU605070 maps to Palm171 from Palmyra, dated by the article to 100 BCE-300 CE.",adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1650,2050,1850,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1650-2050 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1650, 'time_end_bp': 2050, 'time_mean_bp': 1850, 'duration_years': 400, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'KU605070 maps to Palm171 from Palmyra, dated by the article to 100 BCE-300 CE.', 'original_labels': ['1650-2050 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605071,SAG2,1250-1500 BP,"KU605071 maps to SAG2 from Sagalassos, dated by the article to 450-700 CE.",adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1250,1500,1375,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1250-1500 BP', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1250, 'time_end_bp': 1500, 'time_mean_bp': 1375, 'duration_years': 250, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'KU605071 maps to SAG2 from Sagalassos, dated by the article to 450-700 CE.', 'original_labels': ['1250-1500 BP'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605072,Drom439,0 BP (modern comparator),The article identifies KU605072 as a modern comparator from the Qatar-Jordan border.,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605072 as a modern comparator from the Qatar-Jordan border.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605073,Drom795,0 BP (modern comparator),The article identifies KU605073 as a modern comparator from Saudi Arabia.,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605073 as a modern comparator from Saudi Arabia.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605074,Drom796,0 BP (modern comparator),The article identifies KU605074 as a modern comparator from Saudi Arabia.,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605074 as a modern comparator from Saudi Arabia.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605075,Drom797,0 BP (modern comparator),The article identifies KU605075 as a modern comparator from Saudi Arabia.,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605075 as a modern comparator from Saudi Arabia.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605076,Drom801A,0 BP (modern comparator),The article identifies KU605076 as a modern comparator from Austria.,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605076 as a modern comparator from Austria.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605077,Drom802,0 BP (modern comparator),"The article identifies KU605077 as a modern comparator from Dubai, United Arab Emirates.",adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_or_archive_text,Materials and methods; Data accessibility,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,0,0,0,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '0 BP (modern comparator)', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 0, 'time_end_bp': 0, 'time_mean_bp': 0, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'refusal_reason_code': '', 'provenance_path': 'adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html', 'provenance_locator': 'Materials and methods; Data accessibility', 'provenance_excerpt': 'The article identifies KU605077 as a modern comparator from Dubai, United Arab Emirates.', 'original_labels': ['0 BP (modern comparator)'], 'normalized_labels': [], 'uncertainty_notes': []}"
