species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605068,KU605068,Palm152,,Palm152,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,"KU605068 maps to Palm152 from Palmyra, dated by the article to 100 BCE-300 CE.",final,,Palmyra,Syria,,,1650-2050 BP,,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605069,KU605069,Palm157,,Palm157,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,"KU605069 maps to Palm157 from Palmyra, dated by the article to 100 BCE-300 CE.",final,,Palmyra,Syria,,,1650-2050 BP,,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605070,KU605070,Palm171,,Palm171,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,"KU605070 maps to Palm171 from Palmyra, dated by the article to 100 BCE-300 CE.",final,,Palmyra,Syria,,,1650-2050 BP,,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605071,KU605071,SAG2,,SAG2,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,"KU605071 maps to SAG2 from Sagalassos, dated by the article to 450-700 CE.",final,,Sagalassos,Turkey,,,1250-1500 BP,,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605072,KU605072,Drom439,,Drom439,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,The article identifies KU605072 as a modern comparator from the Qatar-Jordan border.,final,,Qatar-Jordan border,Qatar and Jordan,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605073,KU605073,Drom795,,Drom795,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,The article identifies KU605073 as a modern comparator from Saudi Arabia.,final,,Saudi Arabia,Saudi Arabia,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605074,KU605074,Drom796,,Drom796,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,The article identifies KU605074 as a modern comparator from Saudi Arabia.,final,,Saudi Arabia,Saudi Arabia,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605075,KU605075,Drom797,,Drom797,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,The article identifies KU605075 as a modern comparator from Saudi Arabia.,final,,Saudi Arabia,Saudi Arabia,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605076,KU605076,Drom801A,,Drom801A,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,The article identifies KU605076 as a modern comparator from Austria.,final,,Austria,Austria,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605077,KU605077,Drom802,,Drom802,primary_article_accession_mapping,article_text_extracted,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,"The article identifies KU605077 as a modern comparator from Dubai, United Arab Emirates.",final,,Dubai,United Arab Emirates,,,0 BP (modern comparator),,,,,,not_reported,,biological_sample,
