species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,locality_text,locality_resolution_status,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,site_name,municipality_name,region_name,country_name,broader_geography,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,review_note
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605068,KU605068,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605069,KU605069,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605070,KU605070,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605071,KU605071,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605072,KU605072,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605073,KU605073,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605074,KU605074,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605075,KU605075,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605076,KU605076,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605077,KU605077,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605078,KU605078,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605079,KU605079,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Camelus dromedarius,dromedary camel,KU605068-KU605080,ku605068-ku605080:ku605080,KU605080,accession_range_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
