species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160866,SAMEA5160866,,,SAMEA5160866,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160866,ENA archive metadata identifies sample SAMEA5160866 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160867,SAMEA5160867,AA015,AA015,SAMEA5160867,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,sample_accession:SAMEA5160867 || Sheet1!row1212,ENA archive metadata identifies sample SAMEA5160867 as Sus scrofa (tax_id 9823). || AA015 | Bundsø | Denmark | 2800-2600 BC | 4700 BP | Domestic,final,,Bundsø,Denmark,55.02158609,9.77344984,4700 BP,archaeological_context,archaeological_context_date,sample_approximate_or_modeled,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160868,SAMEA5160868,AA016,AA016,SAMEA5160868,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,sample_accession:SAMEA5160868 || Sheet1!row1215,ENA archive metadata identifies sample SAMEA5160868 as Sus scrofa (tax_id 9823). || AA016 | Trelleborg | Denmark | c. AD 1000 | 1000 BP | Domestic,final,,Trelleborg,Denmark,55.39416667,11.26527778,1000 BP,archaeological_context,archaeological_context_date,sample_approximate_or_modeled,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160869,SAMEA5160869,,,SAMEA5160869,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160869,ENA archive metadata identifies sample SAMEA5160869 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160870,SAMEA5160870,,,SAMEA5160870,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160870,ENA archive metadata identifies sample SAMEA5160870 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160871,SAMEA5160871,,,SAMEA5160871,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160871,ENA archive metadata identifies sample SAMEA5160871 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160872,SAMEA5160872,,,SAMEA5160872,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160872,ENA archive metadata identifies sample SAMEA5160872 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160873,SAMEA5160873,,,SAMEA5160873,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160873,ENA archive metadata identifies sample SAMEA5160873 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160874,SAMEA5160874,,,SAMEA5160874,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160874,ENA archive metadata identifies sample SAMEA5160874 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160875,SAMEA5160875,,,SAMEA5160875,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160875,ENA archive metadata identifies sample SAMEA5160875 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160876,SAMEA5160876,,,SAMEA5160876,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160876,ENA archive metadata identifies sample SAMEA5160876 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160877,SAMEA5160877,,,SAMEA5160877,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160877,ENA archive metadata identifies sample SAMEA5160877 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160878,SAMEA5160878,,,SAMEA5160878,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160878,ENA archive metadata identifies sample SAMEA5160878 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160879,SAMEA5160879,,,SAMEA5160879,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160879,ENA archive metadata identifies sample SAMEA5160879 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160880,SAMEA5160880,,,SAMEA5160880,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160880,ENA archive metadata identifies sample SAMEA5160880 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160881,SAMEA5160881,,,SAMEA5160881,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160881,ENA archive metadata identifies sample SAMEA5160881 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160882,SAMEA5160882,,,SAMEA5160882,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160882,ENA archive metadata identifies sample SAMEA5160882 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160883,SAMEA5160883,,,SAMEA5160883,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160883,ENA archive metadata identifies sample SAMEA5160883 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160884,SAMEA5160884,,,SAMEA5160884,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160884,ENA archive metadata identifies sample SAMEA5160884 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160885,SAMEA5160885,,,SAMEA5160885,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160885,ENA archive metadata identifies sample SAMEA5160885 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160886,SAMEA5160886,,,SAMEA5160886,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160886,ENA archive metadata identifies sample SAMEA5160886 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160887,SAMEA5160887,,,SAMEA5160887,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160887,ENA archive metadata identifies sample SAMEA5160887 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160888,SAMEA5160888,,,SAMEA5160888,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160888,ENA archive metadata identifies sample SAMEA5160888 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160889,SAMEA5160889,,,SAMEA5160889,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160889,ENA archive metadata identifies sample SAMEA5160889 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160890,SAMEA5160890,,,SAMEA5160890,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160890,ENA archive metadata identifies sample SAMEA5160890 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160891,SAMEA5160891,,,SAMEA5160891,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160891,ENA archive metadata identifies sample SAMEA5160891 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160892,SAMEA5160892,,,SAMEA5160892,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160892,ENA archive metadata identifies sample SAMEA5160892 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160893,SAMEA5160893,,,SAMEA5160893,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160893,ENA archive metadata identifies sample SAMEA5160893 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160894,SAMEA5160894,,,SAMEA5160894,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160894,ENA archive metadata identifies sample SAMEA5160894 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160895,SAMEA5160895,,,SAMEA5160895,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160895,ENA archive metadata identifies sample SAMEA5160895 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160896,SAMEA5160896,,,SAMEA5160896,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160896,ENA archive metadata identifies sample SAMEA5160896 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160897,SAMEA5160897,,,SAMEA5160897,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160897,ENA archive metadata identifies sample SAMEA5160897 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160898,SAMEA5160898,,,SAMEA5160898,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160898,ENA archive metadata identifies sample SAMEA5160898 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160899,SAMEA5160899,,,SAMEA5160899,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160899,ENA archive metadata identifies sample SAMEA5160899 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160900,SAMEA5160900,,,SAMEA5160900,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160900,ENA archive metadata identifies sample SAMEA5160900 as Sus scrofa (tax_id 9823).,final,,,,,,,,,,9823,Sus scrofa,project_species_mismatch,,biological_sample_accession
