species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,locality_text,locality_resolution_status,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,site_name,municipality_name,region_name,country_name,broader_geography,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,review_note
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160866,SAMEA5160866,archive_project_sample_accession_anchor,archive_native,final,,Nivå,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160866 || Sheet1!row1214,ENA archive metadata identifies sample SAMEA5160866 as Sus scrofa (tax_id 9823). || AA014 | previous_extraction_code=GL307 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 11 | additional_sample_information=- | location=Nivå | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5400-4500 BC | source_mean_years_bp=6950 | period=Late Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,Nivå,,,Denmark,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160867,SAMEA5160867,archive_project_sample_accession_anchor,archive_native,final,,Bundsø,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160867 || Sheet1!row1212,ENA archive metadata identifies sample SAMEA5160867 as Sus scrofa (tax_id 9823). || AA015 | previous_extraction_code=GL468 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 17 | additional_sample_information=- | location=Bundsø | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=2800-2600 BC | source_mean_years_bp=4700 | period=Middle Neolithic A phase III | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=admitted_existing_context_point | domestication_disposition=admitted_domesticated_core,Bundsø,,,Denmark,,named_site_geocoding,mappable_point,approximate,4700 BP,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160868,SAMEA5160868,archive_project_sample_accession_anchor,archive_native,final,,Trelleborg,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160868 || Sheet1!row1215,ENA archive metadata identifies sample SAMEA5160868 as Sus scrofa (tax_id 9823). || AA016 | previous_extraction_code=GL306 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 25 | additional_sample_information=- | location=Trelleborg | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=c. AD 1000 | source_mean_years_bp=1000 | period=Early Medieval | group=EUD-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=admitted_existing_context_point | domestication_disposition=admitted_domesticated_core,Trelleborg,,,Denmark,,named_site_geocoding,mappable_point,approximate,1000 BP,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160869,SAMEA5160869,archive_project_sample_accession_anchor,archive_native,final,,Flynderhage,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160869 || Sheet1!row1213,ENA archive metadata identifies sample SAMEA5160869 as Sus scrofa (tax_id 9823). || AA017 | previous_extraction_code=GL429 | mtdna_accession=- | source=Kim Aaris-Sørensen | museum_or_sample_code=ZMK 119 | additional_sample_information=- | location=Flynderhage | country=Denmark | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=4500-3900 BC | source_mean_years_bp=6200 | period=Late Mesolithic | group=EUW-A | zooarch_status=Wild | combined_status=Wild | secondary_zooarch_status=Wild | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_wild,Flynderhage,,,Denmark,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160870,SAMEA5160870,archive_project_sample_accession_anchor,archive_native,final,,"Kush, Ras al-Khaimah",direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160870 || Sheet1!row639,"ENA archive metadata identifies sample SAMEA5160870 as Sus scrofa (tax_id 9823). || AA019 | previous_extraction_code=GL149 | mtdna_accession=- | source=Derek Kennet | museum_or_sample_code=- | additional_sample_information=- | location=Kush, Ras al-Khaimah | country=United Arab Emirates | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=5th - 6th century AD | source_mean_years_bp=1450 | period=Sasanian culture | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope","Kush, Ras al-Khaimah",,,United Arab Emirates,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160871,SAMEA5160871,archive_project_sample_accession_anchor,archive_native,final,,Tell Brak,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160871 || Sheet1!row1151,ENA archive metadata identifies sample SAMEA5160871 as Sus scrofa (tax_id 9823). || AA021 | previous_extraction_code=GL180 | mtdna_accession=- | source=Keith Dobney / Roger Matthews | museum_or_sample_code=A1200.1 | additional_sample_information=- | location=Tell Brak | country=Syria | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=c. 2400 BC | source_mean_years_bp=4400 | period=Akkadian | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,Tell Brak,,,Syria,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160872,SAMEA5160872,archive_project_sample_accession_anchor,archive_native,final,,Tell Brak,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160872 || Sheet1!row1152,ENA archive metadata identifies sample SAMEA5160872 as Sus scrofa (tax_id 9823). || AA023 | previous_extraction_code=GL430 | mtdna_accession=- | source=Keith Dobney / Roger Matthews | museum_or_sample_code=A508.1 | additional_sample_information=- | location=Tell Brak | country=Syria | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=c. 2350 BC | source_mean_years_bp=4350 | period=Akkadian | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,Tell Brak,,,Syria,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160873,SAMEA5160873,archive_project_sample_accession_anchor,archive_native,final,,Tol e Bashi,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160873 || Sheet1!row1679,ENA archive metadata identifies sample SAMEA5160873 as Sus scrofa (tax_id 9823). || AA025 | previous_extraction_code=- | mtdna_accession=- | source=Marjan Mashkour | museum_or_sample_code=- | additional_sample_information=Unit A Loc 20 RN 16G | location=Tol e Bashi | country=Iran | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=- | source_mean_years_bp=- | period=Late Neolithic | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=unresolved_missing_source_mean | domestication_disposition=excluded_domestication_unknown,Tol e Bashi,,,Iran,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160874,SAMEA5160874,archive_project_sample_accession_anchor,archive_native,final,,Sagalassos,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160874 || Sheet1!row461,ENA archive metadata identifies sample SAMEA5160874 as Sus scrofa (tax_id 9823). || AA034 | previous_extraction_code=GL1118 | mtdna_accession=- | source=Bea De Cupere | museum_or_sample_code=SA91N309 | additional_sample_information=- | location=Sagalassos | country=Turkey | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=300-450 AD | source_mean_years_bp=1625 | period=Late Roman | group=NED-A | zooarch_status=Domestic | combined_status=Domestic | secondary_zooarch_status=Domestic | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_unreviewed_domesticated_scope,Sagalassos,,,Turkey,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160875,SAMEA5160875,archive_project_sample_accession_anchor,archive_native,final,,Abu Ghosh,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160875 || Sheet1!row1663,"ENA archive metadata identifies sample SAMEA5160875 as Sus scrofa (tax_id 9823). || AA042 | previous_extraction_code=GL1141 | mtdna_accession=- | source=Liora Horwitz | museum_or_sample_code=Israel anc4, AG 40, 0.64 | additional_sample_information=- | location=Abu Ghosh | country=Israel | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=8895+-60 uncal (10198-9774 cal BP) indirect date | source_mean_years_bp=- | period=Mid Pre-Pottery Neolithic B | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=unresolved_missing_source_mean | domestication_disposition=excluded_domestication_unknown",Abu Ghosh,,,Israel,,,,,,Sample-level locality comes directly from the recovered sample source row.
Sus scrofa domesticus,pig,PRJEB30282,prjeb30282:samea5160876,SAMEA5160876,archive_project_sample_accession_anchor,archive_native,final,,Tel Bet Shean,direct_sample_site,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html || data/adna/governance/source_library/papers/10.1073-pnas.1901169116/supplementary/pnas.1901169116.sd01.xlsx,supplementary_spreadsheet_row,sample_accession:SAMEA5160876 || Sheet1!row1667,"ENA archive metadata identifies sample SAMEA5160876 as Sus scrofa (tax_id 9823). || AA043 | previous_extraction_code=GL1142 | mtdna_accession=- | source=Liora Horwitz | museum_or_sample_code=Israel anc5, L68139, B681146B | additional_sample_information=- | location=Tel Bet Shean | country=Israel | radiocarbon_lab=- | uncalibrated_date=- | uncalibrated_error=- | calibrated_from_bp=- | calibrated_to_bp=- | source_age=3,200-2,700 BP | source_mean_years_bp=2950 | period=Late Bronze Age IA/B | group=NEU-A | zooarch_status=Unknown | combined_status=Unknown | secondary_zooarch_status=Unknown | published=N | chronology_disposition=refused_context_only_unresolved_age_semantics | domestication_disposition=excluded_domestication_unknown",Tel Bet Shean,,,Israel,,,,,,Sample-level locality comes directly from the recovered sample source row.
