project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,6,Actiparc,Actiparc,excavation_site,Actiparc,,,France,,actiparc,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row5,Actiparc_GVA124_2143 | CGG_1_019382 | Iron Age | 2143 | Actiparc | 50.31503 | 2.8217970000000001 | France | horse | male | 94.629478730000002 | 2.2355070504699999 | 0 | 0 | 0 | 0 | 1.3 | 2110 | 20 | -196 | -56 | 95.4 | -126 | -2143
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Alcáçova de Santarém,Alcáçova de Santarém,excavation_site,Alcáçova de Santarém,,,Portugal,,alcáçovadesantarém,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row194,Santarem_254_1017 | CGG_1_020032 | Middle Ages | 817-1217 | Alcáçova de Santarém | 39.241 | -8.6920000000000002 | Portugal | horse | female | 6.7738166570000002 | 1.74675206492E-2 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Altata,Altata,excavation_site,Altata,,,Russia,,altata,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row11,Altata_NB31_Neolithic | CGG_1_017023 | Neolithic | - | Altata | 51.07 | 48.44 | Russia | horse | male | 2.79868184542 | 6.0389796895E-2 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,3,Arzhan I,Arzhan I,excavation_site,Arzhan I,,,Russia,,arzhani,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row13,ArzhanI_I-K2_Arz1_2727 | CGG_1_017079 | Iron Age | 2727 | Arzhan I | 52.058888899999999 | 93.603888900000001 | Russia | horse | male | 149.610065908 | 2.8201171095199999 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,4,Arzhan II,Arzhan II,excavation_site,Arzhan II,,,Russia,,arzhanii,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row15,ArzhanII_Arz15_2642 | CGG_1_017084 | Iron Age | 2617-2667 | Arzhan II | 52.058888899999999 | 93.603888900000001 | Russia | horse | male | 18.52001198 | 0.132584723376 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Augusta Raurica - Insula 8,Augusta Raurica - Insula 8,excavation_site,Augusta Raurica - Insula 8,,,Switzerland,,augustarauricainsula8,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row19,AugustaRaurica_JG160_1817 | CGG_1_019246 | Roman period | 1717-1917 | Augusta Raurica - Insula 8 | 47.533178200000002 | 7.7220154000000001 | Switzerland | horse | male | 109.3729179 | 2.2482745042499999 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,2,Augusta Raurica - Schmidmatt,Augusta Raurica - Schmidmatt,excavation_site,Augusta Raurica - Schmidmatt,,,Switzerland,,augustarauricaschmidmatt,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row20,AugustaRauricaSchmidmatt_NBxK9279_1717 | CGG_1_020505 | Roman period | 1617-1817 | Augusta Raurica - Schmidmatt | 47.536085 | 7.7220154000000001 | Switzerland | horse | male | 0.55961653684799995 | 9.3295918175600005E-3 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Balagansk,Balagansk,excavation_site,Balagansk,,,Russia,,balagansk,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row22,Balagansk_Rus19_2017 | CGG_1_019169 | Iron Age | 1817-2217 | Balagansk | 47.666666669999998 | 8.85 | Russia | horse | male | 10.414319949999999 | 9.7227053721199996E-3 | 0 | 0 | 0 | 0
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Bapska Gradac,Bapska Gradac,excavation_site,Bapska Gradac,,,Croatia,,bapskagradac,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row23,BapskaGradac_BAPSKA_1305 | CGG_1_020443 | Middle Ages | 1305 | Bapska Gradac | 45.197325499999998 | 19.262490700000001 | Croatia | horse | male | 1.4756740563199999 | 2.8660754659799999E-2 | 0 | 0 | 0 | 0 | 4 | 1315 | 20 | 658 | 766 | 95.4 | 712 | -1305
PRJEB31613,Equus caballus,supplementary_table,sample_owned_locality,1,Batagai,Batagai,excavation_site,Batagai,,,Russia,,batagai,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row24,Batagai_5155 | N/A | wild Archaic  | 5155 | Batagai | 67.566666699999999 | 134.766666666666 | Russia | horse | male  | 499.60119832200002 | 23.064985801999999 | 0 | 0 | 0 | 0
