species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_010022,Taymyr_CGG10022_42758,supplementary_table_sample_label_anchor,direct_table_extracted,final,,42758 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row212,Taymyr_CGG10022_42758 | CGG_1_010022 | wild Archaic  | 42758 | Taymyr | 73.046000000000006 | 109.708 | Russia | horse | female | 127.47004194100001 | 23.673342611599999 | 0 | 0 | 0 | 0,normalized_point,42758,42758,42758,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_010023,Taymyr_CGG10023_16056,supplementary_table_sample_label_anchor,direct_table_extracted,final,,16056 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row213,Taymyr_CGG10023_16056 | CGG_1_010023 | wild Archaic  | 16056 | Taymyr | 73.046000000000006 | 109.708 | Russia | horse | male  | 244.525404434 | 6.2178292009299998 | 0 | 0 | 0 | 0,normalized_point,16056,16056,16056,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_010397,Tumeski_CGG101397_192,supplementary_table_sample_label_anchor,direct_table_extracted,final,,192 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row225,Tumeski_CGG101397_192 | CGG_1_010397 | Modern period | 192 | Tumeski | 66.933333329999996 | 131.91666670000001 | Russia | horse | male  | 819.62654283999996 | 20.841061562699998 | 0 | 0 | 0 | 0,normalized_point,192,192,192,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016168,Berel_BER01_A_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row32,Berel_BER01_A_2300 | CGG_1_016168 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 384.05350509300001 | 9.2855317137599993 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016169,Berel_BER02_B_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row33,Berel_BER02_B_2300 | CGG_1_016169 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 346.43385260600002 | 10.1485816868 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016171,Berel_BER04_D_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row34,Berel_BER04_D_2300 | CGG_1_016171 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 316.29664469699998 | 7.04586824147 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016172,Berel_BER05_E_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row35,Berel_BER05_E_2300 | CGG_1_016172 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 482.12240862800002 | 8.7462927445599998 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016173,Berel_BER06_F_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row36,Berel_BER06_F_2300 | CGG_1_016173 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 650.260575195 | 9.4676251560099995 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016174,Berel_BER07_G_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row37,Berel_BER07_G_2300 | CGG_1_016174 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 300.931096465 | 2.00286094309 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
Equus caballus,horse,PRJEB31613,prjeb31613:cgg_1_016175,Berel_BER08_H_2300,supplementary_table_sample_label_anchor,direct_table_extracted,final,,2300 BP,sample_owned_interval,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,supplementary_spreadsheet_row,Sheet1!row38,Berel_BER08_H_2300 | CGG_1_016175 | Iron Age | 2300 | Berel' | 49.3737353 | 86.427292199999997 | Kazakhstan | horse | male | 261.04511683599998 | 2.3604015646300001 | 0 | 0 | 0 | 0,normalized_point,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,Sample-owned chronology disagrees with the project-level chronology interval.,Chronology keeps the sample-owned claim because it conflicts with the project-level context row.
