species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 28,,,BH 28,BH 28,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row170,158 | Barcın Höyük | BH 28 | 31157 | 6300-6200 cal  BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal  BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 29,,,BH 29,BH 29,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row171,159 | Barcın Höyük | BH 29 | 37343 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 33,,,BH 33,BH 33,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row172,160 | Barcın Höyük | BH 33 | 37346 | 6400-6300 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 38,,,BH 38,BH 38,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row173,161 | Barcın Höyük | BH 38 | 37350 | 6400-6300 cal  BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal  BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 4,,,BH 4,BH 4,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row168 || Sheet1!row4,156 | Barcın Höyük | BH 4 | 26484 | 6300-6200 cal BCE | N/A | N/A || 2 | Barcın Höyük | bhs004 | BH4 | 26487 | 12059036 | 979 | 8.7000000000000001E-4 | 75.8 | 2.5000000000000001E-5 | 7.0000000000000001E-3,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 44,,,BH 44,BH 44,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row174,162 | Barcın Höyük | BH 44 | 37605 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 45,,,BH 45,BH 45,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row175,163 | Barcın Höyük | BH 45 | 37307 | - | N/A | N/A,final,,Barcın Höyük,,,,-
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 47,,,BH 47,BH 47,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row176,164 | Barcın Höyük | BH 47 | 37607 | 6600-6500 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6600-6500 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 50,,,BH 50,BH 50,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row177,165 | Barcın Höyük | BH 50 | 37308 | - | N/A | N/A,final,,Barcın Höyük,,,,-
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 51,,,BH 51,BH 51,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row178,166 | Barcın Höyük | BH 51 | 37309 | - | N/A | N/A,final,,Barcın Höyük,,,,-
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 54,,,BH 54,BH 54,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row179,167 | Barcın Höyük | BH 54 | 37610 | 6600-6500 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6600-6500 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 55,,,BH 55,BH 55,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row180,168 | Barcın Höyük | BH 55 | 37611 | 6600-6500 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6600-6500 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 56,,,BH 56,BH 56,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row181,169 | Barcın Höyük | BH 56 | 37612 | 6600-6500 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6600-6500 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 57,,,BH 57,BH 57,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row182,170 | Barcın Höyük | BH 57 | 37260 | 6400-6300 cal  BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal  BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 58,,,BH 58,BH 58,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row183,171 | Barcın Höyük | BH 58 | 37613 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 59,,,BH 59,BH 59,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row184,172 | Barcın Höyük | BH 59 | 37614 | 6400-6300 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 60,,,BH 60,BH 60,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row185,173 | Barcın Höyük | BH 60 | 37615 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 61,,,BH 61,BH 61,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row186,174 | Barcın Höyük | BH 61 | 37329 | 6400-6300 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 62,,,BH 62,BH 62,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row187,175 | Barcın Höyük | BH 62 | 37327 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 66,,,BH 66,BH 66,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row188,176 | Barcın Höyük | BH 66 | 37325 | 6400-6300 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 68,,,BH 68,BH 68,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row189,177 | Barcın Höyük | BH 68 | 37322 | - | N/A | N/A,final,,Barcın Höyük,,,,-
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 69,,,BH 69,BH 69,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row190,178 | Barcın Höyük | BH 69 | 37330 | 6400-6300 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6400-6300 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 70,,,BH 70,BH 70,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row191,179 | Barcın Höyük | BH 70 | 37328 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
Ovis aries,sheep,PRJEB36540,prjeb36540:bh 71,,,BH 71,BH 71,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row192,180 | Barcın Höyük | BH 71 | 37331 | 6300-6200 cal BCE | N/A | N/A,final,,Barcın Höyük,,,,6300-6200 cal BCE
