species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757323,SAMEA112757323,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757324,SAMEA112757324,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757325,SAMEA112757325,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757326,SAMEA112757326,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757327,SAMEA112757327,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757328,SAMEA112757328,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757329,SAMEA112757329,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757330,SAMEA112757330,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757331,SAMEA112757331,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757332,SAMEA112757332,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757333,SAMEA112757333,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757334,SAMEA112757334,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757335,SAMEA112757335,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757336,SAMEA112757336,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757337,SAMEA112757337,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757338,SAMEA112757338,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757339,SAMEA112757339,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea112757340,SAMEA112757340,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea114857470,SAMEA114857470,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
Rangifer tarandus,reindeer,PRJEB60484,prjeb60484:samea114857471,SAMEA114857471,archive_project_sample_accession_anchor,archive_native,final,,Ancient Arctic archipelago reindeer context,project_context_interval,historical_or_recent_date,contextual_interval,adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,archive_metadata_description,source description snapshot,"The high-Arctic Svalbard reindeer (Rangifer tarandus platyrhynchus), endemic to the Svalbard archipelago, experienced a harvest-induced bottleneck that occurred throughout the 17th to 20th centuries.",normalized_interval,500,2500,1500,historical_and_archaeological_context,,Chronology falls back to the current project-level context row.
