species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574404,SAMEA115574404,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574405,SAMEA115574405,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574406,SAMEA115574406,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574407,SAMEA115574407,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574408,SAMEA115574408,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574409,SAMEA115574409,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574411,SAMEA115574411,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574412,SAMEA115574412,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574415,SAMEA115574415,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574416,SAMEA115574416,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574417,SAMEA115574417,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574418,SAMEA115574418,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574419,SAMEA115574419,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574420,SAMEA115574420,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574421,SAMEA115574421,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574422,SAMEA115574422,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574423,SAMEA115574423,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574424,SAMEA115574424,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574426,SAMEA115574426,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574428,SAMEA115574428,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574429,SAMEA115574429,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574430,SAMEA115574430,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574432,SAMEA115574432,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574433,SAMEA115574433,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574434,SAMEA115574434,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574435,SAMEA115574435,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574436,SAMEA115574436,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574437,SAMEA115574437,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574440,SAMEA115574440,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574441,SAMEA115574441,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574442,SAMEA115574442,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574443,SAMEA115574443,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574444,SAMEA115574444,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574445,SAMEA115574445,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574446,SAMEA115574446,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,unresolved,,,,,unresolved,,,,mixed_radiocarbon_and_archaeological_context,,No chronology claim has been recovered yet for this sample row.
