project_accession,species_latin_name,species_common_name,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,assigned_locality_text,locality_resolution_status,assigned_locality_class,normalized_display_spelling,geocoding_safe_token,site_name,municipality_name,region_name,country_name,broader_geography,evidence_source_surface,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,locality_evidence_bucket,review_note
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574404,Baikal1,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,"Barguzin river, Baikal",direct_sample_site,excavation_site,"Barguzin river, Baikal",barguzinriverbaikal,"Barguzin river, Baikal",,,Russia,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A5:Y5 || sample_accession:SAMEA115574404;submitted_filename_prefix:Baikal1;tsv_lines:37,38,39,40,41,42,43,44,45,128,130,132,133,134,475,476,477,478,479,480,633 || sample_accession:SAMEA115574404","workbook sample Baikal1 | specimen 13611.0 | locality Barguzin river, Baikal, Russia | source proximal coordinates 51.4966093549618, 104.037519968685 | source BP claim 12455-11941 | canonical BP interval [11941, 12455] | published analysis mean 12198 BP | source taxonomy Bos primigenius | population label ""Pleistocene Wild Siberia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574404 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,11941-12455 BP,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574405,Bed4,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,Bedburg-Königshoven,direct_sample_site,excavation_site,Bedburg-Königshoven,bedburgkönigshoven,Bedburg-Königshoven,,,Germany,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A16:Y16 || sample_accession:SAMEA115574405;submitted_filename_prefix:Bed4;tsv_lines:46,47,48,49,136,138,140,141,143,145,147,148,149,151,153,155,339,481,482,483,484,485,486,487 || sample_accession:SAMEA115574405","workbook sample Bed4 | source specimen ID unavailable | locality Bedburg-Königshoven, Germany | source proximal coordinates 51.1072285985126, 6.46428381971451 | source BP claim 11875-11402 | canonical BP interval [11402, 11875] | published analysis mean 11638.5 BP | normalized integer mean 11638 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Germany"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574405 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,11402-11875 BP,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574406,SAMEA115574406,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574407,Borly4b,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,"Borly 4, Pavlodar region",direct_sample_site,broader_locality,"Borly 4, Pavlodar region",borly4pavlodarregion,"Borly 4, Pavlodar region",,,Kazakhstan,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A23:Y23 || sample_accession:SAMEA115574407;submitted_filename_prefix:Borly4b;tsv_lines:61,62,63,64,65,66,67,68,184,185,187,189,370,426,427,512,513,514,635 || sample_accession:SAMEA115574407","workbook sample Borly4b | specimen Dwelling No. 3, from the ash layer | locality Borly 4, Pavlodar region, Kazakhstan | source proximal coordinates 52.040164667297, 77.7272383993485 | source BP claim 5025-4839 | canonical BP interval [4839, 5025] | published analysis mean 4932 BP | source taxonomy Bos primigenius | population label ""Holocene Wild Central Asia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574407 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,4839-5025 BP,broader_locality_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574408,SAMEA115574408,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574409,SAMEA115574409,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574411,SAMEA115574411,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574412,SAMEA115574412,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,unresolved,,,,,,,,tracked_source_artifact,,,,,,,,,unresolved_geography,No location evidence has been extracted yet for this recovered sample row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574415,Galicia1,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,"O Courel, Galicia",direct_sample_site,broader_locality,"O Courel, Galicia",ocourelgalicia,"O Courel, Galicia",,,Spain,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A4:Y4 || sample_accession:SAMEA115574415;submitted_filename_prefix:Galicia1;tsv_lines:93,96,99,101,105,207,209,211,214,216,217,219,220,222,376,378,381,430,522,523,524,525,526,527,528,529,530,531,637,654 || sample_accession:SAMEA115574415","workbook sample Galicia1 | specimen CL34/CL69 | locality O Courel, Galicia, Spain | source proximal coordinates 43.0719383129431, -8.66097028062168 | source BP claim 9464-9035 | canonical BP interval [9035, 9464] | published analysis mean 9249.5 BP | normalized integer mean 9250 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Iberia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574415 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,9035-9464 BP,broader_locality_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574416,Galicia2,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,"O Courel, Galicia",direct_sample_site,broader_locality,"O Courel, Galicia",ocourelgalicia,"O Courel, Galicia",,,Spain,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A30:Y30 || sample_accession:SAMEA115574416;submitted_filename_prefix:Galicia2;tsv_lines:108,224,532,533,638 || sample_accession:SAMEA115574416","workbook sample Galicia2 | specimen CL85 | locality O Courel, Galicia, Spain | source proximal coordinates 43.0719383129431, -8.66097028062168 | source BP claim 9407-9026 | canonical BP interval [9026, 9407] | published analysis mean 9216.5 BP | normalized integer mean 9216 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Iberia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574416 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,9026-9407 BP,broader_locality_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574417,Galicia3,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,"O Courel, Galicia",direct_sample_site,broader_locality,"O Courel, Galicia",ocourelgalicia,"O Courel, Galicia",,,Spain,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A12:Y12 || sample_accession:SAMEA115574417;submitted_filename_prefix:Galicia3;tsv_lines:111,112,115,117,225,227,229,230,232,534,639 || sample_accession:SAMEA115574417","workbook sample Galicia3 | specimen CL68 | locality O Courel, Galicia, Spain | source proximal coordinates 43.0719383129431, -8.66097028062168 | source BP claim 9474-9039 | canonical BP interval [9039, 9474] | published analysis mean 9256.5 BP | normalized integer mean 9256 BP; source decimal precision retained in the published analysis mean | source taxonomy Bos primigenius | population label ""Holocene Wild Iberia"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574417 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,9039-9474 BP,broader_locality_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJEB75467,Bos taurus,cattle,prjeb75467:samea115574418,Gyu1,supplementary_table_archive_primary_source_join,direct_table_extracted,final,,Gyumri district,direct_sample_site,excavation_site,Gyumri district,gyumridistrict,Gyumri district,,,Armenia,,supplementary_table,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx || data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,article_or_archive_text,"Supplementary Data 1!A3:Y3 || sample_accession:SAMEA115574418;submitted_filename_prefix:Gyu1;tsv_lines:56,119,121,126,178,233,235,237,239,502,503,504,535,536,537,538,539,640 || sample_accession:SAMEA115574418","workbook sample Gyu1 | specimen 11139.0 | locality Gyumri district, Armenia | source proximal coordinates 41.1320112833211, 43.8712544488537 | source BP claim 14023-13789 | canonical BP interval [13789, 14023] | published analysis mean 13906 BP | source taxonomy Bos primigenius | population label ""Pleistocene Wild Caucauses"" | admitted only as explicit wild/progenitor context || ENA archive metadata identifies sample SAMEA115574418 as Bos primigenius (tax_id 9909).",supplementary_proximal_site_coordinates,mappable_point,approximate,13789-14023 BP,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
