species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574404,SAMEA115574404,,,SAMEA115574404,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574404,ENA archive metadata identifies sample SAMEA115574404 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574405,SAMEA115574405,,,SAMEA115574405,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574405,ENA archive metadata identifies sample SAMEA115574405 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574406,SAMEA115574406,,,SAMEA115574406,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574406,ENA archive metadata identifies sample SAMEA115574406 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574407,SAMEA115574407,,,SAMEA115574407,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574407,ENA archive metadata identifies sample SAMEA115574407 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574408,SAMEA115574408,,,SAMEA115574408,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574408,ENA archive metadata identifies sample SAMEA115574408 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574409,SAMEA115574409,,,SAMEA115574409,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574409,ENA archive metadata identifies sample SAMEA115574409 as Bos indicus x Bos taurus (tax_id 30522).,final,,,,,,,30522,Bos indicus x Bos taurus,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574411,SAMEA115574411,,,SAMEA115574411,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574411,ENA archive metadata identifies sample SAMEA115574411 as Bos taurus (tax_id 9913).,final,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574412,SAMEA115574412,,,SAMEA115574412,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574412,ENA archive metadata identifies sample SAMEA115574412 as Bos taurus (tax_id 9913).,final,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574415,SAMEA115574415,,,SAMEA115574415,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574415,ENA archive metadata identifies sample SAMEA115574415 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574416,SAMEA115574416,,,SAMEA115574416,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574416,ENA archive metadata identifies sample SAMEA115574416 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574417,SAMEA115574417,,,SAMEA115574417,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574417,ENA archive metadata identifies sample SAMEA115574417 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574418,SAMEA115574418,,,SAMEA115574418,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574418,ENA archive metadata identifies sample SAMEA115574418 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574419,SAMEA115574419,,,SAMEA115574419,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574419,ENA archive metadata identifies sample SAMEA115574419 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJEB75467,prjeb75467:samea115574420,SAMEA115574420,,,SAMEA115574420,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJEB75467/archive_metadata.html,sample_accession:SAMEA115574420,ENA archive metadata identifies sample SAMEA115574420 as Bos primigenius (tax_id 9909).,final,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
