species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_provenance_path,chronology_provenance_kind,chronology_provenance_locator,chronology_provenance_text,chronology_normalization_status,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_conflict_note,review_note
Felis catus,cat,PRJEB81815,prjeb81815:samea120246515,ACcat01,archive_supplement_exact_join,direct_table_extracted,final,,10-11 ka (Epigravettian),sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,ENA identifies SAMEA120246515 as Felis silvestris silvestris (tax_id 463207). Exact workbook join AC01; source chronology: 10-11 ka (Epigravettian).,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246516,AFcat03,archive_supplement_exact_join,direct_table_extracted,final,,1610-1740 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,ENA identifies SAMEA120246516 as Felis catus (tax_id 9685). Exact workbook join AF03; source chronology: 210-340 AD (cal AMS).,normalized_interval,1610,1740,1675,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246517,ASKcat01,archive_supplement_exact_join,direct_table_extracted,final,,9559-9899 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,ENA identifies SAMEA120246517 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ASK01; source chronology: 7950BC (95.4%) 7610BC.,normalized_interval,9559,9899,9729,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246518,BAcat02,archive_supplement_exact_join,direct_table_extracted,final,,8189-8379 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,ENA identifies SAMEA120246518 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA02; source chronology: 6430BC (61.9%) 6330BC / 6320BC (33.5%) 6240BC.,normalized_interval,8189,8379,8284,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246519,BAcat03,archive_supplement_exact_join,direct_table_extracted,final,,8039-8339 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198,ENA identifies SAMEA120246519 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA03; source chronology: 6390BC (90.0%) 6210BC / 6140BC (5.4%) 6090BC.,normalized_interval,8039,8339,8189,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246520,BHHLcat01,archive_supplement_exact_join,direct_table_extracted,final,,970-1180 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,ENA identifies SAMEA120246520 as Felis catus (tax_id 9685). Exact workbook join BHHL01; source chronology: 770AD (95.4%) 980AD.,normalized_interval,970,1180,1075,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246521,BHHLcat03,archive_supplement_exact_join,direct_table_extracted,final,,Roman,sample_owned_text_only,archaeological_context_date,broad_period_only,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4,ENA identifies SAMEA120246521 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BHHL03; source chronology: Roman.,text_only_unparsed,,,,archaeological_context,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246522,BPcat01,archive_supplement_exact_join,direct_table_extracted,final,,930-1060 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,ENA identifies SAMEA120246522 as Felis catus (tax_id 9685). Exact workbook join BP01; source chronology: 890AD (32.4%) 930AD / 940AD (63.0%) 1020AD.,normalized_interval,930,1060,995,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246523,BPcat02,archive_supplement_exact_join,direct_table_extracted,final,,910-1050 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154,ENA identifies SAMEA120246523 as Felis catus (tax_id 9685). Exact workbook join BP02; source chronology: 900AD ( 4.6%) 920AD / 970AD (90.8%) 1040AD.,normalized_interval,910,1050,980,radiocarbon,,Chronology comes from the recovered sample-owned source row.
Felis catus,cat,PRJEB81815,prjeb81815:samea120246524,BPcat03,archive_supplement_exact_join,direct_table_extracted,final,,920-1060 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,tracked_source_artifact,sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155,ENA identifies SAMEA120246524 as Felis catus (tax_id 9685). Exact workbook join BP03; source chronology: 890AD (11.0%) 920AD / 950AD (84.4%) 1030AD.,normalized_interval,920,1060,990,radiocarbon,,Chronology comes from the recovered sample-owned source row.
