species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind,chronology_time_mean_bp
Felis catus,cat,PRJEB81815,prjeb81815:samea120246515,SAMEA120246515,ACcat01,AC01,ACcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,ENA identifies SAMEA120246515 as Felis silvestris silvestris (tax_id 463207). Exact workbook join AC01; source chronology: 10-11 ka (Epigravettian).,final,,"Arene Candide (Finale Ligure, Savona, Liguria)",Italy,44.16,8.33,10-11 ka (Epigravettian),archaeological_context,archaeological_context_date,broad_period_only,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246516,SAMEA120246516,AFcat03,AF03,AFcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,ENA identifies SAMEA120246516 as Felis catus (tax_id 9685). Exact workbook join AF03; source chronology: 210-340 AD (cal AMS).,final,,"Alba Fucens -Cisterna (Fucino, Abruzzi)",Italy,42.08,13.41,1610-1740 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246517,SAMEA120246517,ASKcat01,ASK01,ASKcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,ENA identifies SAMEA120246517 as Felis silvestris silvestris (tax_id 463207). Exact workbook join ASK01; source chronology: 7950BC (95.4%) 7610BC.,final,,Aşıklı Höyük,Turkey,38.35,34.23,9559-9899 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246518,SAMEA120246518,BAcat02,BA02,BAcat02,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,ENA identifies SAMEA120246518 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA02; source chronology: 6430BC (61.9%) 6330BC / 6320BC (33.5%) 6240BC.,final,,Bademağacı,Turkey,37.21,30.47,8189-8379 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246519,SAMEA120246519,BAcat03,BA03,BAcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198,ENA identifies SAMEA120246519 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BA03; source chronology: 6390BC (90.0%) 6210BC / 6140BC (5.4%) 6090BC.,final,,Bademağacı,Turkey,37.21,30.47,8039-8339 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246520,SAMEA120246520,BHHLcat01,BHHL01,BHHLcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,ENA identifies SAMEA120246520 as Felis catus (tax_id 9685). Exact workbook join BHHL01; source chronology: 770AD (95.4%) 980AD.,final,,Bernhardsthal,Austria,48.69,16.87,970-1180 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246521,SAMEA120246521,BHHLcat03,BHHL03,BHHLcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4,ENA identifies SAMEA120246521 as Felis silvestris silvestris (tax_id 463207). Exact workbook join BHHL03; source chronology: Roman.,final,,Bernhardsthal,Austria,48.69,16.87,Roman,archaeological_context,archaeological_context_date,broad_period_only,463207,Felis silvestris silvestris,project_species_mismatch,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246522,SAMEA120246522,BPcat01,BP01,BPcat01,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,ENA identifies SAMEA120246522 as Felis catus (tax_id 9685). Exact workbook join BP01; source chronology: 890AD (32.4%) 930AD / 940AD (63.0%) 1020AD.,final,,Bank of Portugal,Portugal,38.71,-9.14,930-1060 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246523,SAMEA120246523,BPcat02,BP02,BPcat02,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154,ENA identifies SAMEA120246523 as Felis catus (tax_id 9685). Exact workbook join BP02; source chronology: 900AD ( 4.6%) 920AD / 970AD (90.8%) 1040AD.,final,,Bank of Portugal,Portugal,38.71,-9.14,910-1050 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246524,SAMEA120246524,BPcat03,BP03,BPcat03,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155,ENA identifies SAMEA120246524 as Felis catus (tax_id 9685). Exact workbook join BP03; source chronology: 890AD (11.0%) 920AD / 950AD (84.4%) 1030AD.,final,,Bank of Portugal,Portugal,38.71,-9.14,920-1060 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246525,SAMEA120246525,BREMcat05,BREM05,BREMcat05,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44,ENA identifies SAMEA120246525 as Felis catus (tax_id 9685). Exact workbook join BREM05; source chronology: 1440AD (65.0%) 1530AD / 1570AD (30.4%) 1630AD.,final,,"Bremen; 201-Altstadt, Marktplatz",Germany,53.10,8.83,320-510 BP,radiocarbon,direct_radiocarbon_date,sample_approximate_or_modeled,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246526,SAMEA120246526,BREMcat07,BREM07,BREMcat07,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246526 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row17 -> Table_S1!row45,ENA identifies SAMEA120246526 as Felis catus (tax_id 9685). Exact workbook join BREM07; source chronology: 16th.,final,,"Bremen; 253-Altstadt, Am Wall",Germany,53.10,8.83,16th,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246527,SAMEA120246527,BRPAcat24,BRPA24,BRPAcat24,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246527 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row18 -> Table_S1!row23,ENA identifies SAMEA120246527 as Felis catus (tax_id 9685). Exact workbook join BRPA24; source chronology: end 14th - 15th cent. AD.,final,,"Parking 58, Brussels",Belgium,50.85,4.35,end 14th - 15th cent. AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
Felis catus,cat,PRJEB81815,prjeb81815:samea120246528,SAMEA120246528,BRPAcat27,BRPA27,BRPAcat27,archive_supplement_exact_join,direct_table_extracted,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246528 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row20 -> Table_S1!row24,ENA identifies SAMEA120246528 as Felis catus (tax_id 9685). Exact workbook join BRPA27; source chronology: end 14th - 15th cent. AD.,final,,"Parking 58, Brussels",Belgium,50.85,4.35,end 14th - 15th cent. AD,archaeological_context,archaeological_context_date,broad_period_only,9685,Felis catus,project_species_match,,biological_sample_accession,
