project_accession,species_latin_name,source_surface,source_claim_scope,supporting_sample_count,original_locality_text,resolved_locality_text,locality_class,site_name,municipality_name,region_name,country_name,broader_geography,geocoding_safe_token,source_artifact_path,source_artifact_kind,source_locator,source_excerpt
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Han Chang'an City,Han Chang'an City,excavation_site,Han Chang'an City,,,China,,hanchangancity,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row25,FS24 | Han Chang'an City | Xi'an Shaanxi | Cental China | China | 2.7 | 20836 | 16617 | 99.497 | 90.849299999999999 | N/A | N/A | N/A | 44 cal. BCE - 76 cal. CE  | PBE-Indochina | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Huoshiliang,Huoshiliang,excavation_site,Huoshiliang,,,China,,huoshiliang,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row10,FS7 | Huoshiliang | Yulin Shaanxi | West China | China | 0.91 | 17321 | 16730 | 99.53 | 16.912700000000001 | N/A | N/A | N/A | 1800 BCE | Felis.s.ornata | Felis ornata
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Laoniupo,Laoniupo,excavation_site,Laoniupo,,,China,,laoniupo,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row12,FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Puyang Song Tomb,Puyang Song Tomb,excavation_site,Puyang Song Tomb,,,China,,puyangsongtomb,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row19,FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Quanhucun,Quanhucun,excavation_site,Quanhucun,,,China,,quanhucun,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row16,FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Shaliangzi,Shaliangzi,excavation_site,Shaliangzi,,,China,,shaliangzi,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row18,FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Tongwan City,Tongwan City,excavation_site,Tongwan City,,,China,,tongwancity,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row13,FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Wuzhuangguoliang,Wuzhuangguoliang,excavation_site,Wuzhuangguoliang,,,China,,wuzhuangguoliang,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row11,FS8 | Wuzhuangguoliang | Jingbian Shaanxi | West China | China | 8.76 | 9870 | 16416 | 98.293499999999995 | 47.324399999999997 | 153959749 | 5.9626900000000003 | 17194519 | 3000 - 221 BCE | PBE-RFE | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Xinjie,Xinjie,excavation_site,Xinjie,,,China,,xinjie,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row15,FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Xinxiang Song Tomb,Xinxiang Song Tomb,excavation_site,Xinxiang Song Tomb,,,China,,xinxiangsongtomb,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row9,FS6 | Xinxiang Song Tomb | Xinxiang Henan | Central China | China | 0.34 | 15982 | 16961 | 99.717799999999997 | 112.491 | N/A | N/A | N/A | 960 - 1127 CE | Ⅳ-B | Felis catus
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,5,Xitucheng City,Xitucheng City,excavation_site,Xitucheng City,,,China,,xituchengcity,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row4,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Yangling,Yangling,excavation_site,Yangling,,,China,,yangling,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row14,FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,5,Zheng and Han City,Zheng and Han City,excavation_site,Zheng and Han City,,,China,,zhengandhancity,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row20,FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis
PRJNA1178732,Felis catus,supplementary_table,sample_owned_locality,1,Zhengzhoushang City,Zhengzhoushang City,excavation_site,Zhengzhoushang City,,,China,,zhengzhoushangcity,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row17,FS16 | Zhengzhoushang City | Zhengzhou Henan | Cental China | China | 4.04 | 6512 | 16991 | 99.894199999999998 | 207.18700000000001 | N/A | N/A | N/A | 1413 - 1480 cal. CE | Ⅳ-B | Felis catus
