species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,published_wording,source_wording_excerpt,provenance_surface,provenance_kind,provenance_locator,dating_basis,evidence_class,precision_posture,normalization_status,normalization_rule,uncertainty_note,time_start_bp,time_end_bp,time_mean_bp,temporal_semantics
Felis catus,cat,PRJNA1178732,prjna1178732:fs1,FS1,1115 - 1234 CE,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row4,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,716,835,776,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1115 - 1234 CE', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 716, 'time_end_bp': 835, 'time_mean_bp': 776, 'duration_years': 119, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row4', 'provenance_excerpt': 'FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus', 'original_labels': ['1115 - 1234 CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs10,FS10,1200 BCE,FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row12,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,normalized_point,keep one sample-owned point without widening it into a fake interval,Chronology comes from the recovered sample-owned source row.,3149,3149,3149,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_point', 'comparability_posture': 'numeric_interval', 'summary_label': '1200 BCE', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 3149, 'time_end_bp': 3149, 'time_mean_bp': 3149, 'duration_years': 0, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row12', 'provenance_excerpt': ""FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis"", 'original_labels': ['1200 BCE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs12,FS12,706 - 883 cal. CE,FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row13,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'contextual_label_only', 'summary_label': '706 - 883 cal. CE', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row13', 'provenance_excerpt': 'FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus', 'original_labels': ['706 - 883 cal. CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs13,FS13,168 - 48 cal. BCE,FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row14,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'contextual_label_only', 'summary_label': '168 - 48 cal. BCE', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row14', 'provenance_excerpt': 'FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis', 'original_labels': ['168 - 48 cal. BCE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs14,FS14,~3500 - 1800 BCE,FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row15,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,3749,5449,4599,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '~3500 - 1800 BCE', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 3749, 'time_end_bp': 5449, 'time_mean_bp': 4599, 'duration_years': 1700, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row15', 'provenance_excerpt': 'FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis', 'original_labels': ['~3500 - 1800 BCE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs15,FS15,4000 - 2700 BCE,FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row16,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,4649,5949,5299,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '4000 - 2700 BCE', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 4649, 'time_end_bp': 5949, 'time_mean_bp': 5299, 'duration_years': 1300, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row16', 'provenance_excerpt': 'FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis', 'original_labels': ['4000 - 2700 BCE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs16,FS16,1413 - 1480 cal. CE,FS16 | Zhengzhoushang City | Zhengzhou Henan | Cental China | China | 4.04 | 6512 | 16991 | 99.894199999999998 | 207.18700000000001 | N/A | N/A | N/A | 1413 - 1480 cal. CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row17,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'contextual_label_only', 'summary_label': '1413 - 1480 cal. CE', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row17', 'provenance_excerpt': 'FS16 | Zhengzhoushang City | Zhengzhou Henan | Cental China | China | 4.04 | 6512 | 16991 | 99.894199999999998 | 207.18700000000001 | N/A | N/A | N/A | 1413 - 1480 cal. CE | Ⅳ-B | Felis catus', 'original_labels': ['1413 - 1480 cal. CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs17,FS17,1797 - 1944 cal. CE,FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row18,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,publish the wording as text and refuse fake numeric precision,Chronology comes from the recovered sample-owned source row.,,,,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_approximate_or_modeled', 'comparability_posture': 'contextual_label_only', 'summary_label': '1797 - 1944 cal. CE', 'temporal_window_key': 'unresolved', 'temporal_window_label': 'Unresolved time window', 'time_start_bp': None, 'time_end_bp': None, 'time_mean_bp': None, 'duration_years': None, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row18', 'provenance_excerpt': 'FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus', 'original_labels': ['1797 - 1944 cal. CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs18,FS18,618 - 970 CE,FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row19,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,980,1332,1156,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '618 - 970 CE', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 980, 'time_end_bp': 1332, 'time_mean_bp': 1156, 'duration_years': 352, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row19', 'provenance_excerpt': 'FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus', 'original_labels': ['618 - 970 CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs19,FS19,25 - 220 CE,FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row20,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,1730,1925,1828,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '25 - 220 CE', 'temporal_window_key': 'late_holocene', 'temporal_window_label': 'Late Holocene (1001-3000 BP)', 'time_start_bp': 1730, 'time_end_bp': 1925, 'time_mean_bp': 1828, 'duration_years': 195, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row20', 'provenance_excerpt': 'FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis', 'original_labels': ['25 - 220 CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
Felis catus,cat,PRJNA1178732,prjna1178732:fs2,FS2,1115 - 1234 CE,FS2 | Xitucheng City | Zhangjiakou Hebei | North China | China | 13.82 | 21736 | 16865 | 99.158000000000001 | 82.847800000000007 | 101903410 | 2.43784 | 99631 | 1115 - 1234 CE | Ⅳ-B | Felis catus,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row5,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology comes from the recovered sample-owned source row.,716,835,776,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'historical_or_recent_date', 'precision_posture': 'sample_precise_interval', 'comparability_posture': 'numeric_interval', 'summary_label': '1115 - 1234 CE', 'temporal_window_key': 'recent_historical', 'temporal_window_label': 'Recent and historical (0-1000 BP)', 'time_start_bp': 716, 'time_end_bp': 835, 'time_mean_bp': 776, 'duration_years': 119, 'comparison_note': 'Chronology comes from the recovered sample-owned source row.', 'provenance_path': 'data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx', 'provenance_locator': 'A!row5', 'provenance_excerpt': 'FS2 | Xitucheng City | Zhangjiakou Hebei | North China | China | 13.82 | 21736 | 16865 | 99.158000000000001 | 82.847800000000007 | 101903410 | 2.43784 | 99631 | 1115 - 1234 CE | Ⅳ-B | Felis catus', 'original_labels': ['1115 - 1234 CE'], 'normalized_labels': [], 'uncertainty_notes': []}"
