project_accession,species_latin_name,species_common_name,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,assigned_locality_text,locality_resolution_status,assigned_locality_class,normalized_display_spelling,geocoding_safe_token,site_name,municipality_name,region_name,country_name,broader_geography,evidence_source_surface,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,locality_evidence_bucket,review_note
PRJNA1178732,Felis catus,cat,prjna1178732:fs1,FS1,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row4,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs10,FS10,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Laoniupo,direct_sample_site,excavation_site,Laoniupo,laoniupo,Laoniupo,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row12,FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis,,,,1200 BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs12,FS12,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Tongwan City,direct_sample_site,excavation_site,Tongwan City,tongwancity,Tongwan City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row13,FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus,,,,706 - 883 cal. CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs13,FS13,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Yangling,direct_sample_site,excavation_site,Yangling,yangling,Yangling,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row14,FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis,,,,168 - 48 cal. BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs14,FS14,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xinjie,direct_sample_site,excavation_site,Xinjie,xinjie,Xinjie,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row15,FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis,,,,~3500 - 1800 BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs15,FS15,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Quanhucun,direct_sample_site,excavation_site,Quanhucun,quanhucun,Quanhucun,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row16,FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis,,,,4000 - 2700 BCE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs16,FS16,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zhengzhoushang City,direct_sample_site,excavation_site,Zhengzhoushang City,zhengzhoushangcity,Zhengzhoushang City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row17,FS16 | Zhengzhoushang City | Zhengzhou Henan | Cental China | China | 4.04 | 6512 | 16991 | 99.894199999999998 | 207.18700000000001 | N/A | N/A | N/A | 1413 - 1480 cal. CE | Ⅳ-B | Felis catus,,,,1413 - 1480 cal. CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs17,FS17,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Shaliangzi,direct_sample_site,excavation_site,Shaliangzi,shaliangzi,Shaliangzi,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row18,FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus,,,,1797 - 1944 cal. CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs18,FS18,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Puyang Song Tomb,direct_sample_site,excavation_site,Puyang Song Tomb,puyangsongtomb,Puyang Song Tomb,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row19,FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus,,,,618 - 970 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs19,FS19,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Zheng and Han City,direct_sample_site,excavation_site,Zheng and Han City,zhengandhancity,Zheng and Han City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row20,FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis,,,,25 - 220 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
PRJNA1178732,Felis catus,cat,prjna1178732:fs2,FS2,supplementary_table_sample_label_anchor,direct_table_extracted,final,,Xitucheng City,direct_sample_site,excavation_site,Xitucheng City,xituchengcity,Xitucheng City,,,China,,supplementary_table,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row5,FS2 | Xitucheng City | Zhangjiakou Hebei | North China | China | 13.82 | 21736 | 16865 | 99.158000000000001 | 82.847800000000007 | 101903410 | 2.43784 | 99631 | 1115 - 1234 CE | Ⅳ-B | Felis catus,,,,1115 - 1234 CE,exact_site_evidence,Sample-level locality comes directly from the recovered sample source row.
