species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Felis catus,cat,PRJNA1178732,prjna1178732:fs1,,,FS1,FS1,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row4,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus,final,,Xitucheng City,China,,,1115 - 1234 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs10,,,FS10,FS10,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row12,FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis,final,,Laoniupo,China,,,1200 BCE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs12,,,FS12,FS12,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row13,FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus,final,,Tongwan City,China,,,706 - 883 cal. CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs13,,,FS13,FS13,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row14,FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis,final,,Yangling,China,,,168 - 48 cal. BCE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs14,,,FS14,FS14,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row15,FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis,final,,Xinjie,China,,,~3500 - 1800 BCE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs15,,,FS15,FS15,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row16,FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis,final,,Quanhucun,China,,,4000 - 2700 BCE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs16,,,FS16,FS16,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row17,FS16 | Zhengzhoushang City | Zhengzhou Henan | Cental China | China | 4.04 | 6512 | 16991 | 99.894199999999998 | 207.18700000000001 | N/A | N/A | N/A | 1413 - 1480 cal. CE | Ⅳ-B | Felis catus,final,,Zhengzhoushang City,China,,,1413 - 1480 cal. CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs17,,,FS17,FS17,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row18,FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus,final,,Shaliangzi,China,,,1797 - 1944 cal. CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs18,,,FS18,FS18,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row19,FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus,final,,Puyang Song Tomb,China,,,618 - 970 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs19,,,FS19,FS19,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row20,FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis,final,,Zheng and Han City,China,,,25 - 220 CE,,Prionailurus bengalensis,project_species_mismatch,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs2,,,FS2,FS2,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row5,FS2 | Xitucheng City | Zhangjiakou Hebei | North China | China | 13.82 | 21736 | 16865 | 99.158000000000001 | 82.847800000000007 | 101903410 | 2.43784 | 99631 | 1115 - 1234 CE | Ⅳ-B | Felis catus,final,,Xitucheng City,China,,,1115 - 1234 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs20,,,FS20,FS20,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row21,FS20 | Zheng and Han City | Xinzheng Henan | Cental China | China | 0.05 | 10271 | 16694 | 98.147999999999996 | 99.159800000000004 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs21,,,FS21,FS21,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row22,FS21 | Zheng and Han City | Xinzheng Henan | Cental China | China | 10.24 | 19562 | 16708 | 98.236999999999995 | 77.610699999999994 | 115273634 | 3.2320600000000002 | 95137 | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
Felis catus,cat,PRJNA1178732,prjna1178732:fs22,,,FS22,FS22,supplementary_table_sample_label_anchor,direct_table_extracted,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,A!row23,FS22 | Zheng and Han City | Xinzheng Henan | Cental China | China | 0.1 | 25761 | 16593 | 97.554199999999994 | 59.579300000000003 | N/A | N/A | N/A | 960 - 1368 CE | Ⅳ-B | Felis catus,final,,Zheng and Han City,China,,,960 - 1368 CE,,Felis catus,project_species_match,,biological_sample
