species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,published_wording,source_wording_excerpt,provenance_surface,provenance_kind,provenance_locator,dating_basis,evidence_class,precision_posture,normalization_status,normalization_rule,uncertainty_note,time_start_bp,time_end_bp,time_mean_bp,temporal_semantics
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106827,SAMN18106827,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106828,SAMN18106828,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106829,SAMN18106829,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106830,SAMN18106830,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106831,SAMN18106831,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106832,SAMN18106832,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106833,SAMN18106833,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106834,SAMN18106834,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106835,SAMN18106835,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106836,SAMN18106836,Neolithic to later Galician cattle sequence,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,archaeological_period_assignment,archaeological_context_date,contextual_interval,normalized_interval,keep one normalized interval and preserve its evidence class and precision posture,Chronology falls back to the current project-level context row.,1500,7000,4250,"{'schema_version': 'temporal-semantics.v1', 'source_family': 'animal_adna', 'evidence_class': 'archaeological_context_date', 'precision_posture': 'contextual_interval', 'comparability_posture': 'numeric_interval_with_caveat', 'summary_label': 'Neolithic to later Galician cattle sequence', 'temporal_window_key': 'mid_holocene', 'temporal_window_label': 'Mid-Holocene (3001-6000 BP)', 'time_start_bp': 1500, 'time_end_bp': 7000, 'time_mean_bp': 4250, 'duration_years': 5500, 'comparison_note': 'Chronology falls back to the current project-level context row.', 'provenance_path': 'adna/governance/source_library/projects/PRJNA705960/archive_metadata.html', 'provenance_locator': 'source description snapshot', 'provenance_excerpt': 'We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.', 'original_labels': ['Neolithic to later Galician cattle sequence'], 'normalized_labels': [], 'uncertainty_notes': []}"
