project_accession,species_latin_name,species_common_name,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,assigned_locality_text,locality_resolution_status,assigned_locality_class,normalized_display_spelling,geocoding_safe_token,site_name,municipality_name,region_name,country_name,broader_geography,evidence_source_surface,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,locality_evidence_bucket,review_note
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106827,SAMN18106827,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106828,SAMN18106828,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106829,SAMN18106829,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106830,SAMN18106830,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106831,SAMN18106831,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106832,SAMN18106832,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106833,SAMN18106833,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106834,SAMN18106834,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106835,SAMN18106835,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
PRJNA705960,Bos taurus,cattle,prjna705960:samn18106836,SAMN18106836,archive_project_sample_accession_anchor,archive_native,final,,Galician mountain cave cattle context,region_only,broader_locality,Galician mountain cave cattle context,galicianmountaincavecattlecontext,Galician mountain cave cattle context,,,,"Galicia, Spain",archive_metadata,adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,archive_metadata_description,source description snapshot,"We sampled 18 cattle subfossils from different ages and different mountain caves in Galicia, of which 11 were subject to sequencing of the mitochondrial genome and phylogenetic analysis.",region_centroid_fallback,refused_region_only,withheld,Neolithic to later Galician cattle sequence,broader_locality_evidence,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
