species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106827,SAMN18106827,,,SAMN18106827,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106827,ENA archive metadata identifies sample SAMN18106827 as Bos primigenius (tax_id 9909).,final,,,,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106828,SAMN18106828,,,SAMN18106828,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106828,ENA archive metadata identifies sample SAMN18106828 as Bos primigenius (tax_id 9909).,final,,,,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106829,SAMN18106829,,,SAMN18106829,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106829,ENA archive metadata identifies sample SAMN18106829 as Bos primigenius (tax_id 9909).,final,,,,,,,,,,9909,Bos primigenius,project_species_mismatch,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106830,SAMN18106830,,,SAMN18106830,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106830,ENA archive metadata identifies sample SAMN18106830 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106831,SAMN18106831,,,SAMN18106831,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106831,ENA archive metadata identifies sample SAMN18106831 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106832,SAMN18106832,,,SAMN18106832,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106832,ENA archive metadata identifies sample SAMN18106832 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106833,SAMN18106833,,,SAMN18106833,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106833,ENA archive metadata identifies sample SAMN18106833 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106834,SAMN18106834,,,SAMN18106834,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106834,ENA archive metadata identifies sample SAMN18106834 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106835,SAMN18106835,,,SAMN18106835,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106835,ENA archive metadata identifies sample SAMN18106835 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106836,SAMN18106836,,,SAMN18106836,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106836,ENA archive metadata identifies sample SAMN18106836 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106837,SAMN18106837,,,SAMN18106837,archive_project_sample_accession_anchor,archive_native,data/adna/governance/source_library/projects/PRJNA705960/archive_metadata.html,sample_accession:SAMN18106837,ENA archive metadata identifies sample SAMN18106837 as Bos taurus (tax_id 9913).,final,,,,,,,,,,9913,Bos taurus,project_species_match,,biological_sample_accession
