species_latin_name,species_common_name,project_accession,repo_stable_sample_id,preferred_sample_label,sample_basis,sample_evidence_status,sample_identity_resolution,sample_ambiguity_note,locality_text,locality_resolution_status,location_evidence_artifact_path,location_evidence_artifact_kind,location_evidence_locator,location_evidence_text,site_name,municipality_name,region_name,country_name,broader_geography,coordinate_basis,coordinate_mapping_posture,coordinate_confidence,chronology_text,review_note
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106827,SAMN18106827,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106828,SAMN18106828,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106829,SAMN18106829,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106830,SAMN18106830,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106831,SAMN18106831,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106832,SAMN18106832,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106833,SAMN18106833,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106834,SAMN18106834,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106835,SAMN18106835,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106836,SAMN18106836,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
Bos taurus,cattle,PRJNA705960,prjna705960:samn18106837,SAMN18106837,archive_project_sample_accession_anchor,archive_native,final,,,unresolved,,,,,,,,,,,,,,No location evidence has been extracted yet for this recovered sample row.
