species_latin_name,species_common_name,project_accession,repo_stable_sample_id,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,preferred_sample_label,sample_basis,sample_evidence_status,sample_lineage_path,sample_lineage_locator,sample_lineage_excerpt,sample_identity_resolution,sample_ambiguity_note,locality_text,political_entity,latitude_text,longitude_text,chronology_text,chronology_dating_basis,chronology_evidence_class,chronology_precision_posture,source_native_tax_id,source_native_scientific_name,taxon_alignment_status,archive_native_experiment_id,source_native_identity_kind
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711539,,Al-Sou-36_II,,Al-Sou-36_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711539,NCBI SRA results identify experiment SRX1711539 with source-native label Al-Sou-36_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711539,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711540,,Al-Sou-37_II,,Al-Sou-37_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711540,NCBI SRA results identify experiment SRX1711540 with source-native label Al-Sou-37_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711540,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711541,,Muw-616_II,,Muw-616_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711541,NCBI SRA results identify experiment SRX1711541 with source-native label Muw-616_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711541,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711542,,Muw-617_II,,Muw-617_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711542,NCBI SRA results identify experiment SRX1711542 with source-native label Muw-617_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711542,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711543,,Tell-Ab-618_II,,Tell-Ab-618_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711543,NCBI SRA results identify experiment SRX1711543 with source-native label Tell-Ab-618_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711543,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711544,,Muw-619_II,,Muw-619_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711544,NCBI SRA results identify experiment SRX1711544 with source-native label Muw-619_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711544,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711545,,BHS-620_II,,BHS-620_II,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711545,NCBI SRA results identify experiment SRX1711545 with source-native label BHS-620_II.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711545,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711546,,BHS-621_III,,BHS-621_III,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711546,NCBI SRA results identify experiment SRX1711546 with source-native label BHS-621_III.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711546,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711547,,Tell-Ab-622_III,,Tell-Ab-622_III,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711547,NCBI SRA results identify experiment SRX1711547 with source-native label Tell-Ab-622_III.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711547,sequencing_experiment_accession
Camelus dromedarius,dromedary camel,SRP073444,srp073444:experiment:srx1711548,,Palm143,,Palm143,archive_project_experiment_anchor,experiment_level_only,data/adna/governance/source_library/projects/SRP073444/archive_metadata.html,experiment_accession:SRX1711548,NCBI SRA results identify experiment SRX1711548 with source-native label Palm143.,provisional,"The cached NCBI result identifies a sequencing experiment, not a biological sample; no authoritative experiment-to-BioSample mapping is present in the admitted capture.",,,,,,,,,,,not_reported,SRX1711548,sequencing_experiment_accession
