project_accession,species_latin_name,normalized_display_spelling,geocoding_safe_token,original_source_spellings,alternative_spellings,source_surfaces,locality_classes
KU605068-KU605080,Camelus dromedarius,Austria,austria,Austria,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Dubai,dubai,Dubai,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Kenya,kenya,Kenya,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Pakistan,pakistan,Pakistan,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Palmyra,palmyra,Palmyra,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Qatar-Jordan border,qatarjordanborder,Qatar-Jordan border,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Sagalassos,sagalassos,Sagalassos,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Saudi Arabia,saudiarabia,Saudi Arabia,,archive_metadata,excavation_site
KU605068-KU605080,Camelus dromedarius,Sudan,sudan,Sudan,,archive_metadata,excavation_site
KX379528-KX379529,Canis lupus familiaris,Cherry Tree Cave,cherrytreecave,Cherry Tree Cave,,archive_metadata,excavation_site
KX379528-KX379529,Canis lupus familiaris,Herxheim,herxheim,Herxheim,,archive_metadata,excavation_site
PRJEB19970,Equus caballus,Arzhan I,arzhani,Arzhan I,,supplementary_table,excavation_site
PRJEB19970,Equus caballus,Berel',berel,Berel',,supplementary_table,excavation_site
PRJEB19970,Equus caballus,Sintashta,sintashta,Sintashta,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Actiparc,actiparc,Actiparc,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Bateni,bateni,Bateni,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Borly4,borly4,Borly4,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai,botai,Botai,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai archaeological site horse context,botaiarchaeologicalsitehorsecontext,Botai archaeological site,Botai archaeological site,coordinate_resolution,country
PRJEB22390,Equus caballus,Botai C,botaic,Botai C,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai culture of the Central Asian steppes,botaicultureofthecentralasiansteppes,Botai culture of the Central Asian steppes,,article_text,broader_locality
PRJEB22390,Equus caballus,Botai culture steppe context,botaiculturesteppecontext,Botai culture steppe context,,article_text,broader_locality
PRJEB22390,Equus caballus,Botai F,botaif,Botai F,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai G,botaig,Botai G,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai I,botaii,Botai I,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai K,botaik,Botai K,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai LM,botailm,Botai LM,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai P,botaip,Botai P,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai Petrous,botaipetrous,Botai Petrous,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Botai R,botair,Botai R,,supplementary_table,excavation_site
PRJEB22390,Equus caballus,Dunaujvaros,dunaujvaros,Dunaujvaros,,supplementary_table,excavation_site
