artifact_id,artifact_kind,label,source_url,local_path,fetch_status,remote_note,project_accessions,paper_doi,content_type,byte_size,storage_path,storage_byte_size,content_encoding
PRJEB10854:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB10854&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB10854/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB10854,,text/plain,97596,adna/governance/source_library/projects/PRJEB10854/archive_metadata.html.gz,12402,gzip
PRJEB43564:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB43564&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB43564/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB43564,,text/plain,39806,adna/governance/source_library/projects/PRJEB43564/archive_metadata.html.gz,5242,gzip
PRJEB50952:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB50952&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB50952/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB50952,,text/plain,37367,adna/governance/source_library/projects/PRJEB50952/archive_metadata.html.gz,4734,gzip
PRJEB52590:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52590&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB52590/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB52590,,text/plain,257744,adna/governance/source_library/projects/PRJEB52590/archive_metadata.html.gz,32007,gzip
PRJEB52849:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB52849&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB52849/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB52849,,text/plain,424356,adna/governance/source_library/projects/PRJEB52849/archive_metadata.html.gz,53446,gzip
PRJEB55549:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB55549&result=analysis&fields=study_accession,sample_accession,experiment_accession,analysis_accession,analysis_type,tax_id,scientific_name,submitted_ftp,bam_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB55549/archive_metadata.html,missing,Archive-facing metadata page captured for the tracked accession.,PRJEB55549,,,,,,
PRJEB56293:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB56293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB56293/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB56293,,text/plain,18921,adna/governance/source_library/projects/PRJEB56293/archive_metadata.html.gz,2650,gzip
PRJEB57293:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB57293&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB57293/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB57293,,text/plain,76195,adna/governance/source_library/projects/PRJEB57293/archive_metadata.html.gz,10271,gzip
PRJEB61721:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61721&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB61721/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB61721,,text/plain,76233,adna/governance/source_library/projects/PRJEB61721/archive_metadata.html.gz,9871,gzip
PRJEB61808:archive_metadata.html,archive_metadata_html,archive metadata page,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB61808&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",adna/governance/source_library/projects/PRJEB61808/archive_metadata.html,archived,Archive-facing metadata page captured for the tracked accession.,PRJEB61808,,text/plain,214831,adna/governance/source_library/projects/PRJEB61808/archive_metadata.html.gz,32583,gzip
