species_latin_name,project_accession,source_family,archive_status,evidence_strength,accession_scope,project_url,primary_paper_doi,primary_paper_url,source_bundle_path,paper_download_status,supplement_download_status,ingestion_status
Bos taurus,PRJEB31621,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB31621&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1126/science.aav1002,https://doi.org/10.1126/science.aav1002,data/adna/source_library/projects/PRJEB31621/bundle_manifest.json,archived,missing,paper_source_archived
Bos taurus,PRJEB75467,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB75467&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,data/adna/source_library/projects/PRJEB75467/bundle_manifest.json,archived,missing,paper_source_archived
Bos taurus,PRJNA705960,ENA,archive_verified_needs_paper_pinning,archive_only,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA705960&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",,,data/adna/source_library/projects/PRJNA705960/bundle_manifest.json,missing,missing,blocked
Camelus dromedarius,KU605068-KU605080,GenBank,paper_pinned_core,primary_paper_pinned,accession_range,https://www.ncbi.nlm.nih.gov/nuccore/KU605068,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,data/adna/source_library/projects/KU605068-KU605080/bundle_manifest.json,archived,missing,paper_source_archived
Camelus dromedarius,SRP073444,SRA,paper_pinned_core,primary_paper_pinned,project,https://www.ncbi.nlm.nih.gov/sra?term=SRP073444,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,data/adna/source_library/projects/SRP073444/bundle_manifest.json,archived,missing,paper_source_archived
Canis lupus familiaris,KX379528-KX379529,GenBank,paper_pinned_core,primary_paper_pinned,accession_range,https://www.ncbi.nlm.nih.gov/nuccore/KX379528,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,data/adna/source_library/projects/KX379528-KX379529/bundle_manifest.json,archived,missing,paper_source_archived
Canis lupus familiaris,SRS1407451,SRA,paper_pinned_core,primary_paper_pinned,sample,https://www.ncbi.nlm.nih.gov/sra?term=SRS1407451,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,data/adna/source_library/projects/SRS1407451/bundle_manifest.json,archived,missing,paper_source_archived
Canis lupus familiaris,SRS1407453,SRA,paper_pinned_core,primary_paper_pinned,sample,https://www.ncbi.nlm.nih.gov/sra?term=SRS1407453,10.1038/ncomms16082,https://doi.org/10.1038/ncomms16082,data/adna/source_library/projects/SRS1407453/bundle_manifest.json,archived,missing,paper_source_archived
Capra hircus,PRJEB90141,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90141&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1093/gbe/evaf181,https://doi.org/10.1093/gbe/evaf181,data/adna/source_library/projects/PRJEB90141/bundle_manifest.json,archived,missing,paper_source_archived
Capra hircus,PRJEB90261,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJEB90261&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,data/adna/source_library/projects/PRJEB90261/bundle_manifest.json,archived,missing,paper_source_archived
Capra hircus,PRJNA1328209,ENA,paper_pinned_core,primary_paper_pinned,project,"https://www.ebi.ac.uk/ena/portal/api/filereport?accession=PRJNA1328209&result=read_run&fields=study_accession,sample_accession,experiment_accession,run_accession,tax_id,scientific_name,library_layout,library_source,library_strategy,instrument_model,base_count,read_count,fastq_bytes,fastq_ftp,submitted_ftp,sra_ftp&format=tsv&download=true&limit=0",10.24272/j.issn.2095-8137.2025.080,https://doi.org/10.24272/j.issn.2095-8137.2025.080,data/adna/source_library/projects/PRJNA1328209/bundle_manifest.json,archived,missing,paper_source_archived
