project_accession,species_latin_name,species_common_name,site_label,original_place_text,resolved_place_text,political_entity,source_artifact_path,source_locator,coordinate_basis,mapping_posture,latitude_text,longitude_text,geocoding_method,geocoder_or_gazetteer,confidence_rationale,coordinate_confidence,paper_doi,paper_url,supplementary_source,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB75467,Bos taurus,cattle,"Barche di Solferino, near Mantova","Barche di Solferino, near Mantova","Barche di Solferino, near Mantova",Italy,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A38:Y38,supplementary_proximal_site_coordinates,mappable_point,45.1581560673906,10.793506163037,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,12931-13172 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,"Barguzin river, Baikal","Barguzin river, Baikal","Barguzin river, Baikal",Russia,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A5:Y5,supplementary_proximal_site_coordinates,mappable_point,51.4966093549618,104.037519968685,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,11941-12455 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,Bedburg-Königshoven,Bedburg-Königshoven,Bedburg-Königshoven,Germany,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A16:Y16,supplementary_proximal_site_coordinates,mappable_point,51.1072285985126,6.46428381971451,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,11402-11875 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,"Borly 4, Pavlodar region","Borly 4, Pavlodar region","Borly 4, Pavlodar region",Kazakhstan,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A23:Y23,supplementary_proximal_site_coordinates,mappable_point,52.040164667297,77.7272383993485,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,4839-5025 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,"Frederiksborg, Alsønderup","Frederiksborg, Alsønderup","Frederiksborg, Alsønderup",Denmark,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A44:Y44,supplementary_proximal_site_coordinates,mappable_point,55.9346647197838,12.3010578233008,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,10422-10751 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,"Grotta dell'Uzzo, Sicily","Grotta dell'Uzzo, Sicily","Grotta dell'Uzzo, Sicily",Italy,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A20:Y20,supplementary_proximal_site_coordinates,mappable_point,37.5934202669809,13.8526139597698,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,9429-9542 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,Gyumri district,Gyumri district,Gyumri district,Armenia,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A3:Y3,supplementary_proximal_site_coordinates,mappable_point,41.1320112833211,43.8712544488537,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,13789-14023 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,Herxheim,Herxheim,Herxheim,Germany,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A2:Y2,supplementary_proximal_site_coordinates,mappable_point,49.145275,8.221805,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,3321-8989 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,"Hjørring, Tofte Bæk","Hjørring, Tofte Bæk","Hjørring, Tofte Bæk",Denmark,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A26:Y26,supplementary_proximal_site_coordinates,mappable_point,57.2407065497517,9.8686973853874,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,7976-8173 BP,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB75467,Bos taurus,cattle,Lundby I,Lundby I,Lundby I,Denmark,data/adna/governance/source_library/papers/10.1038-s41586-024-08112-6/supplementary/41586_2024_8112_MOESM3_ESM.xlsx,Supplementary Data 1!A36:Y36 || Supplementary Data 1!A41:Y41,supplementary_proximal_site_coordinates,mappable_point,55.3584015935903,11.3931303537925,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,"The published supplementary table describes this coordinate as proximal to the site, so it is suitable for approximate locality placement but not an exact specimen findspot.",approximate,10.1038/s41586-024-08112-6,https://doi.org/10.1038/s41586-024-08112-6,,,,,unknown,false,wild_or_progenitor_context,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
