locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
bos_taurus:locality:prjeb31621:abugosh:israel,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Abu Gosh,Abu Gosh,Israel,,,,,unknown,7949-9449 BP,7949,9449,8699,archaeological_period,archaeological_context_date,contextual_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:acemhyk:turkey,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Acemhöyük,Acemhöyük,Turkey,,,,,unknown,4200 BP,4200,4200,4200,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:atalhyk:turkey,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Çatalhöyük,Çatalhöyük,Turkey,,,,,unknown,7600 BP,7600,7600,7600,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:belovodevelikolaole:serbia,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Belovode-Veliko Laole,Belovode-Veliko Laole,Serbia,,,,,unknown,6900 BP,6900,6900,6900,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:bestansur:iraq,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Bestansur,Bestansur,Iraq,,,,,unknown,629-2800 BP,629,2800,1714,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:blagotin:serbia,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Blagotin,Blagotin,Serbia,,,,,unknown,8100 BP,8100,8100,8100,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:bubanj:serbia,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Bubanj,Bubanj,Serbia,,,,,unknown,7600 BP,7600,7600,7600,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:darialitamarafort:georgia,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Dariali Tamara Fort,Dariali Tamara Fort,Georgia,,,,,unknown,1000-1350 BP,1000,1350,1175,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:gilat:israel,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Gilat,Gilat,Israel,,,,,unknown,5249-6249 BP,5249,6249,5749,archaeological_period,archaeological_context_date,contextual_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
bos_taurus:locality:prjeb31621:gyumri:armenia,Bos taurus,cattle,PRJEB31621,ENA,PRJEB31621,archive_reads,primary_paper_pinned,primary_paper_pinned,Gyumri,Gyumri,Armenia,,,,,unknown,7040 BP,7040,7040,7040,archaeological_period,archaeological_context_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
