locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
camelus_dromedarius:locality:ku605068-ku605080:austria,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Austria,Austria,,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:dubai:unitedarabemirates,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Dubai,Dubai,United Arab Emirates,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:kenya,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Kenya,Kenya,,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:pakistan,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Pakistan,Pakistan,,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:palmyra:syria,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Palmyra,Palmyra,Syria,,,,,unknown,1650-2050 BP,1650,2050,1850,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:qatarjordanborder:qatarandjordan,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Qatar-Jordan border,Qatar-Jordan border,Qatar and Jordan,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:sagalassos:turkey,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Sagalassos,Sagalassos,Turkey,,,,,unknown,1250-1500 BP,1250,1500,1375,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:saudiarabia,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Saudi Arabia,Saudi Arabia,,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:ku605068-ku605080:sudan,Camelus dromedarius,dromedary camel,KU605068-KU605080,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,primary_paper_pinned,Sudan,Sudan,,,,,,unknown,0 BP,0,0,0,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:locality:srp073444:site1040nearwadihalfadromedarycontext:sudan,Camelus dromedarius,dromedary camel,SRP073444,SRA,SRP073444,archive_reads,primary_paper_pinned,primary_paper_pinned,Site 1040 near Wadi Halfa dromedary context,Site 1040 near Wadi Halfa dromedary context,Sudan,21.799142,31.371316,21.799142,31.371316,approximate,Late Pleistocene,,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Camel now keeps one named-place resolution trail instead of only a broad Arabian/Levant centroid.
