stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
camelus_dromedarius:sample:ku605068-ku605080:ku605068,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605068,,biological_sample,Palm152,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Palmyra,Syria,,,,,unknown,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,Sample-owned chronology disagrees with the project-level chronology interval.,1650,2050,1850,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605069,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605069,,biological_sample,Palm157,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Palmyra,Syria,,,,,unknown,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,Sample-owned chronology disagrees with the project-level chronology interval.,1650,2050,1850,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605070,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605070,,biological_sample,Palm171,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Palmyra,Syria,,,,,unknown,1650-2050 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,Sample-owned chronology disagrees with the project-level chronology interval.,1650,2050,1850,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605071,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605071,,biological_sample,SAG2,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Sagalassos,Turkey,,,,,unknown,1250-1500 BP,sample_owned_interval,historical_or_recent_date,sample_precise_interval,normalized_interval,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,Sample-owned chronology disagrees with the project-level chronology interval.,1250,1500,1375,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605072,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605072,,biological_sample,Drom439,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Qatar-Jordan border,Qatar and Jordan,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605073,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605073,,biological_sample,Drom795,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Saudi Arabia,Saudi Arabia,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605074,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605074,,biological_sample,Drom796,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Saudi Arabia,Saudi Arabia,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605075,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605075,,biological_sample,Drom797,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Saudi Arabia,Saudi Arabia,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605076,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605076,,biological_sample,Drom801A,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Austria,Austria,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
camelus_dromedarius:sample:ku605068-ku605080:ku605077,KU605068-KU605080,primary_article_accession_mapping,article_text_extracted,final,KU605077,,biological_sample,Drom802,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,site_curated,Camelus dromedarius,dromedary camel,GenBank,KU605068-KU605080,mitogenome_only,primary_paper_pinned,manual_curation_only,Combined hybridization capture and shotgun sequencing for ancient DNA analysis of extinct wild and domestic dromedary camel,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,Dubai,United Arab Emirates,,,,,unknown,0 BP (modern comparator),sample_owned_interval,historical_or_recent_date,sample_precise_point,normalized_point,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,Materials and methods; Data accessibility,,0,0,0,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
