project_accession,species_latin_name,species_common_name,site_label,political_entity,paper_doi,paper_url,supplementary_source,source_artifact_path,source_artifact_kind,source_locator,exact_source_text,source_support_status,coordinate_basis,latitude_text,longitude_text,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
KU605068-KU605080,Camelus dromedarius,dromedary camel,Austria,Austria,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605076 as a modern comparator from Austria.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Dubai,United Arab Emirates,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,"The article identifies KU605077 as a modern comparator from Dubai, United Arab Emirates.",supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Kenya,Kenya,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605078 as a modern comparator from Kenya.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Pakistan,Pakistan,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605080 as a modern comparator from Pakistan.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Palmyra,Syria,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,"KU605068 maps to Palm152 from Palmyra, dated by the article to 100 BCE-300 CE.",supplementary_table_row,site_level_localities,,,1650-2050 BP,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Qatar-Jordan border,Qatar and Jordan,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605072 as a modern comparator from the Qatar-Jordan border.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Sagalassos,Turkey,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,"KU605071 maps to SAG2 from Sagalassos, dated by the article to 450-700 CE.",supplementary_table_row,site_level_localities,,,1250-1500 BP,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Saudi Arabia,Saudi Arabia,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605073 as a modern comparator from Saudi Arabia.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
KU605068-KU605080,Camelus dromedarius,dromedary camel,Sudan,Sudan,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,supplementary_spreadsheet_row,Materials and methods; Data accessibility,The article identifies KU605079 as a modern comparator from Sudan.,supplementary_table_row,site_level_localities,,,0 BP (modern comparator),,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
SRP073444,Camelus dromedarius,camel,Arabian Peninsula and Levant dromedary context,Arabian Peninsula and Levant,10.1111/1755-0998.12551,https://doi.org/10.1111/1755-0998.12551,,adna/governance/source_library/papers/10.1111-1755-0998.12551/article.html,article_html_body_quote,abstract and introduction,The remains of a single large-sized Late Pleistocene camel individual recovered from the Site 1040 near Wadi Halfa were first evaluated by Gautier.,article_exact_quote,inferred_region_centroid,25.00,45.00,Historical and archaeological dromedary range context,1400,3000,historical_attribution,false,non_nordic_domestication_context,"The paper names an exact Wadi Halfa specimen, but the current repository still publishes camel only as broad non-Nordic context rather than a precise atlas-grade point.",The shipped point is still a broad contextual centroid even though the paper names Site 1040 near Wadi Halfa.
