locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
capra_hircus:locality:prjeb90141:acemhyk:aksarayplainturkey,Capra hircus,goat,PRJEB90141,ENA,PRJEB90141,archive_reads,primary_paper_pinned,primary_paper_pinned,Acemhöyük,Acemhöyük,"Aksaray Plain, Turkey",38.540978,33.771234,38.540978000000003,33.771234,exact,3833-3984 BP,3833,3984,3908,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90141:blagotinpoljna:trstenikserbia,Capra hircus,goat,PRJEB90141,ENA,PRJEB90141,archive_reads,primary_paper_pinned,primary_paper_pinned,Blagotin-Poljna,Blagotin-Poljna,"Trstenik, Serbia",43.723286,21.099449,43.723286000000002,21.099449,exact,7840-8030 BP,7840,8030,7935,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90141:direklicave:taurusmountainsturkey,Capra hircus,goat,PRJEB90141,ENA,PRJEB90141,archive_reads,primary_paper_pinned,primary_paper_pinned,Direkli Cave,Direkli Cave,"Taurus Mountains, Turkey",37.8578,36.653883,37.857799999999997,36.653883,exact,13169-13316 BP,13169,13316,13242,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90141:sangechakhmaq:semnaniran,Capra hircus,goat,PRJEB90141,ENA,PRJEB90141,archive_reads,primary_paper_pinned,primary_paper_pinned,Sang-e Chakhmaq,Sang-e Chakhmaq,"Semnan, Iran",36.504158,55.000786,36.504157999999997,55.000785999999998,exact,7939-8170 BP,7939,8170,8054,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:aguadulce:grancanaria,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Aguadulce,Aguadulce,Gran Canaria,27.963741,-15.381412,27.963740999999999,-15.381411999999999,exact,11th - 12th centuries CE (SUII),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:belmaco:lapalma,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Belmaco,Belmaco,La Palma,28.5786,-17.7762,28.578600000000002,-17.776199999999999,exact,11th - 12th centuries CE (SU17-18),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:buracas:lapalma,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Buracas,Buracas,La Palma,28.7924,-17.9765,28.792400000000001,-17.976500000000001,exact,6th - 8th centuries CE (SU15),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:caserones:grancanaria,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Caserones,Caserones,Gran Canaria,28.002674,-15.813492,28.002673999999999,-15.813492,exact,13th - 14th centuries CE (SU13),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:cuevadebencomo:tenerife,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Cueva de Bencomo,Cueva de Bencomo,Tenerife,28.4071,-16.5061,28.4071,-16.5061,exact,7th - 11th centuries CE (SU2),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:locality:prjeb90261:cuevadelaherradura:elhierro,Capra hircus,goat,PRJEB90261,ENA,PRJEB90261,archive_reads,primary_paper_pinned,primary_paper_pinned,Cueva de la Herradura,Cueva de la Herradura,El Hierro,27.640201,-17.989809,27.640201000000001,-17.989809000000001,exact,3rd - 4th centuries CE (SU110),,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
