stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
capra_hircus:sample:prjeb90141:samea4453841,PRJEB90141,supplementary_table_sample_label_anchor,direct_table_extracted,final,SAMEA4453841,Direkli1-2,Direkli1-2,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row2,site_curated,Capra hircus,goat,ENA,PRJEB90141,archive_reads,primary_paper_pinned,manual_curation_only,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,https://doi.org/10.1093/gbe/evaf181,,Direkli Cave,"Taurus Mountains, Turkey",37.8578,36.653883,37.857799999999997,36.653883,exact,11367-11220 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row2,Sample-owned chronology disagrees with the project-level chronology interval.,13169,13316,13242,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90141:samea4588077,PRJEB90141,supplementary_table_sample_label_anchor,direct_table_extracted,final,SAMEA4588077,Blagotin3,Blagotin3,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row3,site_curated,Capra hircus,goat,ENA,PRJEB90141,archive_reads,primary_paper_pinned,manual_curation_only,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,https://doi.org/10.1093/gbe/evaf181,,Blagotin-Poljna,"Trstenik, Serbia",43.723286,21.099449,43.723286000000002,21.099449,exact,6081-5891 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row3,Sample-owned chronology disagrees with the project-level chronology interval.,7840,8030,7935,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90141:samea4591758,PRJEB90141,supplementary_table_sample_label_anchor,direct_table_extracted,final,SAMEA4591758,Semnan3,Semnan3,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row5,site_curated,Capra hircus,goat,ENA,PRJEB90141,archive_reads,primary_paper_pinned,manual_curation_only,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,https://doi.org/10.1093/gbe/evaf181,,Sang-e Chakhmaq,"Semnan, Iran",36.504158,55.000786,36.504157999999997,55.000785999999998,exact,6221-5990 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row5,Sample-owned chronology disagrees with the project-level chronology interval.,7939,8170,8054,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90141:samea4591761,PRJEB90141,supplementary_table_sample_label_anchor,direct_table_extracted,final,SAMEA4591761,Acem2,Acem2,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row4,site_curated,Capra hircus,goat,ENA,PRJEB90141,archive_reads,primary_paper_pinned,manual_curation_only,Inferring Domestic Goat Demographic History Through Ancient Genome Imputation,10.1093/gbe/evaf181,https://doi.org/10.1093/gbe/evaf181,,Acemhöyük,"Aksaray Plain, Turkey",38.540978,33.771234,38.540978000000003,33.771234,exact,2035-1884 BCE,sample_owned_interval,direct_radiocarbon_date,sample_precise_interval,normalized_interval,data/adna/governance/source_library/papers/10.1093-gbe-evaf181/supplementary/GBE_Supplementary_Tables_S1-18_Goat_imputation.xlsx,Table S2 downsampled samples!row4,,3833,3984,3908,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:apor012,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,APOR012,APOR012,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row76,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,El Portalón,Burgos,42.2853,-3.8335,42.285299999999999,-3.8334999999999999,exact,86-237 cal CE (sample),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row76,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0515,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0515,LLD-0093,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row12,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,El Lomito del Medio,La Gomera,28.085573,-17.149227,28.085573,-17.149227,exact,7th - 8th centuries CE (SU2),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row12,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0518,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0518,LLD-0463,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row13,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,El Lomito del Medio,La Gomera,28.085573,-17.149227,28.085573,-17.149227,exact,8th - 9th centuries CE (SU6),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row13,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0523,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0523,LLD-0468,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row14,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,El Lomito del Medio,La Gomera,28.085573,-17.149227,28.085573,-17.149227,exact,1st - 2nd centuries CE (SU10),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row14,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0529,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0529,LLD-0471,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row20,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cuevas de Herrera González,La Gomera,28.174384,-17.323679,28.174384,-17.323678999999998,exact,15th century CE (SU6),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row20,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0533,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0533,LLD-0099,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row16,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,28.178343999999999,-17.193563999999999,exact,10th - 11th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row16,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0535,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0535,LLD-0101,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row17,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,28.178343999999999,-17.193563999999999,exact,11th century CE (SU6; lev1),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row17,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0537,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0537,LLD-0474,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row15,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,28.178343999999999,-17.193563999999999,exact,11th century CE (SU4; lev1),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row15,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0539,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0539,LLD-0476,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row19,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,28.178343999999999,-17.193563999999999,exact,11th century CE (SU6; lev1),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row19,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-0540,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-0540,LLD-0477,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row18,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,La Cañada de la Gurona,La Gomera,28.178344,-17.193564,28.178343999999999,-17.193563999999999,exact,10th - 11th centuries CE (SU6; lev3),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row18,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-1233,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-1233,LLD-0478,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row40,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,28.637195999999999,-13.899853999999999,exact,6th - 12th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row40,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-1235,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-1235,LLD-0480,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row41,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,28.637195999999999,-13.899853999999999,exact,6th - 12th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row41,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-1236,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-1236,LLD-0481,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row42,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,28.637195999999999,-13.899853999999999,exact,6th - 12th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row42,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-1238,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-1238,LLD-0483,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row47,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,28.637195999999999,-13.899853999999999,exact,6th - 12th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row47,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
capra_hircus:sample:prjeb90261:pgull-1239,PRJEB90261,supplementary_table_sample_label_anchor,direct_table_extracted,final,,PGULL-1239,LLD-0484,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row48,site_curated,Capra hircus,goat,ENA,PRJEB90261,archive_reads,primary_paper_pinned,manual_curation_only,Paleogenomic evidence on the temporal continuity of indigenous goat exploitation in the Canary Islands,10.1016/j.isci.2025.113771,https://doi.org/10.1016/j.isci.2025.113771,,Cueva de Villaverde,Fuerteventura,28.637196,-13.899854,28.637195999999999,-13.899853999999999,exact,6th - 12th centuries CE (site),sample_owned_text_only,historical_or_recent_date,sample_approximate_or_modeled,text_only_unparsed,data/adna/governance/source_library/papers/10.1016-j.isci.2025.113771/supplementary/1-s2.0-S2589004225020322-mmc3.xlsx,Table S2!row48,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,historical_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
