project_accession,species_latin_name,species_common_name,site_label,original_place_text,resolved_place_text,political_entity,source_artifact_path,source_locator,coordinate_basis,mapping_posture,latitude_text,longitude_text,geocoding_method,geocoder_or_gazetteer,confidence_rationale,coordinate_confidence,paper_doi,paper_url,supplementary_source,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB22390,Equus caballus,horse,Botai archaeological site horse context,Botai culture of the Central Asian steppes,Botai archaeological site,Kazakhstan,adna/governance/source_library/papers/10.1126-science.aao3297/article.html,meta description,named_site_geocoding,mappable_point,52.99,69.15,manual_named_place_resolution,repository-curated archaeological site anchor,"The archived paper names Botai explicitly, but does not ship a direct coordinate pair in the local source archive, so the current coordinate is an approximate named-site geocode.",approximate,10.1126/science.aao3297,https://doi.org/10.1126/science.aao3297,,~5500 BP Botai horse context,5400,5600,bp_window,false,domesticated_core,Botai remains the only clearly named domesticated-core horse site that currently earns point-level publication.,
PRJEB31613,Equus caballus,horse,Actiparc,Actiparc,Actiparc,France,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row5,supplementary_table_coordinates,mappable_point,50.31503,2.8217970000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2143 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Alcáçova de Santarém,Alcáçova de Santarém,Alcáçova de Santarém,Portugal,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row194,supplementary_table_coordinates,mappable_point,39.241,-8.6920000000000002,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,817-1217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Altata,Altata,Altata,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row11,supplementary_table_coordinates,mappable_point,51.07,48.44,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Arzhan I,Arzhan I,Arzhan I,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row13,supplementary_table_coordinates,mappable_point,52.058888899999999,93.603888900000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2727 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Arzhan II,Arzhan II,Arzhan II,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row15,supplementary_table_coordinates,mappable_point,52.058888899999999,93.603888900000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,2617-2667 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Augusta Raurica - Insula 8,Augusta Raurica - Insula 8,Augusta Raurica - Insula 8,Switzerland,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row19,supplementary_table_coordinates,mappable_point,47.533178200000002,7.7220154000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1717-1917 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Augusta Raurica - Schmidmatt,Augusta Raurica - Schmidmatt,Augusta Raurica - Schmidmatt,Switzerland,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row20,supplementary_table_coordinates,mappable_point,47.536085,7.7220154000000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1617-1817 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Balagansk,Balagansk,Balagansk,Russia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row22,supplementary_table_coordinates,mappable_point,47.666666669999998,8.85,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1817-2217 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
PRJEB31613,Equus caballus,horse,Bapska Gradac,Bapska Gradac,Bapska Gradac,Croatia,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc1.xlsx,Sheet1!row23,supplementary_table_coordinates,mappable_point,45.197325499999998,19.262490700000001,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1016/j.cell.2019.03.049,https://doi.org/10.1016/j.cell.2019.03.049,,1305 BP,,,unknown,false,domesticated_core,This locality is mapped from direct supplementary coordinates rather than a project-level geocode.,
