locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
equus_caballus:locality:prjeb19970:arzhani:russia,Equus caballus,horse,PRJEB19970,ENA,PRJEB19970,archive_reads,primary_paper_pinned,primary_paper_pinned,Arzhan I,Arzhan I,Russia,,,,,unknown,2727 BP,2727,2727,2727,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb19970:berel:kazakhstan,Equus caballus,horse,PRJEB19970,ENA,PRJEB19970,archive_reads,primary_paper_pinned,primary_paper_pinned,Berel',Berel',Kazakhstan,,,,,unknown,2300 BP,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb19970:na,Equus caballus,horse,PRJEB19970,ENA,PRJEB19970,archive_reads,primary_paper_pinned,primary_paper_pinned,N/A,N/A,,,,,,unknown,N/A,,,,mixed_radiocarbon_and_archaeological_context,unresolved,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb19970:sintashta:russia,Equus caballus,horse,PRJEB19970,ENA,PRJEB19970,archive_reads,primary_paper_pinned,primary_paper_pinned,Sintashta,Sintashta,Russia,,,,,unknown,4023 BP,4023,4023,4023,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:actiparc,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Actiparc,Actiparc,,,,,,unknown,2319 BP,2319,2319,2319,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:bateni,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Bateni,Bateni,,,,,,unknown,3318 BP,3318,3318,3318,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:borly4,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Borly4,Borly4,,,,,,unknown,4974-5015 BP,4974,5015,4994,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:botai,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Botai,Botai,,,,,,unknown,5500 BP,5500,5500,5500,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:botaic,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Botai C,Botai C,,,,,,unknown,5500 BP,5500,5500,5500,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
equus_caballus:locality:prjeb22390:botaif,Equus caballus,horse,PRJEB22390,ENA,PRJEB22390,archive_reads,primary_paper_pinned,primary_paper_pinned,Botai F,Botai F,,,,,,unknown,5500 BP,5500,5500,5500,mixed_radiocarbon_and_archaeological_context,direct_radiocarbon_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
