stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
equus_caballus:sample:prjeb10854,PRJEB10854,project_accession_anchor,not_yet_recoverable,provisional,,,,,,sample_context_blocked,Equus caballus,horse,ENA,PRJEB10854,archive_reads,archive_verified_needs_paper_pinning,manual_curation_only,,,,,site detail not yet extracted from tracked source support,,,,,,withheld,chronology not yet extracted from tracked source support,project_context_text_only,text_only_unparsed,,,,,,,not_yet_curated,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
equus_caballus:sample:prjeb19970:cgg_1_016168,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016168,Berel_BER01_A_2300,Berel_BER01_A_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row7,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row7,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016169,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016169,Berel_BER02_B_2300,Berel_BER02_B_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row8,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row8,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016171,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016171,Berel_BER04_D_2300,Berel_BER04_D_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row9,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row9,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016172,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016172,Berel_BER05_E_2300,Berel_BER05_E_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row10,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row10,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016173,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016173,Berel_BER06_F_2300,Berel_BER06_F_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row11,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row11,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016174,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016174,Berel_BER07_G_2300,Berel_BER07_G_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row12,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row12,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016175,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016175,Berel_BER08_H_2300,Berel_BER08_H_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row13,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row13,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016176,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016176,Berel_BER09_I_2300,Berel_BER09_I_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row14,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row14,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
equus_caballus:sample:prjeb19970:cgg_1_016177,PRJEB19970,supplementary_table_sample_label_anchor,direct_table_extracted,final,CGG_1_016177,Berel_BER10_K_2300,Berel_BER10_K_2300,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row15,site_curated,Equus caballus,horse,ENA,PRJEB19970,archive_reads,primary_paper_pinned,manual_curation_only,Ancient genomic changes associated with domestication of the horse,10.1126/science.aam5298,https://doi.org/10.1126/science.aam5298,,Berel',Kazakhstan,,,,,unknown,2300 BP,sample_owned_interval,normalized_point,data/adna/governance/source_library/papers/10.1016-j.cell.2019.03.049/supplementary/1-s2.0-S0092867419303848-mmc3.xlsx,Sheet1!row15,Sample-owned chronology disagrees with the project-level chronology interval.,2300,2300,2300,mixed_radiocarbon_and_archaeological_context,This locality is backed by direct sample rows recovered from the supplementary table.
