project_accession,species_latin_name,species_common_name,site_label,original_place_text,resolved_place_text,political_entity,source_artifact_path,source_locator,coordinate_basis,mapping_posture,latitude_text,longitude_text,geocoding_method,geocoder_or_gazetteer,confidence_rationale,coordinate_confidence,paper_doi,paper_url,supplementary_source,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB81815,Felis catus,cat,"Alba Fucens -Cisterna (Fucino, Abruzzi)","Alba Fucens -Cisterna (Fucino, Abruzzi)","Alba Fucens -Cisterna (Fucino, Abruzzi)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,supplementary_table_coordinates,mappable_point,42.08,13.41,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,1610-1740 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Arene Candide (Finale Ligure, Savona, Liguria)","Arene Candide (Finale Ligure, Savona, Liguria)","Arene Candide (Finale Ligure, Savona, Liguria)",Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,supplementary_table_coordinates,mappable_point,44.16,8.33,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,10-11 ka (Epigravettian),,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Aşıklı Höyük,Aşıklı Höyük,Aşıklı Höyük,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,supplementary_table_coordinates,mappable_point,38.35,34.23,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,9559-9899 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Bademağacı,Bademağacı,Bademağacı,Turkey,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,supplementary_table_coordinates,mappable_point,37.21,30.47,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Bank of Portugal,Bank of Portugal,Bank of Portugal,Portugal,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,supplementary_table_coordinates,mappable_point,38.71,-9.14,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Bernhardsthal,Bernhardsthal,Bernhardsthal,Austria,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,supplementary_table_coordinates,mappable_point,48.69,16.87,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Bremen; 201-Altstadt, Marktplatz","Bremen; 201-Altstadt, Marktplatz","Bremen; 201-Altstadt, Marktplatz",Germany,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246525 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row16 -> Table_S1!row44,supplementary_table_coordinates,mappable_point,53.10,8.83,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,320-510 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Bremen; 253-Altstadt, Am Wall","Bremen; 253-Altstadt, Am Wall","Bremen; 253-Altstadt, Am Wall",Germany,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246526 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row17 -> Table_S1!row45,supplementary_table_coordinates,mappable_point,53.10,8.83,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,16th,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,Castiglione in Sabina,Castiglione in Sabina,Castiglione in Sabina,Italy,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246529 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row22 -> Table_S1!row74,supplementary_table_coordinates,mappable_point,42.11,12.78,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,11-12th c AD,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
PRJEB81815,Felis catus,cat,"Cova de Els Trocs, Huesca","Cova de Els Trocs, Huesca","Cova de Els Trocs, Huesca",Spain,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246531 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row25 -> Table_S1!row186,supplementary_table_coordinates,mappable_point,42.47,0.53,direct_supplementary_coordinate_capture,not required because the supplementary table ships coordinates,The published supplementary table provides direct coordinates for this locality.,exact,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,6989-7249 BP,,,unknown,false,mixed_source_native_cat_taxa,This locality is mapped from direct supplementary coordinates rather than a project-level geocode; chronology remains sample-owned when its records have different dates.,
