locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
felis_catus:locality:prjeb81815:northafricatoeuropedomesticcatdispersaltransect:northafricaandeurope,Felis catus,cat,PRJEB81815,ENA,PRJEB81815,archive_reads,primary_paper_pinned,primary_paper_pinned,North Africa to Europe domestic cat dispersal transect,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,,,,,withheld,1200-4000 BP,1200,4000,2600,historical_and_archaeological_context,historical_or_recent_date,contextual_interval,false,"The Europe-facing cat dispersal paper is relevant to northern dispersal questions, but the current project summary does not justify a Nordic-mapped claim.",Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
felis_catus:locality:prjna1178732:hanchangancity:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Han Chang'an City,Han Chang'an City,China,,,,,unknown,44 cal. BCE - 76 cal. CE,,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:huoshiliang:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Huoshiliang,Huoshiliang,China,,,,,unknown,3749 BP,3749,3749,3749,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:laoniupo:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Laoniupo,Laoniupo,China,,,,,unknown,3149 BP,3149,3149,3149,historical_and_archaeological_context,historical_or_recent_date,sample_precise_point,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:puyangsongtomb:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Puyang Song Tomb,Puyang Song Tomb,China,,,,,unknown,980-1332 BP,980,1332,1156,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:quanhucun:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Quanhucun,Quanhucun,China,,,,,unknown,4649-5949 BP,4649,5949,5299,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:shaliangzi:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Shaliangzi,Shaliangzi,China,,,,,unknown,1797 - 1944 cal. CE,,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:tongwancity:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Tongwan City,Tongwan City,China,,,,,unknown,706 - 883 cal. CE,,,,historical_and_archaeological_context,historical_or_recent_date,sample_approximate_or_modeled,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:wuzhuangguoliang:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Wuzhuangguoliang,Wuzhuangguoliang,China,,,,,unknown,2170-4949 BP,2170,4949,3560,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
felis_catus:locality:prjna1178732:xinjie:china,Felis catus,cat,PRJNA1178732,BioProject,PRJNA1178732,archive_reads,primary_paper_pinned,primary_paper_pinned,Xinjie,Xinjie,China,,,,,unknown,3749-5449 BP,3749,5449,4599,historical_and_archaeological_context,historical_or_recent_date,sample_precise_interval,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
