stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
felis_catus:sample:prjeb81815:samea120246515,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246515,,biological_sample_accession,ACcat01,AC01,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,"Arene Candide (Finale Ligure, Savona, Liguria)",Italy,44.16,8.33,44.16,8.33,exact,10-11 ka (Epigravettian),sample_owned_text_only,archaeological_context_date,broad_period_only,text_only_unparsed,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246515 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row3 -> Table_S1!row66,,,,,archaeological_context,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246516,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246516,,biological_sample_accession,AFcat03,AF03,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,"Alba Fucens -Cisterna (Fucino, Abruzzi)",Italy,42.08,13.41,42.08,13.41,exact,1610-1740 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246516 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row5 -> Table_S1!row68,,1610,1740,1675,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246517,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246517,,biological_sample_accession,ASKcat01,ASK01,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Aşıklı Höyük,Turkey,38.35,34.23,38.35,34.23,exact,9559-9899 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246517 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row6 -> Table_S1!row196,,9559,9899,9729,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246518,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246518,,biological_sample_accession,BAcat02,BA02,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bademağacı,Turkey,37.21,30.47,37.21,30.47,exact,8189-8379 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246518 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row7 -> Table_S1!row197,,8189,8379,8284,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246519,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246519,,biological_sample_accession,BAcat03,BA03,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bademağacı,Turkey,37.21,30.47,37.21,30.47,exact,8039-8339 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246519 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row8 -> Table_S1!row198,,8039,8339,8189,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246520,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246520,,biological_sample_accession,BHHLcat01,BHHL01,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bernhardsthal,Austria,48.69,16.87,48.69,16.87,exact,970-1180 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246520 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row10 -> Table_S1!row3,,970,1180,1075,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246521,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246521,,biological_sample_accession,BHHLcat03,BHHL03,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bernhardsthal,Austria,48.69,16.87,48.69,16.87,exact,Roman,sample_owned_text_only,archaeological_context_date,broad_period_only,text_only_unparsed,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246521 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row12 -> Table_S1!row4,,,,,archaeological_context,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246522,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246522,,biological_sample_accession,BPcat01,BP01,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bank of Portugal,Portugal,38.71,-9.14,38.71,-9.14,exact,930-1060 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246522 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row13 -> Table_S1!row153,,930,1060,995,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246523,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246523,,biological_sample_accession,BPcat02,BP02,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bank of Portugal,Portugal,38.71,-9.14,38.71,-9.14,exact,910-1050 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246523 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row14 -> Table_S1!row154,,910,1050,980,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
felis_catus:sample:prjeb81815:samea120246524,PRJEB81815,archive_supplement_exact_join,direct_table_extracted,final,SAMEA120246524,,biological_sample_accession,BPcat03,BP03,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155,site_curated,Felis catus,cat,ENA,PRJEB81815,archive_reads,primary_paper_pinned,manual_curation_only,The dispersal of domestic cats from North Africa to Europe around 2000 years ago,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,Bank of Portugal,Portugal,38.71,-9.14,38.71,-9.14,exact,920-1060 BP,sample_owned_interval,direct_radiocarbon_date,sample_approximate_or_modeled,normalized_interval,data/adna/governance/source_library/papers/10.1126-science.adt2642/supplementary/science.adt2642_tables s1_to_s8.zip,sample_accession:SAMEA120246524 || science.adt2642_tables s1_to_s8.xlsx#Table_S3!row15 -> Table_S1!row155,,920,1060,990,radiocarbon,Sample-level locality comes directly from the recovered sample source row.
