project_accession,species_latin_name,species_common_name,site_label,political_entity,paper_doi,paper_url,supplementary_source,source_artifact_path,source_artifact_kind,source_locator,exact_source_text,source_support_status,coordinate_basis,latitude_text,longitude_text,chronology_text,time_start_bp,time_end_bp,dating_basis,comparator_context,domestication_context,interpretation_note,support_gap_note
PRJEB81815,Felis catus,cat,North Africa to Europe domestic cat dispersal transect,North Africa and Europe,10.1126/science.adt2642,https://doi.org/10.1126/science.adt2642,,adna/governance/source_library/papers/10.1126-science.adt2642/article.html,article_html_body_quote,discussion text,"Subsequently, since the Roman Imperial era, cats more genetically similar to present-day domestic cats were spread across Europe from a distinct North African population.",article_exact_quote,inferred_region_centroid,37.00,15.00,Holocene cat dispersal across North Africa and Europe,1200,4000,archaeological_period,false,domesticated_core,"This is a dispersal transect, not one excavated cat site, so the current mapped point remains region-level.",
PRJNA1178732,Felis catus,cat,Han Chang'an City,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row25,FS24 | Han Chang'an City | Xi'an Shaanxi | Cental China | China | 2.7 | 20836 | 16617 | 99.497 | 90.849299999999999 | N/A | N/A | N/A | 44 cal. BCE - 76 cal. CE  | PBE-Indochina | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,44 cal. BCE - 76 cal. CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Huoshiliang,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row10,FS7 | Huoshiliang | Yulin Shaanxi | West China | China | 0.91 | 17321 | 16730 | 99.53 | 16.912700000000001 | N/A | N/A | N/A | 1800 BCE | Felis.s.ornata | Felis ornata,supplementary_table_row,site_level_localities,,,1800 BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Laoniupo,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row12,FS10 | Laoniupo | Xi'an Shaanxi | Cental China | China | 0.45 | 24215 | 16338 | 97.826499999999996 | 11.520799999999999 | N/A | N/A | N/A | 1200 BCE | PBE-RFE | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,1200 BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Puyang Song Tomb,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row19,FS18 | Puyang Song Tomb | Puyang Henan | Cental China | China | 0.05 | 4969 | 16975 | 99.8001 | 145.43899999999999 | N/A | N/A | N/A | 618 - 970 CE | Ⅳ-B | Felis catus,supplementary_table_row,site_level_localities,,,618 - 970 CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Quanhucun,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row16,FS15 | Quanhucun | Weinan Shaanxi | Cental China | China | 2.2999999999999998 | 2826 | 16114 | 96.485200000000006 | 15.668200000000001 | 162299570 | 3.3232499999999998 | 14322059 | 4000 - 2700 BCE | PBE-RFE | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,4000 - 2700 BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Shaliangzi,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row18,FS17 | Shaliangzi | Hohhot Inner Mongolia | North China | China | 17.89 | 5274 | 16871 | 99.188699999999997 | 45.969299999999997 | N/A | N/A | N/A | 1797 - 1944 cal. CE | Ⅳ-B | Felis catus,supplementary_table_row,site_level_localities,,,1797 - 1944 cal. CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Tongwan City,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row13,FS12 | Tongwan City | Jingbian Shaanxi | West China | China | 13.21 | 23207 | 16742 | 98.437700000000007 | 78.892099999999999 | 111504420 | 3.5295899999999998 | 107849 | 706 - 883 cal. CE | Ⅳ-B | Felis catus,supplementary_table_row,site_level_localities,,,706 - 883 cal. CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Wuzhuangguoliang,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row11,FS8 | Wuzhuangguoliang | Jingbian Shaanxi | West China | China | 8.76 | 9870 | 16416 | 98.293499999999995 | 47.324399999999997 | 153959749 | 5.9626900000000003 | 17194519 | 3000 - 221 BCE | PBE-RFE | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,3000 - 221 BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Xinjie,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row15,FS14 | Xinjie | Lantian Shaanxi | Cental China | China | 0.06 | 12377 | 15584 | 93.311800000000005 | 20.101299999999998 | N/A | N/A | N/A | ~3500 - 1800 BCE | PBE-Indochina | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,~3500 - 1800 BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Xinxiang Song Tomb,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row9,FS6 | Xinxiang Song Tomb | Xinxiang Henan | Central China | China | 0.34 | 15982 | 16961 | 99.717799999999997 | 112.491 | N/A | N/A | N/A | 960 - 1127 CE | Ⅳ-B | Felis catus,supplementary_table_row,site_level_localities,,,960 - 1127 CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Xitucheng City,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row4,FS1 | Xitucheng City | Zhangjiakou Hebei | North China | China | 12.5 | 24336 | 16732 | 98.378900000000002 | 86.513599999999997 | 128005822 | 3.2273700000000001 | 95470 | 1115 - 1234 CE | Ⅳ-B | Felis catus,supplementary_table_row,site_level_localities,,,1115 - 1234 CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Yangling,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row14,FS13 | Yangling | Xianyang Shaanxi | Cental China | China | 0.06 | 4117 | 15792 | 94.557199999999995 | 26.255099999999999 | N/A | N/A | N/A | 168 - 48 cal. BCE | PBE-Indochina | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,168 - 48 cal. BCE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
PRJNA1178732,Felis catus,cat,Zheng and Han City,China,10.1016/j.xgen.2025.101099,https://doi.org/10.1016/j.xgen.2025.101099,,data/adna/governance/source_library/papers/10.1016-j.xgen.2025.101099/supplementary/1-s2.0-S2666979X25003556-mmc3.xlsx,supplementary_spreadsheet_row,A!row20,FS19 | Zheng and Han City | Xinzheng Henan | Cental China | China | 6.48 | 27643 | 16518 | 98.904300000000006 | 51.259900000000002 | 175356056 | 4.7043100000000004 | 15747266 | 25 - 220 CE | PBE-Indochina | Prionailurus bengalensis,supplementary_table_row,site_level_localities,,,25 - 220 CE,,,unknown,false,domesticated_core,This locality is backed by direct sample rows recovered from the supplementary table.,
