stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
ovis_aries:sample:prjeb36540:bh 28,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 28,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row170,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6300-6200 cal  BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row170,,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 29,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 29,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row171,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6300-6200 cal BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row171,,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 33,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 33,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row172,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6400-6300 cal BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row172,Sample-owned chronology disagrees with the project-level chronology interval.,8249,8349,8299,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 38,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 38,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row173,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6400-6300 cal  BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row173,Sample-owned chronology disagrees with the project-level chronology interval.,8249,8349,8299,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 4,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 4,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row168 || Sheet1!row4,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6300-6200 cal BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx || data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_2.xlsx,Sheet1!row168 || Sheet1!row4,,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 44,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 44,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row174,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6300-6200 cal BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row174,,8149,8249,8199,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 45,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 45,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row175,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,-,sample_owned_text_only,text_only_unparsed,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row175,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 47,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 47,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row176,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,6600-6500 cal BCE,sample_owned_interval,normalized_interval,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row176,Sample-owned chronology disagrees with the project-level chronology interval.,8449,8549,8499,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 50,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 50,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row177,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,-,sample_owned_text_only,text_only_unparsed,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row177,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
ovis_aries:sample:prjeb36540:bh 51,PRJEB36540,supplementary_table_sample_label_anchor,direct_table_extracted,final,,,BH 51,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row178,site_curated,Ovis aries,sheep,ENA,PRJEB36540,archive_reads,primary_paper_pinned,manual_curation_only,Archaeogenetic analysis of Neolithic sheep from Anatolia suggests a complex demographic history since domestication,10.1038/s42003-021-02794-8,https://doi.org/10.1038/s42003-021-02794-8,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip,Barcın Höyük,Turkey,,,,,unknown,-,sample_owned_text_only,text_only_unparsed,data/adna/governance/source_library/papers/10.1038-s42003-021-02794-8/supplementary/42003_2021_2794_MOESM4_ESM.zip#Supplementary_Data_1.xlsx,Sheet1!row178,Sample-owned chronology text disagrees with the project-level chronology wording.,,,,mixed_radiocarbon_and_archaeological_context,Sample-level locality comes directly from the recovered sample source row.
