stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
rangifer_tarandus:sample:prjeb60484:samea112757323,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757323,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757323,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757324,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757324,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757324,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757325,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757325,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757325,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757326,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757326,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757326,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757327,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757327,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757327,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757328,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757328,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757328,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757329,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757329,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757329,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757330,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757330,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757330,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757331,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757331,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757331,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
rangifer_tarandus:sample:prjeb60484:samea112757332,PRJEB60484,archive_project_sample_accession_anchor,archive_native,final,SAMEA112757332,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB60484/archive_metadata.html,sample_accession:SAMEA112757332,sample_context_blocked,Rangifer tarandus,reindeer,ENA,PRJEB60484,mitogenome_only,comparator_only,manual_curation_only,Ancient reindeer mitogenomes reveal island-hopping colonisation of the Arctic archipelagos,10.1038/s41598-024-54296-2,https://doi.org/10.1038/s41598-024-54296-2,,site detail not yet extracted from tracked source support,,,,,,withheld,,unresolved,unresolved,unresolved,unresolved,,,,,,,historical_and_archaeological_context,"This sample row is curated into the species master table, but site and chronology extraction are still blocked until a project-owned site evidence row is curated from paper or supplementary support."
