locality_token,species_latin_name,species_common_name,project_accessions,source_family,source_releases,record_modalities,review_strengths,provenance_qualities,original_location_text,locality,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,time_start_bp,time_end_bp,time_mean_bp,dating_basis,chronology_evidence_class,chronology_precision_posture,nordic_inclusion,nordic_inclusion_reason,interpretation_note
sus_scrofa_domesticus:locality:prjeb30282:abughosh:israel,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Abu Ghosh,Abu Ghosh,Israel,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:acemhyk:turkey,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Acemhöyük,Acemhöyük,Turkey,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:adrhyk:turkey,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Çadır Höyük,Çadır Höyük,Turkey,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:ajvide:sweden,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Ajvide,Ajvide,Sweden,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,true,This locality falls inside the Nordic publication footprint through direct Sweden sample evidence.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:aklhyk:turkey,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Aşıklı Höyük,Aşıklı Höyük,Turkey,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:albaiulialumeanou:romania,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Alba Iulia-Lumea Nouă,Alba Iulia-Lumea Nouă,Romania,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:albertfalvaromanvicusbudapest:hungary,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Albertfalva Roman vicus (Budapest),Albertfalva Roman vicus (Budapest),Hungary,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:amlibeltarlasi:turkey,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Çamlibel Tarlasi,Çamlibel Tarlasi,Turkey,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:arbonbleiche3:switzerland,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Arbon Bleiche 3,Arbon Bleiche 3,Switzerland,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
sus_scrofa_domesticus:locality:prjeb30282:atij:syria,Sus scrofa domesticus,pig,PRJEB30282,ENA,PRJEB30282,archive_reads,primary_paper_pinned,primary_paper_pinned,Atij,Atij,Syria,,,,,unknown,,,,,mixed_radiocarbon_and_archaeological_context,unresolved,unresolved,false,The current curated project inventory does not yet identify a shipped Nordic-localized lead for this record.,Sample-level locality comes directly from the recovered sample source row.
