stable_sample_id,project_accession,sample_basis,sample_evidence_status,sample_identity_resolution,archive_native_sample_id,archive_native_experiment_id,source_native_identity_kind,paper_native_sample_label,supplementary_table_sample_label,sample_lineage_path,sample_lineage_locator,inclusion_status,species_latin_name,species_common_name,source_family,source_release,record_modality,review_strength,provenance_quality,publication,paper_doi,paper_url,supplementary_source,site_label,political_entity,latitude,longitude,latitude_text,longitude_text,coordinate_confidence,chronology_text,chronology_strength,chronology_evidence_class,chronology_precision_posture,chronology_normalization_status,chronology_provenance_path,chronology_provenance_locator,chronology_conflict_note,time_start_bp,time_end_bp,time_mean_bp,dating_basis,inclusion_note
sus_scrofa_domesticus:sample:prjeb30282:samea5160866,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160866,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160866,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160867,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160867,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160867,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160868,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160868,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160868,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160869,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160869,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160869,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160870,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160870,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160870,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160871,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160871,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160871,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160872,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160872,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160872,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160873,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160873,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160873,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160874,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160874,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160874,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
sus_scrofa_domesticus:sample:prjeb30282:samea5160875,PRJEB30282,archive_project_sample_accession_anchor,archive_native,final,SAMEA5160875,,biological_sample_accession,,,data/adna/governance/source_library/projects/PRJEB30282/archive_metadata.html,sample_accession:SAMEA5160875,site_curated,Sus scrofa domesticus,pig,ENA,PRJEB30282,archive_reads,primary_paper_pinned,manual_curation_only,Ancient pigs reveal a near-complete genomic turnover following their introduction to Europe,10.1073/pnas.1901169116,https://doi.org/10.1073/pnas.1901169116,,Near East and Europe pig domestication transect,Turkey and Europe,,,,,withheld,~10500-6000 BP pig turnover transect,project_context_interval,archaeological_context_date,contextual_interval,normalized_interval,adna/governance/source_library/papers/10.1073-pnas.1901169116/article.html,abstract,,6000,10500,8250,mixed_radiocarbon_and_archaeological_context,Current evidence stays at region or transect scale and must not masquerade as exact sample-site truth.
