Land-cover types (LCTs),PFT,PFT definition,,Plant taxa/Pollen-morphological types,FSP (m/s),PPE (SD)
Evergreen trees (ET),TBE1,Shade-tolerant evergreen trees,,Picea abies,0.056,5.437 (0.097)
,TBE2,Shade-tolerant evergreen trees,,Abies alba,0.12,6.875 (1.442)
,IBE,Shade-intolerant evergreen trees,,Pinus sylvestris,0.031,6.058 (0.237)
,MTBE,Mediterranean shade-tolerant broadleaved evergreen trees,,Phillyrea,0.015,0.512 (0.076)
,,,,Pistacia,0.03,0.755 (0.201)
,,,,Quercus evergreen t.,0.035*,11.043 (0.261)
,TSE,"Tall shrub, evergreen",,Juniperus communis,0.016,2.07 (0.04)
,MTSE,"Mediterranean broadleaved tall shrubs, evergreen",,Ericaceae**,0.038*,4.265 (0.094)
,,,,Buxus sempervirens,0.032,1.89 (0.068)
Summer-green trees (ST),IBS,Shade-intolerant summer-green trees,,Alnus glutinosa,0.021,13.562 (0.293)
,,,,Betula,0.024,5.106 (0.303)
,TBS,Shade-tolerant summer-green trees,,Carpinus betulus,0.042,4.52 (0.425)
,,,,Carpinus orientalis,0.042,0.24 (0.07)
,,,,Castanea sativa,0.01,3.258 (0.059)
,,,,Corylus avellana,0.025,1.71 (0.1)
,,,,Fagus sylvatica,0.057,5.863 (0.176)
,,,,Fraxinus,0.022,1.044 (0.048)
,,,,Quercus deciduous t.,0.035,4.537 (0.086)
,,,,Tilia,0.032,1.21 (0.116)
,,,,Ulmus,0.032,1.27 (0.05)
,TSD,"Tall shrub, summer-green",,Salix,0.022,1.182 (0.077)
Open land (OL),LSE,"Low shrub, broadleaved evergreen",,Calluna vulgaris,0.038,1.085 (0.029)
,GL,Grassland - all herbs,,Artemisia,0.025,3.937 (0.146)
,,,,Amaranthaceae/Chenopodiaceae,0.019,4.28 (0.27)
,,,,Cyperaceae,0.035,0.962 (0.05)
,,,,Filipendula,0.006,3 (0.285)
,,,,Poaceae,0.035,1 (0)
,,,,Plantago lanceolata,0.029,2.33 (0.201)
,,,,Rumex acetosa-t,0.018,3.02 (0.278)
,AL,Agricultural land - cereals,,Cerealia-t,0.06,1.85 (0.380)
,,,,Secale cereale,0.06,3.99 (0.320)
