site_id,site_name,country,projection_status,projection_exclusion_reason,comparability_posture,temporal_window_label,summary_label,dataset_count,collection_unit_count,sample_count,compact_chronology_row_count,bp_context_posture,source_bp_labelled_age_range_count,calendar_comparable_bp_system_age_range_count,all_age_range_count,source_bp_labelled_age_range_units,calendar_comparable_bp_system_age_range_units,all_age_range_units,comparison_note
13338,Abborrtjärnen,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,107,0,calendar_comparable_system_context_only,1,1,1,"[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
26128,Afstj¢rna,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,55,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
12,Ageröds Mosse,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,135,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
2966,Aholammi,Finland,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,46,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
20,Akuvaara,Finland,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,34,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
26119,Alanen Laanijärvi,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,56,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
26170,Austerkjøsen,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),2,1,102,0,noncomparable_bp_system_context_only,1,0,1,"[""Radiocarbon years BP""]",[],"[""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
13389,Barheivatn,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,41,0,noncomparable_bp_system_context_only,1,0,1,"[""Radiocarbon years BP""]",[],"[""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
3009,Bergakyllen,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,28,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
28811,Bjärabygget,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,56,0,calendar_comparable_system_context_only,1,1,1,"[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
28871,Bjäresjösjön,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,66,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
3017,Bjärsjöholmssjön,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,118,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
3020,Björksjödamm,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,38,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
26169,Bjørnfjelltjørn,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,63,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
3022,Blåvasstjønn,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,37,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
28892,Bocksten site A,Sweden,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,84,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
33300,Brattheivatnet,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,63,0,calendar_comparable_system_context_only,1,1,1,"[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
13391,Brurskardtjørni,Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,61,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
310,Bruvatnet [Rovvejávri],Norway,governed_country_projection,,contextual_label_only,Unresolved time window,Source site age ranges (non-continuous context only),1,1,40,0,calendar_comparable_system_context_only,2,1,2,"[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]","[""Calibrated radiocarbon years BP""]","[""Calibrated radiocarbon years BP"", ""Radiocarbon years BP""]",Site-level age ranges aggregate extrema across datasets and samples; they do not prove continuous evidence between endpoints. Use the sample-owned Neotoma chronology layers for numeric time filtering.
