site_id,site_name,country,latitude,longitude,source_url,discovery_readiness,chronology_resolved,chronology_interval_count,chronology_record_count,chronology_kind_count,chronology_kinds,bibliography_count,dataset_count,sample_group_count,physical_sample_count,analysis_entity_count,raa_density_context_count,raa_context_role,current_activity_status,discovery_rank
4805,Björkeröds Mosse,Sweden,56.283333,12.533334,https://browser.sead.se/site/4805,chronology_and_bibliography_ready,True,9,204,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,139,1,67,269,6333,coarse_spatial_context_only,not_captured_by_repository_sources,1
4481,Körslättamossen,Sweden,56.091064,13.058268,https://browser.sead.se/site/4481,chronology_and_bibliography_ready,True,12,139,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,74,1,67,190,8912,coarse_spatial_context_only,not_captured_by_repository_sources,2
4433,Harnosand,Sweden,62.62332,17.946981,https://browser.sead.se/site/4433,chronology_and_bibliography_ready,True,4,25,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",3,15,1,12,34,3577,coarse_spatial_context_only,not_captured_by_repository_sources,3
4432,Hanö,Sweden,55.7267,14.199779,https://browser.sead.se/site/4432,chronology_and_bibliography_ready,True,16,25,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,18,1,9,34,3205,coarse_spatial_context_only,not_captured_by_repository_sources,4
5527,Tåsjö,Sweden,64.5,15.55,https://browser.sead.se/site/5527,chronology_and_bibliography_ready,True,3,18,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",1,14,1,6,24,465,coarse_spatial_context_only,not_captured_by_repository_sources,5
4598,Ranstad,Sweden,57.316666,13.733334,https://browser.sead.se/site/4598,chronology_and_bibliography_ready,True,5,14,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,10,1,6,20,8587,coarse_spatial_context_only,not_captured_by_repository_sources,6
4237,Agerod V,Sweden,55.934105,13.400202,https://browser.sead.se/site/4237,chronology_and_bibliography_ready,True,5,5,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,6,1,1,6,6654,coarse_spatial_context_only,not_captured_by_repository_sources,7
5379,Nybygget,Sweden,56.956665,14.933056,https://browser.sead.se/site/5379,chronology_and_bibliography_ready,True,5,5,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,6,1,1,6,10817,coarse_spatial_context_only,not_captured_by_repository_sources,8
4287,Boliden,Sweden,61.333332,16.366667,https://browser.sead.se/site/4287,chronology_and_bibliography_ready,True,4,5,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",2,5,1,2,7,3464,coarse_spatial_context_only,not_captured_by_repository_sources,9
5135,Valleröds Mosse,Sweden,55.568054,13.817223,https://browser.sead.se/site/5135,chronology_and_bibliography_ready,True,4,4,3,"[""analysis_entity_age"", ""geochronology"", ""relative_period""]",1,5,1,1,5,6654,coarse_spatial_context_only,not_captured_by_repository_sources,10
