source,layer_key,layer_label,category,country,record_id,name,latitude,longitude,geometry_type,subtitle,description,source_url,record_count,time_start_bp,time_end_bp,time_mean_bp,time_label,temporal_semantics_json,popup_rows_json
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6468,10412 Fjälkinge,56.038874,14.283086,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6468,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6468"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6468""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6469,10469 Kvistofta,55.976003,12.782266,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6469,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6469"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6469""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6481,10531 Örkelljunga,56.264333,13.307873,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6481,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6481"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6481""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6482,10535 Skåne,55.764216,13.532413,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6482,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6482"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6482""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,3833,12051 Bro,57.669857,18.466139,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/3833,54,100,204,152,100-204 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""site_interval_with_uncertainty"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""100-204 BP"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 100, ""time_end_bp"": 204, ""time_mean_bp"": 152, ""duration_years"": 104, ""comparison_note"": ""SEAD publishes one numeric site span here, but the upstream dating rows carry qualifiers or uncertainty notes."", ""provenance_path"": """", ""provenance_locator"": ""site/3833"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": [""from"", ""From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""]}","[[""Site ID"", ""3833""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Sample groups"", ""1""], [""Physical samples"", ""10""], [""Analysis entities"", ""54""], [""Datasets"", ""54""], [""Dataset names"", ""12051 Abundance, 12051 Categorical, 12051 Composite Dates, 12051 Counted dates, 12051 Estimated Years, 12051 Presence, 12052 Abundance, 12052 Categorical, 12052 Composite Dates, 12052 Counted dates, 12052 Estimated Years, 12052 Presence, 12054 Abundance, 12054 Categorical, 12054 Composite Dates, 12054 Counted dates, 12054 Estimated Years, 12054 Presence, 12055 Abundance, 12055 Categorical, 12055 Composite Dates, 12055 Counted dates, 12055 Estimated Years, 12055 Presence, 12056 Abundance, 12056 Categorical, 12056 Composite Dates, 12056 Counted dates, 12056 Estimated Years, 12056 Presence, 12057 Abundance, 12057 Categorical, 12057 Composite Dates, 12057 Counted dates, 12057 Estimated Years, 12057 Presence, 12058 Abundance, 12058 Categorical, 12058 Composite Dates, 12058 Counted dates, 12058 Estimated Years, 12058 Presence, 12059 Abundance, 12059 Categorical, 12059 Composite Dates, 12059 Counted dates, 12059 Estimated Years, 12059 Presence, 12060 Abundance, 12060 Categorical, 12060 Composite Dates, 12060 Counted dates, 12060 Estimated Years, 12060 Presence""], [""References"", ""54""], [""Dating ranges"", ""17""], [""Dendrochronology dates"", ""16""], [""Date coverage"", ""100-204 BP""], [""Temporal comparison posture"", ""numeric interval with caveat""], [""Temporal window"", ""Recent and historical (0-1000 BP)""], [""Temporal uncertainty"", ""from | From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,3824,12068 Gotland,57.610153,18.679456,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/3824,48,166,166,166,166 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""site_interval_with_uncertainty"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""166 BP"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 166, ""time_end_bp"": 166, ""time_mean_bp"": 166, ""duration_years"": 0, ""comparison_note"": ""SEAD publishes one numeric site span here, but the upstream dating rows carry qualifiers or uncertainty notes."", ""provenance_path"": """", ""provenance_locator"": ""site/3824"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": [""from"", ""From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""]}","[[""Site ID"", ""3824""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Sample groups"", ""1""], [""Physical samples"", ""8""], [""Analysis entities"", ""48""], [""Datasets"", ""48""], [""Dataset names"", ""12068 Abundance, 12068 Categorical, 12068 Composite Dates, 12068 Counted dates, 12068 Estimated Years, 12068 Presence, 12069 Abundance, 12069 Categorical, 12069 Composite Dates, 12069 Counted dates, 12069 Estimated Years, 12069 Presence, 12070 Abundance, 12070 Categorical, 12070 Composite Dates, 12070 Counted dates, 12070 Estimated Years, 12070 Presence, 12071 Abundance, 12071 Categorical, 12071 Composite Dates, 12071 Counted dates, 12071 Estimated Years, 12071 Presence, 12072 Abundance, 12072 Categorical, 12072 Composite Dates, 12072 Counted dates, 12072 Estimated Years, 12072 Presence, 12073 Abundance, 12073 Categorical, 12073 Composite Dates, 12073 Counted dates, 12073 Estimated Years, 12073 Presence, 12074 Abundance, 12074 Categorical, 12074 Composite Dates, 12074 Counted dates, 12074 Estimated Years, 12074 Presence, 12075 Abundance, 12075 Categorical, 12075 Composite Dates, 12075 Counted dates, 12075 Estimated Years, 12075 Presence""], [""References"", ""48""], [""Dating ranges"", ""6""], [""Dendrochronology dates"", ""4""], [""Date coverage"", ""166 BP""], [""Temporal comparison posture"", ""numeric interval with caveat""], [""Temporal window"", ""Recent and historical (0-1000 BP)""], [""Temporal uncertainty"", ""from | From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,3832,12076 Ekeby,57.594392,18.525433,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/3832,36,100,100,100,100 BP,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""sead_dating_range"", ""precision_posture"": ""site_interval_with_uncertainty"", ""comparability_posture"": ""numeric_interval_with_caveat"", ""summary_label"": ""100 BP"", ""temporal_window_key"": ""recent_historical"", ""temporal_window_label"": ""Recent and historical (0-1000 BP)"", ""time_start_bp"": 100, ""time_end_bp"": 100, ""time_mean_bp"": 100, ""duration_years"": 0, ""comparison_note"": ""SEAD publishes one numeric site span here, but the upstream dating rows carry qualifiers or uncertainty notes."", ""provenance_path"": """", ""provenance_locator"": ""site/3832"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": [""from"", ""From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""]}","[[""Site ID"", ""3832""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Sample groups"", ""1""], [""Physical samples"", ""6""], [""Analysis entities"", ""36""], [""Datasets"", ""36""], [""Dataset names"", ""12076 Abundance, 12076 Categorical, 12076 Composite Dates, 12076 Counted dates, 12076 Estimated Years, 12076 Presence, 12077 Abundance, 12077 Categorical, 12077 Composite Dates, 12077 Counted dates, 12077 Estimated Years, 12077 Presence, 12078 Abundance, 12078 Categorical, 12078 Composite Dates, 12078 Counted dates, 12078 Estimated Years, 12078 Presence, 12079 Abundance, 12079 Categorical, 12079 Composite Dates, 12079 Counted dates, 12079 Estimated Years, 12079 Presence, 12080 Abundance, 12080 Categorical, 12080 Composite Dates, 12080 Counted dates, 12080 Estimated Years, 12080 Presence, 12081 Abundance, 12081 Categorical, 12081 Composite Dates, 12081 Counted dates, 12081 Estimated Years, 12081 Presence""], [""References"", ""36""], [""Dating ranges"", ""2""], [""Dendrochronology dates"", ""2""], [""Date coverage"", ""100 BP""], [""Temporal comparison posture"", ""numeric interval with caveat""], [""Temporal window"", ""Recent and historical (0-1000 BP)""], [""Temporal uncertainty"", ""from | From: Oldest possible age of sample, usually part of a from-to pair, but could be used to represent open ended dating.""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6478,12590 Hall,57.889852,18.709725,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6478,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6478"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6478""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6466,12615 Stelor,57.450864,18.150789,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6466,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6466"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6466""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
SEAD,sead-sites,SEAD sites,Environmental archaeology,Sweden,6447,12628 Länna,57.715606,18.801516,Point,Nordic SEAD archaeology context sites,,https://browser.sead.se/site/6447,1,,,,,"{""schema_version"": ""temporal-semantics.v1"", ""source_family"": ""sead"", ""evidence_class"": ""unresolved"", ""precision_posture"": ""unresolved"", ""comparability_posture"": ""unresolved"", ""summary_label"": ""Unresolved time semantics"", ""temporal_window_key"": ""unresolved"", ""temporal_window_label"": ""Unresolved time window"", ""time_start_bp"": null, ""time_end_bp"": null, ""time_mean_bp"": null, ""duration_years"": null, ""comparison_note"": ""SEAD did not publish enough dating detail here to support temporal comparison."", ""provenance_path"": """", ""provenance_locator"": ""site/6447"", ""provenance_excerpt"": """", ""original_labels"": [], ""normalized_labels"": [], ""uncertainty_notes"": []}","[[""Site ID"", ""6447""], [""Category"", ""Environmental archaeology""], [""Source"", ""SEAD""], [""Country"", ""Sweden""], [""Access visibility"", ""site page only""], [""Temporal comparison posture"", ""unresolved""], [""Temporal window"", ""Unresolved time window""], [""Access limits"", ""The repository mirrors the scoped site inventory, linked chronology and bibliography relations, and derived context layers, not the full upstream relational SEAD database.""], [""Reader action"", ""Inspect the SEAD site page when captured chronology or bibliography does not answer the research question.""]]"
