schema_version,species_latin_name,species_common_name,source_family,sample_namespace,genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,dating_basis,coordinate_confidence,data_type,molecular_sex,datasets,accession_lineage
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,SD60_297.HO,30948,Saami_WGA,Enontekiö,Finland,68.383893,23.632454,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,M,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:SD60_297.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,S_Finnish-1.DG,121519,Finnish,"Finland, modern",Finland,60.2,24.9,MallickReichNature2016,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,Shotgun.diploid,F,"1240k,ho",species:Homo sapiens;source:AADR;release:v66;dataset:1240k;genetic_id:S_Finnish-1.DG;dataset:ho
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,S_Finnish-2.DG,121520,Finnish,"Finland, modern",Finland,60.2,24.9,MallickReichNature2016,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,Shotgun.diploid,M,"1240k,ho",species:Homo sapiens;source:AADR;release:v66;dataset:1240k;genetic_id:S_Finnish-2.DG;dataset:ho
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,S_Finnish-3.DG,121521,Finnish,"Finland, modern",Finland,60.2,24.9,MallickReichNature2016,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,Shotgun.diploid,M,"1240k,ho",species:Homo sapiens;source:AADR;release:v66;dataset:1240k;genetic_id:S_Finnish-3.DG;dataset:ho
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00171.HO,31824,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,F,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00171.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00174.HO,31825,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,F,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00174.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00190.HO,31826,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,M,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00190.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00266.HO,31827,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,F,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00266.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00183.HO,31829,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,M,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00183.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00173.HO,31831,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,F,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00173.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00181.HO,31832,FIN-o,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,M,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00181.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00182.HO,31833,Finnish,"Finland, modern",Finland,60.2,24.9,LazaridisKrauseNature2014,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,HumanOrigins,M,ho,species:Homo sapiens;source:AADR;release:v66;dataset:ho;genetic_id:HG00182.HO
adna-sample-record-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,HG00181.DG,41940,FIN-o,"Finland, modern",Finland,60.2,24.9,The1000GenomesProjectConsortiumNature2015,,present,0,0,0,0,0,present,bp_mean_and_stddev,unknown,Shotgun.diploid,M,"1240k,ho",species:Homo sapiens;source:AADR;release:v66;dataset:1240k;genetic_id:HG00181.DG;dataset:ho
