profile_key,archaeology_weight,lake_token,lake_label,baseline_engine_rank,baseline_sensitivity_rank,sensitivity_rank,rank_shift_from_baseline,aggregate_score,archaeology_signal_20km,temporal_context_window_count,temporal_context_windows,sead_temporal_context_window_count,sead_temporal_context_record_count
context_conservative,0.03,sweden_lake_registry:646994-137366,Bjärsjön,1,1,1,0,0.7294,0.2252,9,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,3,7
context_conservative,0.03,sweden_lake_registry:616410-134992,Häckebergasjön,2,2,2,0,0.4183,0.5692,14,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,4,135
context_conservative,0.03,sweden_lake_registry:636053-166363,Sigvaldeträsk,3,3,3,0,0.3988,0.4348,8,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,3,63
context_conservative,0.03,sweden_lake_registry:649459-137568,Flarken,5,5,4,1,0.381,0.2604,8,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,2,6
context_conservative,0.03,sweden_lake_registry:615375-137087,Krageholmssjön,4,4,5,-1,0.377,0.5873,14,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,4,114
context_conservative,0.03,sweden_lake_registry:614958-137018,Bjäresjö,6,6,6,0,0.3406,0.6653,14,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,4,106
context_conservative,0.03,sweden_lake_registry:615365-134524,Havgårdssjön,7,7,7,0,0.3375,0.6739,14,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,4,119
context_conservative,0.03,sweden_lake_registry:646681-140779,Mullsjön,8,8,8,0,0.2568,0.1718,10,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,3,29
context_conservative,0.03,sweden_lake_registry:622492-150312,Färskesjön,9,9,9,0,0.2403,0.179,8,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,3,18
context_conservative,0.03,sweden_lake_registry:632901-141943,Åbodasjön,10,10,10,0,0.2169,0.1659,11,early_holocene_and_older; late_holocene; mid_holocene; recent_historical,3,8
