fieldwork_rank,fieldwork_shortlist_score,aggregate_rank,lake_label,latitude,longitude,aggregate_score,preparation_posture,identity_posture,sampling_posture,sampling_fit,lake_area_km2,scenario_consistency_posture,sead_context_posture,palaeopen_alignment_posture,scenario_top20_presence_count,scenario_best_rank,scenario_mean_rank,rank_10km,rank_20km,rank_30km,rank_40km,rank_50km,google_maps_url,representative_source_record,lake_registry_id,lake_name_status,coordinate_resolution_method,direct_pollen_source_count,time_aware_direct_pollen_records,evidence_families_20km,sead_sites_20km,human_localities_20km,domesticated_animal_localities_50km,ambiguity_flags,required_actions
1,0.6693,12,Häckebergasjön,55.577162,13.422814,0.3859,context_review_ready,registry_clear,sampling_lake_candidate,1.0,0.758596,medium,high,high,3,10,27.67,11,56,29,10,48,"https://www.google.com/maps/search/?api=1&query=55.577162,13.422814",svar-lakes:616410-134992,616410-134992,water_surface_name,svar_polygon_representative_point,2,4,4,37,1,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation; prepare interoperable metadata notes for wider palaeoecological comparison
2,0.6684,3,"Sjötorpasjön (58.141960, 13.460319)",58.14196,13.460319,0.5862,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,1.0,0.603122,high,medium,low,6,3,5.33,3,4,5,9,8,"https://www.google.com/maps/search/?api=1&query=58.141960,13.460319",svar-lakes:644831-136156,644831-136156,water_surface_name,svar_polygon_representative_point,0,0,2,15,9,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
3,0.6426,27,Krageholmssjön,55.501715,13.744603,0.3429,context_review_ready,registry_clear,sampling_lake_candidate,1.0,2.050682,low,high,high,1,8,84.33,8,43,100,240,88,"https://www.google.com/maps/search/?api=1&query=55.501715,13.744603",svar-lakes:615375-137087,615375-137087,water_surface_name,svar_polygon_representative_point,2,4,4,37,1,0,,stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation; prepare interoperable metadata notes for wider palaeoecological comparison
4,0.616,4,Hornborgasjön,58.317269,13.549447,0.5037,context_review_ready,registry_clear,sampling_lake_candidate,0.94,27.925549,high,medium,low,5,1,9.17,16,1,4,8,22,"https://www.google.com/maps/search/?api=1&query=58.317269,13.549447",svar-lakes:646918-136677,646918-136677,water_surface_name,svar_polygon_representative_point,0,0,3,19,11,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation
5,0.6059,6,"Rösjön (58.256624, 13.380976)",58.256624,13.380976,0.4651,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,1.0,0.956929,high,medium,low,5,3,12.67,46,3,3,3,15,"https://www.google.com/maps/search/?api=1&query=58.256624,13.380976",svar-lakes:646105-135775,646105-135775,water_surface_name,svar_polygon_representative_point,0,0,3,13,10,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
6,0.6047,35,Flarken,58.556811,13.672884,0.3307,context_review_ready,registry_clear,sampling_lake_candidate,0.868,0.165887,medium,medium,high,2,1,79.83,17,33,123,270,1,"https://www.google.com/maps/search/?api=1&query=58.556811,13.672884",svar-lakes:649459-137568,649459-137568,water_surface_name,svar_polygon_representative_point,2,3,4,18,2,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation; prepare interoperable metadata notes for wider palaeoecological comparison
7,0.5559,129,Ungen,60.100336,15.838505,0.2233,context_review_ready,registry_clear,sampling_lake_candidate,1.0,2.064263,low,low,medium,1,18,213.33,18,71,153,359,550,"https://www.google.com/maps/search/?api=1&query=60.100336,15.838505",svar-lakes:666556-150149,666556-150149,water_surface_name,svar_polygon_representative_point,2,2,3,3,0,0,,stress-test this candidate against alternative distance-band scenarios before field planning
8,0.5468,21,"Simsjön (58.355667, 13.782031)",58.355667,13.782031,0.3698,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,1.0,0.503884,medium,medium,low,3,2,26.83,31,85,2,4,18,"https://www.google.com/maps/search/?api=1&query=58.355667,13.782031",svar-lakes:647133-138139,647133-138139,water_surface_name,svar_polygon_representative_point,0,0,3,8,2,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
9,0.5386,14,Lejondalssjön,59.541673,17.687602,0.3767,evidence_screen_only,registry_clear,sampling_lake_candidate,1.0,2.717067,medium,high,low,2,4,80.67,4,37,79,126,224,"https://www.google.com/maps/search/?api=1&query=59.541673,17.687602",svar-lakes:660523-160785,660523-160785,water_surface_name,svar_polygon_representative_point,0,0,2,26,8,1,,inspect linked SEAD records before narrowing the archaeology-context interpretation
10,0.5384,10,Alasjön,59.686908,17.72259,0.4053,context_review_ready,registry_clear,sampling_lake_candidate,0.868,0.191045,medium,high,low,3,5,83.17,5,12,57,165,250,"https://www.google.com/maps/search/?api=1&query=59.686908,17.722590",svar-lakes:661929-160809,661929-160809,water_surface_name,svar_polygon_representative_point,0,0,3,37,10,1,,inspect linked SEAD records before narrowing the archaeology-context interpretation
11,0.5342,9,Vartoftasjön,58.086896,13.66973,0.4186,evidence_screen_only,registry_clear,sampling_lake_candidate,0.868,0.154654,medium,medium,low,3,5,26.67,81,5,32,22,11,"https://www.google.com/maps/search/?api=1&query=58.086896,13.669730",svar-lakes:644206-137422,644206-137422,water_surface_name,svar_polygon_representative_point,0,0,2,15,9,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation
12,0.5297,119,Färskesjön,56.159037,15.859814,0.23,context_review_ready,registry_clear,sampling_lake_candidate,0.868,0.459128,low,medium,medium,1,14,208.33,14,70,152,353,542,"https://www.google.com/maps/search/?api=1&query=56.159037,15.859814",svar-lakes:622492-150312,622492-150312,water_surface_name,svar_polygon_representative_point,2,4,3,9,0,0,,stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
13,0.5277,29,Skärvalången,58.420796,13.646123,0.339,context_review_ready,registry_clear,sampling_lake_candidate,1.0,1.19933,medium,medium,low,3,5,34.83,15,77,64,5,19,"https://www.google.com/maps/search/?api=1&query=58.420796,13.646123",svar-lakes:647843-137307,647843-137307,water_surface_name,svar_polygon_representative_point,0,0,3,16,2,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation
14,0.5271,30,Valloxen,59.736717,17.842415,0.338,context_review_ready,registry_clear,sampling_lake_candidate,1.0,2.786793,low,high,low,1,10,82,101,10,52,141,158,"https://www.google.com/maps/search/?api=1&query=59.736717,17.842415",svar-lakes:662383-161313,662383-161313,water_surface_name,svar_polygon_representative_point,0,0,3,35,10,1,,stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
15,0.5238,33,Yddingesjön,55.544521,13.251816,0.3328,context_review_ready,registry_clear,sampling_lake_candidate,1.0,1.960541,low,high,low,0,26,82.5,51,26,48,114,223,"https://www.google.com/maps/search/?api=1&query=55.544521,13.251816",svar-lakes:616141-133891,616141-133891,water_surface_name,svar_polygon_representative_point,0,0,3,88,9,0,,stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
16,0.5216,11,Ullstorpasjön,58.220133,13.269162,0.3983,evidence_screen_only,registry_clear,sampling_lake_candidate,0.868,0.290248,medium,medium,low,3,9,45.5,192,9,12,21,28,"https://www.google.com/maps/search/?api=1&query=58.220133,13.269162",svar-lakes:645824-135079,645824-135079,water_surface_name,svar_polygon_representative_point,0,0,2,10,7,0,,inspect linked SEAD records before narrowing the archaeology-context interpretation
17,0.5196,138,"Bredtjärnen (60.097491, 15.811442)",60.097491,15.811442,0.2136,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,0.868,0.159135,low,low,medium,0,27,225.83,27,79,169,370,572,"https://www.google.com/maps/search/?api=1&query=60.097491,15.811442",svar-lakes:666434-150066,666434-150066,water_surface_name,svar_polygon_representative_point,2,2,3,2,0,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; stress-test this candidate against alternative distance-band scenarios before field planning
18,0.519,108,"Mullsjön (58.317875, 14.210785)",58.317875,14.210785,0.2443,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,1.0,3.918493,low,medium,low,1,2,118.17,50,124,219,206,2,"https://www.google.com/maps/search/?api=1&query=58.317875,14.210785",svar-lakes:646681-140779,646681-140779,water_surface_name,svar_polygon_representative_point,1,1,3,8,0,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
19,0.5184,38,Börringesjön,55.485153,13.313577,0.324,context_review_ready,registry_clear,sampling_lake_candidate,1.0,2.764837,low,high,low,1,11,179.33,631,11,42,106,248,"https://www.google.com/maps/search/?api=1&query=55.485153,13.313577",svar-lakes:615464-134175,615464-134175,water_surface_name,svar_polygon_representative_point,0,0,3,55,11,0,,stress-test this candidate against alternative distance-band scenarios before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
20,0.5181,15,"Vagnsjön (58.405652, 13.628989)",58.405652,13.628989,0.3725,identity_resolution_required,duplicate_name_resolution_required,sampling_lake_candidate,0.868,0.211304,medium,medium,low,3,10,30.33,22,82,10,16,37,"https://www.google.com/maps/search/?api=1&query=58.405652,13.628989",svar-lakes:647762-137280,647762-137280,water_surface_name,svar_polygon_representative_point,0,0,3,17,2,0,duplicate_sweden_name,confirm the exact Swedish lake registry match before field planning; inspect linked SEAD records before narrowing the archaeology-context interpretation
