target_name,target_class,lake_decision,latitude,longitude,landclim_record_id,landclim_grid_record_id,time_start_bp,time_end_bp,time_mean_bp,time_label,forest_cover,evergreen_tree_cover,summergreen_tree_cover,open_land_cover,agricultural_land_cover,grassland_cover,cereal_type_pollen_cover,rye_pollen_cover,cereal_interpretation_posture,sead_temporal_record_count_20km,sead_site_count_20km,human_adna_locality_count_20km,human_adna_sample_count_20km,animal_adna_locality_count_20km,animal_adna_sample_count_20km,cross_proxy_posture
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:0-100-bp,882,0,100,50,0-100 BP,73.142947,52.462473,20.680474,26.857053,1.52867,9.256395,1.011651,0.517019,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:100-350-bp,882,100,350,225,100-350 BP,45.171137,31.97708,13.194057,54.828863,1.609507,6.349535,1.441499,0.168008,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:350-700-bp,882,350,700,525,350-700 BP,62.675949,41.62938,21.046569,37.324051,0.811974,6.066934,0.583141,0.228834,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:700-1200-bp,882,700,1200,950,700-1200 BP,72.524498,44.223451,28.301047,27.475502,0.396519,7.03092,0.377494,0.019025,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:1200-1700-bp,882,1200,1700,1450,1200-1700 BP,65.895525,33.612292,32.283233,34.104475,0.21859,7.871986,0.21859,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:1700-2200-bp,882,1700,2200,1950,1700-2200 BP,65.879992,33.95453,31.925462,34.120008,0.0,6.325768,0.0,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:2200-2700-bp,882,2200,2700,2450,2200-2700 BP,66.937881,37.559803,29.378078,33.06212,0.246908,6.257468,0.246908,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:2700-3200-bp,882,2700,3200,2950,2700-3200 BP,73.43192,34.782449,38.649471,26.56808,0.393037,16.863017,0.393037,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:3200-3700-bp,882,3200,3700,3450,3200-3700 BP,87.81522,47.163292,40.651928,12.18478,0.473655,7.605904,0.473655,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:3700-4200-bp,882,3700,4200,3950,3700-4200 BP,81.125589,38.010508,43.115081,18.874412,0.83009,8.611664,0.83009,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:4200-4700-bp,882,4200,4700,4450,4200-4700 BP,78.957186,34.152637,44.804549,21.042813,0.0,7.609502,0.0,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:4700-5200-bp,882,4700,5200,4950,4700-5200 BP,85.269641,23.707763,61.561878,14.730359,0.0,14.730359,0.0,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
Bergakyllen,registered_lake,include_lake_review,57.186058,16.143141,937075:882:5200-5700-bp,882,5200,5700,5450,5200-5700 BP,72.855712,41.884369,30.971343,27.144288,0.0,4.230642,0.0,0.0,Cerealia.t and Secale are modeled pollen-cover estimates; they are not observed crop acreage or proof of cultivation at the target,0,0,0,0,0,0,pollen_model_only
