locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,datasets,sample_ids
Vor Frue Kirkegård (Aalborg),57.05,9.92,32,123,977,550,123-977 BP,"1240k,ho",CGG100317.SG;CGG100336.SG;CGG100341.SG;CGG100415.SG;CGG100431.SG;CGG100434.SG;CGG100441.SG;CGG100442.SG;CGG100445.SG;CGG100447.SG;CGG100451.SG;CGG100452.SG;CGG100453.SG;CGG100454.SG;CGG100456.SG;CGG100460.SG;CGG100472.SG;CGG100481.SG;CGG100492.SG;CGG100493.SG;CGG100497.SG;CGG100498.SG;CGG100501.SG;CGG100507.SG;CGG100510.SG;CGG100512.SG;CGG100513.SG;CGG100519.SG;CGG100530.SG;CGG100535.SG;CGG100539.SG;CGG100545.SG
Tjærby (Randers Municipality),56.47,10.1,28,542,974,758,542-974 BP,"1240k,ho",CGG100651.SG;CGG100653.SG;CGG100678.SG;CGG100679.SG;CGG100682.SG;CGG100683.SG;CGG100686.SG;CGG100687.SG;CGG100689.SG;CGG100691.SG;CGG100692.SG;CGG100700.SG;CGG100747.SG;CGG100748.SG;CGG100749.SG;CGG100750.SG;CGG100751.SG;CGG100759.SG;CGG100797.SG;CGG100802.SG;CGG100820.SG;CGG100908.SG;CGG100914.SG;CGG100918.SG;CGG100920.SG;CGG100921.SG;CGG100926.SG;CGG100951.SG
Ahlgade 15-17 (Holbæk),55.72,11.71,25,-66,3166,1550,-66-3166 BP,"1240k,ho",CGG101680.SG;CGG101689.SG;CGG101691.SG;CGG101808.SG;CGG101809.SG;CGG101811.SG;CGG101813.SG;CGG101822.SG;CGG101825.SG;CGG101827.SG;CGG101829.SG;CGG101833.SG;CGG101835.SG;CGG101837.SG;CGG101838.SG;CGG101839.SG;CGG101842.SG;CGG101843.SG;CGG101845.SG;CGG101850.SG;CGG101854.SG;CGG101855.SG;CGG101857.SG;CGG101864.SG;CGG101873.SG
Galgedil (Funen region),55.5,10.33,16,820,1280,1050,820-1280 BP,"1240k,ho",VK133.SG;VK134.SG;VK135.SG;VK138.SG;VK139.SG;VK140.SG;VK141.SG;VK278.SG;VK279.SG;VK280.SG;VK370.SG;VK371.SG;VK372.SG;VK373.SG;VK411.SG;VK446.SG
Kopenhagen (Zealand region),55.675268,12.568294,15,842,958,900,842-958 BP,"1240k,ho",KPN001.A.AG;KPN002.A.AG;KPN003.A.AG;KPN004.A.AG;KPN005.A.AG;KPN006.A.AG;KPN007.A.AG;KPN008.A.AG;KPN009.A.AG;KPN010.A.AG;KPN011.A.AG;KPN012.A.AG;KPN013.A.AG;KPN014.A.AG;KPN015.A.AG
Bogevej (Langeland region),54.87,10.72,13,942,1058,1000,942-1058 BP,"1240k,ho",VK286.SG;VK288.SG;VK292.SG;VK320.SG;VK338.SG;VK361.SG;VK362.SG;VK363.SG;VK364.SG;VK365.SG;VK366.SG;VK367.SG;VK368.SG
Ribe (Jutland region),55.33,8.76,9,800,1295,1048,800-1295 BP,"1240k,ho",VK322.SG;VK323.SG;VK324.SG;VK325.SG;VK326.SG;VK327.SG;VK328.SG;VK329.SG;VK330.SG
Hesselbjerg (Jutland region),55.95,10.2,8,1047,1103,1075,1047-1103 BP,"1240k,ho",VK300.SG;VK339.SG;VK340.SG;VK383.SG;VK384.SG;VK84.SG;VK86.SG;VK87.SG
Kaagarden (Langeland region),54.85,10.78,6,942,1058,1000,942-1058 BP,"1240k,ho",VK274.SG;VK275.SG;VK276.SG;VK285.SG;VK287.SG;VK317.SG
Henriksholm-Bøgebakken (Vedbæk) (Zealand region),55.853,12.559,5,6788,7414,7101,6788-7414 BP,"1240k,ho",NEO745.SG;NEO746.SG;NEO747.SG;NEO748.SG;NEO749.SG
