genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,date_stddev_bp,time_start_bp,time_end_bp,time_mean_bp,time_label,data_type,molecular_sex,datasets
CGG_2_106530.SG,117781,Denmark_AalstrupMellergaard_EIA,"Aalstrup, Mellergaard (Jutland)",Denmark,57.2789,10.0142,McCollWillerslevBioRxiv2025,,1200-700 BCE,2900,144,2612,3188,2900,1200-700 BCE,Shotgun,F,"1240k,ho"
CGG_2_017649.SG,117015,Denmark_AamosenGammelvind_IA_BogSkeleton_LateGermanic,Aamosen-Gammelvind (Zealand),Denmark,55.583,11.533,McCollWillerslevBioRxiv2025,,"643-774 calCE (1242±66 BP, Poz-17028)",1161,78,1005,1317,1161,"643-774 calCE (1242±66 BP, Poz-17028)",Shotgun,M,"1240k,ho"
CGG_2_107440.SG,118189,Denmark_Aastofte_Roman,Aastofte (Zealand),Denmark,55.8221309,11.5200672,McCollWillerslevBioRxiv2025,,1-400 calCE (1750±200 BP),1686,225,1236,2136,1686,1-400 calCE (1750±200 BP),Shotgun,M,"1240k,ho"
CGG101680.SG,51230,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101689.SG,51231,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1400-1550 CE,475,43,389,561,475,1400-1550 CE,Shotgun,M,"1240k,ho"
CGG101691.SG,51232,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101808.SG,51233,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,M,"1240k,ho"
CGG101809.SG,51234,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,M,"1240k,ho"
CGG101811.SG,51235,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,F,"1240k,ho"
CGG101813.SG,51236,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101822.SG,51237,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101825.SG,51238,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1300 CE,800,87,626,974,800,1000-1300 CE,Shotgun,M,"1240k,ho"
CGG101827.SG,51239,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,M,"1240k,ho"
CGG101829.SG,51240,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1800 CE,550,231,88,1012,550,1000-1800 CE,Shotgun,F,"1240k,ho"
CGG101833.SG,51241,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101835.SG,51242,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,M,"1240k,ho"
CGG101837.SG,51243,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1800 CE,550,231,88,1012,550,1000-1800 CE,Shotgun,M,"1240k,ho"
CGG101838.SG,51244,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,M,"1240k,ho"
CGG101839.SG,51245,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,M,"1240k,ho"
CGG101842.SG,51246,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1800 CE,550,231,88,1012,550,1000-1800 CE,Shotgun,M,"1240k,ho"
CGG101843.SG,51247,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,M,"1240k,ho"
CGG101845.SG,51248,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,F,"1240k,ho"
CGG101850.SG,51249,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1350-1400 CE,575,14,547,603,575,1350-1400 CE,Shotgun,F,"1240k,ho"
CGG101854.SG,51250,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1400-1550 CE,475,43,389,561,475,1400-1550 CE,Shotgun,M,"1240k,ho"
CGG101855.SG,51251,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1300 CE,800,87,626,974,800,1000-1300 CE,Shotgun,M,"1240k,ho"
CGG101857.SG,51252,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,F,"1240k,ho"
CGG101864.SG,51253,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1300-1350 CE,625,14,597,653,625,1300-1350 CE,Shotgun,M,"1240k,ho"
CGG101873.SG,51254,Denmark_Medieval,Ahlgade 15-17 (Holbæk),Denmark,55.72,11.71,BarrieWillerslevNature2024,,1000-1800 CE,550,231,88,1012,550,1000-1800 CE,Shotgun,M,"1240k,ho"
VK582.SG,7610,Denmark_IA,Alken Enge (Jutland Region),Denmark,56.05,9.94,MargaryanWillerslevNature2020,,1-100 CE,1900,29,1842,1958,1900,1-100 CE,Shotgun,M,"1240k,ho"
CGG_2_019201.SG,117071,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,"148 calBCE - 20 calCE (2014±84 BP, AAR-24489)",1962,118,1726,2198,1962,"148 calBCE - 20 calCE (2014±84 BP, AAR-24489)",Shotgun,M,"1240k,ho"
CGG_2_019202.SG,117073,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,193 calBCE - 206 calCE (1944±200 BP),1904,245,1414,2394,1904,193 calBCE - 206 calCE (1944±200 BP),Shotgun,M,"1240k,ho"
CGG_2_019203.SG,117075,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,"97 calBCE - 56 calCE (1970±76 BP, AAR-24495 & unknown)",1901,100,1701,2101,1901,"97 calBCE - 56 calCE (1970±76 BP, AAR-24495 & unknown)",Shotgun,M,"1240k,ho"
CGG_2_019204.SG,117077,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,"145 calBCE - 54 calCE (1996±100 BP, AAR-24494)",1944,135,1674,2214,1944,"145 calBCE - 54 calCE (1996±100 BP, AAR-24494)",Shotgun,M,"1240k,ho"
CGG_2_019205.SG,117079,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,"43 calBCE - 114 calCE (1914±78 BP, AAR-18054)",1836,96,1644,2028,1836,"43 calBCE - 114 calCE (1914±78 BP, AAR-18054)",Shotgun,M,"1240k,ho"
CGG_2_019206.SG,117081,Denmark_Alken_Enge_EarlyRomanBogWar,Alken_Enge (Jutland),Denmark,56.049,9.852,McCollWillerslevBioRxiv2025,,"93 calBCE - 65 calCE (1964±79 BP, AAR-18053)",1895,103,1689,2101,1895,"93 calBCE - 65 calCE (1964±79 BP, AAR-18053)",Shotgun,M,"1240k,ho"
