genetic_id,master_id,group_id,locality,political_entity,latitude,longitude,publication,year_first_published,full_date,date_mean_bp,data_type,molecular_sex,datasets
SD60_297.HO,SD60_297,Saami_WGA.HO,Enontekiö,Finland,68.383893,23.632454,LazaridisNature2014,2014,present,0,HumanOrigins,M,ho
DA237.SG,DA237,Finland_Saami_IA.SG,Levanluhta (Isokyro),Finland,62.948744,22.410146,SikoraNature2019,2019,"436-644 calCE (1508±38 BP, UBA-32346)",1388,Shotgun,F,"1240k,ho"
JK1963.AG,JK1963,Finland_Levanluhta.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,U,"1240k,ho"
JK1967.AG,JK1967,Finland_Levanluhta_lc.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,U,"1240k,ho"
JK1968.AG,JK1968,Finland_Levanluhta.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,F,"1240k,ho"
JK1970.AG,JK1970,Finland_Levanluhta.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,F,"1240k,ho"
JK2065.AG,JK2065,Finland_Levanluhta_B.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,F,"1240k,ho"
JK2066.AG,JK2066,Finland_Levanluhta_B_lc.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,U,"1240k,ho"
JK2067.AG,JK2067,Finland_Levanluhta_B_lc.AG,Levanluhta (Isokyro),Finland,62.948744,22.410146,LamnidisNatureCommunications2018,2018,300-800 CE,1400,1240k,U,"1240k,ho"
HG00171.HO,HG00171,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,F,ho
HG00173.HO,HG00173,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,F,ho
HG00174.HO,HG00174,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,F,ho
S_Finnish-1.DG,HG00174,Finnish.DG,Unspecified locality,Finland,60.2,24.9,MallickNature2016,2016,present,0,Shotgun.diploid,F,"1240k,ho"
HG00181.HO,HG00181,FIN_o.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,M,ho
HG00182.HO,HG00182,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,M,ho
HG00183.HO,HG00183,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,M,ho
HG00190.HO,HG00190,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,M,ho
S_Finnish-2.DG,HG00190,Finnish.DG,Unspecified locality,Finland,60.2,24.9,MallickNature2016,2016,present,0,Shotgun.diploid,M,"1240k,ho"
HG00266.HO,HG00266,Finnish.HO,Unspecified locality,Finland,60.2,24.9,LazaridisNature2014,2014,present,0,HumanOrigins,F,ho
S_Finnish-3.DG,S_Finnish-3,Finnish_o.DG,Unspecified locality,Finland,60.2,24.9,MallickNature2016,2016,present,0,Shotgun.diploid,M,"1240k,ho"
S_Saami-1.DG,S_Saami-1,Saami.DG,Utsjoki,Finland,69.91,27.03,MallickNature2016,2016,present,0,Shotgun.diploid,F,"1240k,ho"
S_Saami-2.DG,S_Saami-2,Saami.DG,Utsjoki,Finland,69.91,27.03,MallickNature2016,2016,present,0,Shotgun.diploid,M,"1240k,ho"
