locality,locality_token,profile_name,ranking_status,total_score,evidence_density_signal,chronology_alignment_signal,species_diversity_signal,contextual_support_signal,missingness_penalty,direct_sample_count,distinct_species_count,nearby_context_points,nearby_context_layer_count,temporal_overlap_points,sampling_recommendation_ready,recommendation_posture,ranking_blockers,recommendation_blockers,warning_flags,rationale
"Varnhem (Västra Götalands län, Skara)",homo_sapiens:aadr:sweden:varnhem-v-stra-g-talands-l-n-skara:58-38-13-65,atlas_exploration,downgraded,0.5907,0.9025,0.5,0.3467,0.872,0.165,31,1,31,3,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 31 direct ancient-DNA samples support 1 species at this locality anchor | 31 nearby context points across 3 context layers shape the support surface | score families: evidence=0.9025; chronology=0.5000; species=0.3467; context=0.8720 | missingness penalty=0.1650; ranking status=downgraded | recommendation posture=exploratory_only"
"Hjelmars rör (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:hjelmars-r-r-v-stra-g-talands-l-n-falk-ping-falbygden:58-1697-13-578,atlas_exploration,downgraded,0.5843,0.9025,1.0,0.3467,0.8249,0.255,15,1,19,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 15 direct ancient-DNA samples support 1 species at this locality anchor | 19 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8249 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Falköping-5 (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:falk-ping-5-v-stra-g-talands-l-n-falk-ping:58-166-13-573,atlas_exploration,downgraded,0.5829,0.9025,1.0,0.3467,0.8209,0.255,8,1,18,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 8 direct ancient-DNA samples support 1 species at this locality anchor | 18 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8209 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Frälsegården (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:fr-lseg-rden-v-stra-g-talands-l-n-falk-ping-falbygden:58-1644-13-4547,atlas_exploration,downgraded,0.5827,0.9025,1.0,0.3467,0.8204,0.255,54,1,19,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 54 direct ancient-DNA samples support 1 species at this locality anchor | 19 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8204 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Frojel (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:frojel-gotlands-l-n-gotland:57-34-18-19,atlas_exploration,downgraded,0.5822,0.9025,1.0,0.3467,0.8189,0.255,29,1,31,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 29 direct ancient-DNA samples support 1 species at this locality anchor | 31 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8189 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Rössberga (Götaland, Västergötland)",homo_sapiens:aadr:sweden:r-ssberga-g-taland-v-sterg-tland:58-183333-13-65,atlas_exploration,downgraded,0.5808,0.9025,1.0,0.3467,0.815,0.255,26,1,17,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 26 direct ancient-DNA samples support 1 species at this locality anchor | 17 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8150 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Landbogården (Västra Götalands län, Falköping, Falbygden)",homo_sapiens:aadr:sweden:landbog-rden-v-stra-g-talands-l-n-falk-ping-falbygden:58-1775-13-4344,atlas_exploration,downgraded,0.5797,0.9025,1.0,0.3467,0.812,0.255,11,1,19,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 11 direct ancient-DNA samples support 1 species at this locality anchor | 19 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8120 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Nästegården (Västra Götalands län, Falköping)",homo_sapiens:aadr:sweden:n-steg-rden-v-stra-g-talands-l-n-falk-ping:58-1544-13-5222,atlas_exploration,downgraded,0.5773,0.9025,1.0,0.3467,0.8049,0.255,6,1,19,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 19 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.8049 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Ansarve (Gotland County, Tofta area)",homo_sapiens:aadr:sweden:ansarve-gotland-county-tofta-area:57-509-18-14,atlas_exploration,downgraded,0.5739,0.9025,1.0,0.3467,0.7952,0.255,6,1,40,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 6 direct ancient-DNA samples support 1 species at this locality anchor | 40 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7952 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
"Stora-Karlsö (Gotlands län, Gotland)",homo_sapiens:aadr:sweden:stora-karlso-gotlands-l-n-gotland:57-287-18-206,atlas_exploration,downgraded,0.5739,0.9025,1.0,0.3467,0.7952,0.255,7,1,35,2,0,false,exploratory_only,,profile_is_not_fieldwork_triage,no_time_aware_context | no_temporal_context_overlap | single_species_direct_evidence | metadata_only_direct_evidence,"profile `atlas_exploration` weights evidence density, chronology, species diversity, and contextual support explicitly | 7 direct ancient-DNA samples support 1 species at this locality anchor | 35 nearby context points across 2 context layers shape the support surface | score families: evidence=0.9025; chronology=1.0000; species=0.3467; context=0.7952 | missingness penalty=0.2550; ranking status=downgraded | recommendation posture=exploratory_only"
