schema_version,species_latin_name,species_common_name,source_family,sample_namespace,locality,latitude,longitude,sample_count,time_start_bp,time_end_bp,time_mean_bp,time_label,dating_basis,coordinate_confidence,datasets,sample_ids
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Sund (Central Norway/ Trøndelag),63.8604,11.307,13,3030,4544,3787,3030-4544 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105604.SG;CGG_2_105606.SG;CGG_2_105608.SG;CGG_2_105610.SG;CGG_2_105612.SG;CGG_2_105617.SG;CGG_2_105622.SG;CGG_2_105623.SG;CGG_2_105626.SG;CGG_2_105628.SG;CGG_2_105629.SG;CGG_2_105631.SG;CGG_2_105632.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Bergen,60.359,5.358,11,0,0,0,0 BP,bp_mean_and_stddev,unknown,ho,NOR101.HO;NOR106.HO;NOR107.HO;NOR108.HO;NOR109.HO;NOR111.HO;NOR119.HO;NOR124.HO;NOR126.HO;NOR146.HO;NOR148.HO
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Public Library Site/Folkebibliotekstomten (Trondheim),63.43,10.39,7,634,866,750,634-866 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK113.SG;VK114.SG;VK116.SG;VK117.SG;VK118.SG;VK124.SG;VK125.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Skongeneshelleren (Western Norway/ Sogn and Fjordane),62.02973527,5.126940543,6,1240,1943,1592,1240-1943 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107004.SG;CGG_2_107005.SG;CGG_2_107006.SG;CGG_2_107007.SG;CGG_2_107008.SG;CGG_2_107009.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Skien nor (Nor South, Vestfold og Telemark, Telemark)",59.22,9.59,4,926,1566,1246,926-1566 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK389.SG;VK390.SG;VK391.SG;VK392.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Hummervikholmen (Agder, Søgne nor)",58.064,7.7437,3,9262,9486,9374,9262-9486 BP,bp_mean_and_stddev,unknown,"1240k,ho",Hum1.SG;Hum2.SG;NEO17.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Joa (Central Norway/ Trøndelag),64.65448,11.208485,3,1009,1468,1238,1009-1468 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107026.SG;CGG_2_107027.SG;CGG_2_107028.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Joa, Namsos M (Central Norway/ Trøndelag)",64.65448,11.208485,3,1007,1316,1162,1007-1316 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107032.SG;CGG_2_107033.SG;CGG_2_107034.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Skjeggesnes (Northern Norway/ Nordland),63.74603,11.2983,3,3101,3597,3349,3101-3597 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105636.SG;CGG_2_105638.SG;CGG_2_105639.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Toldnes (Central Norway/ Trøndelag),63.9758,11.3946,3,1533,3942,2738,1533-3942 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105600.SG;CGG_2_105601.SG;CGG_2_105602.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Tomeide, Nesna M (Northern Norway/ Nordland)",66.262731,12.724308,3,1158,1777,1468,1158-1777 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107021.SG;CGG_2_107022.SG;CGG_2_107023.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Vik, Klepp (Western Norway/ Rogaland)",58.712198,5.525827,3,957,1353,1155,957-1353 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107039.SG;CGG_2_107040.SG;CGG_2_107041.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Arnestad store (24/1) (Nor South, Hedmark, Åmot)",61.15,11.34,2,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK394.SG;VK394_d.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Bergvin (Central Norway/ Trøndelag),63.74603,11.2983,2,1806,4914,3360,1806-4914 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105634.SG;CGG_2_105635.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Eid (Central Norway/ Lines, Trøndelag)",64.0331,9.89233,2,3374,6154,4764,3374-6154 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_105640.SG;CGG_2_105641.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Føre 1 (Northern Norway/ Nordland),68.666659,14.468748,2,1361,1585,1473,1361-1585 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107014.SG;CGG_2_107015.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Jevnaker nor (Nor South, Viken, Oppland)",60.31,10.43,2,834,1066,950,834-1066 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK387.SG;VK421.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,Nord-Rollnes (Central Norway/ Trøndelag),68.870339,17.045914,2,930,1414,1172,930-1414 BP,bp_mean_and_stddev,unknown,"1240k,ho",CGG_2_107017.SG;CGG_2_107019.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Ringsaker nor (Nor South, Innlandet, Hedmark)",60.84,11,2,820,1280,1050,820-1280 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK393.SG;VK448.SG
adna-locality-summary-export.v1,Homo sapiens,human,AADR,homo_sapiens:aadr_genetic_id,"Rønvik nedre (32/100, Rønvik) (Nordland, Bodø)",67.28,14.39,2,942,1058,1000,942-1058 BP,bp_mean_and_stddev,unknown,"1240k,ho",VK515.SG;VK530.SG
